index,node0,node1,weight
0,happy,glad,2
1,happy,happier,2
2,excited,upset,4
3,excited,worried,4
4,excited,fear,4
5,excited,disgusted,4
6,excited,mad,2
7,excited,sick,3
8,excited,rushed,4
9,excited,trust,4
10,excited,confuse,4
11,excited,love,4
12,excited,ready,4
13,excited,distressed,4
14,excited,down,4
15,excited,concern,4
16,excited,worry,4
17,excited,alert,4
18,excited,painful,4
19,excited,disturbed,3
20,excited,shock,4
21,excited,ill,4
22,excited,blessed,4
23,excited,aroused,2
24,excited,nauseous,4
25,excited,crazy,3
26,excited,alive,4
27,excited,emotional,2
28,excited,chill,4
29,excited,touched,4
30,excited,complete,4
31,excited,sore,3
32,excited,tender,4
33,excited,awake,3
34,excited,frantic,2
35,excited,horny,3
36,excited,close,4
37,excited,moved,4
38,excited,stimulated,3
39,excited,excite,2
40,excited,part,4
41,excited,wealthy,4
42,excited,trouble,4
43,excited,pressure,4
44,excited,wild,4
45,excited,feeling,4
46,excited,disturb,3
47,excited,energy,4
48,excited,queasy,4
49,excited,spunky,5
50,excited,steady,4
51,excited,frenzied,3
52,excited,beat,4
53,excited,show,4
54,excited,own,4
55,excited,feisty,4
56,excited,cats,4
57,excited,put,4
58,excited,loaded,4
59,excited,bother,4
60,excited,rushing,4
61,excited,grim,4
62,excited,sticky,4
63,excited,burden,3
64,excited,prompt,4
65,excited,nauseated,4
66,excited,defeat,4
67,excited,clear,4
68,excited,poise,4
69,excited,thrill,3
70,excited,rise,4
71,excited,sensitive,4
72,excited,burn,4
73,excited,unwavering,4
74,excited,attention,4
75,excited,insane,3
76,excited,caution,4
77,excited,manic,4
78,sad,upset,4
79,sad,depressed,4
80,sad,hurt,4
81,sad,sorry,2
82,sad,sick,4
83,sad,regretful,3
84,sad,bad,3
85,sad,pain,4
86,sad,silly,4
87,sad,down,4
88,sad,concern,4
89,sad,worry,4
90,sad,inadequate,4
91,sad,miserable,3
92,sad,poor,3
93,sad,dirty,4
94,sad,downhearted,4
95,sad,worrisome,3
96,sad,worthless,4
97,sad,criminal,3
98,sad,tough,4
99,sad,spoiled,4
100,sad,ugly,4
101,sad,pathetic,3
102,sad,naughty,4
103,sad,low,4
104,sad,ridiculous,4
105,sad,trouble,4
106,sad,glum,4
107,sad,evil,4
108,sad,gloomy,3
109,sad,disturb,4
110,sad,badly,4
111,sad,dispirited,4
112,sad,distress,3
113,sad,blue,3
114,sad,stern,4
115,sad,relentless,4
116,sad,moody,4
117,sad,morose,4
118,sad,big,4
119,sad,woeful,3
120,sad,pitiful,2
121,sad,dark,3
122,sad,sulky,4
123,sad,downcast,4
124,sad,detestable,4
125,sad,bother,4
126,sad,unworthy,4
127,sad,grim,3
128,sad,savage,4
129,sad,despicable,4
130,sad,sour,4
131,sad,piteous,3
132,sad,unforgiving,4
133,sad,sullen,4
134,proud,great,4
135,proud,heroic,4
136,proud,fantastic,4
137,proud,wonderful,4
138,proud,scare,4
139,proud,high,4
140,proud,well,4
141,proud,neat,4
142,proud,wondrous,4
143,proud,chivalrous,3
144,proud,exceptional,4
145,proud,elevated,3
146,proud,marvelous,4
147,proud,thrill,4
148,proud,swollen,4
149,proud,idealistic,3
150,angry,anger,4
151,angry,surprise,4
152,angry,mad,4
153,angry,sick,4
154,angry,bad,4
155,angry,pain,4
156,angry,confuse,4
157,angry,devastated,4
158,angry,furious,2
159,angry,worry,4
160,angry,enraged,3
161,angry,disturbed,4
162,angry,dead,4
163,angry,hot,3
164,angry,crazy,3
165,angry,angered,3
166,angry,annoyance,4
167,angry,fantastic,3
168,angry,violent,3
169,angry,wonderful,4
170,angry,rage,3
171,angry,agony,4
172,angry,trouble,4
173,angry,passion,4
174,angry,infuriated,3
175,angry,wild,2
176,angry,disturb,4
177,angry,wrath,5
178,angry,wondrous,4
179,angry,beat,4
180,angry,fierce,3
181,angry,bother,3
182,angry,savage,3
183,angry,wasted,4
184,angry,boisterous,4
185,angry,marvelous,4
186,angry,loose,4
187,angry,barren,4
188,scared,determined,4
189,scared,fear,3
190,scared,frightened,2
191,scared,terrified,3
192,scared,panicked,3
193,scared,awe,4
194,scared,ready,4
195,scared,concern,4
196,scared,dumb,4
197,scared,cool,4
198,scared,panic,3
199,scared,chill,3
200,scared,grumpy,4
201,scared,weary,3
202,scared,dread,4
203,scared,terror,3
204,scared,stress,4
205,scared,boring,4
206,scared,dull,3
207,scared,scare,2
208,scared,slow,4
209,scared,panicky,3
210,scared,sluggish,4
211,scared,fright,2
212,scared,loud,4
213,scared,dictated,4
214,scared,beat,4
215,scared,mute,4
216,scared,put,4
217,scared,numb,4
218,scared,frighten,2
219,scared,fit,4
220,scared,discover,4
221,scared,thrill,4
222,scared,grave,4
223,scared,control,4
224,scared,shivering,4
225,scared,bless,4
226,scared,observation,4
227,scared,objective,4
228,disappointed,upset,3
229,disappointed,frustrated,2
230,disappointed,worried,4
