,loss,learning_rate,epoch,step,eval_loss,eval_f1,eval_roc_auc,eval_accuracy,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
0,0.5557,5.741735537190083e-06,0.69,500,,,,,,,,,,,,
1,,,1.0,726,0.4869464933872223,0.7191941420730669,0.7584807884097186,0.17908167849761883,28.2256,394.288,24.658,,,,,
2,0.4866,5.483471074380165e-06,1.38,1000,,,,,,,,,,,,
3,,,2.0,1452,0.46808135509490967,0.731714364517527,0.7697877107202546,0.19417737442717226,28.4988,390.507,24.422,,,,,
4,0.4587,5.225206611570248e-06,2.07,1500,,,,,,,,,,,,
5,0.4315,4.9669421487603305e-06,2.75,2000,,,,,,,,,,,,
6,,,3.0,2178,0.4614488184452057,0.7314985847364155,0.7704832824123178,0.19741216641207657,29.0483,383.12,23.96,,,,,
7,0.4192,4.708677685950413e-06,3.44,2500,,,,,,,,,,,,
8,,,4.0,2904,0.46365466713905334,0.734095830178403,0.772727108810807,0.2000179710665828,27.0469,411.471,25.733,,,,,
9,0.4033,4.4504132231404965e-06,4.13,3000,,,,,,,,,,,,
10,0.3889,4.192148760330578e-06,4.82,3500,,,,,,,,,,,,
11,,,5.0,3630,0.4658812880516052,0.7314307162294401,0.7710753298936852,0.19929912840327074,28.7922,386.528,24.173,,,,,
12,0.3781,3.933884297520661e-06,5.51,4000,,,,,,,,,,,,
13,,,6.0,4356,0.4755709767341614,0.7328381422288962,0.7723100082248897,0.20172522239194896,28.9707,384.147,24.024,,,,,
14,0.3696,3.6756198347107442e-06,6.2,4500,,,,,,,,,,,,
15,0.3601,3.4173553719008264e-06,6.89,5000,,,,,,,,,,,,
16,,,7.0,5082,0.4777868092060089,0.7303408798733372,0.7708409063784569,0.20478030371102524,29.0607,382.957,23.95,,,,,
17,0.3488,3.159090909090909e-06,7.58,5500,,,,,,,,,,,,
18,,,8.0,5808,0.48522108793258667,0.731987557085181,0.7706189989816465,0.19741216641207657,29.0062,383.677,23.995,,,,,
19,0.3425,2.900826446280992e-06,8.26,6000,,,,,,,,,,,,
20,0.3396,2.6425619834710746e-06,8.95,6500,,,,,,,,,,,,
21,,,9.0,6534,0.4854874014854431,0.7281093480650984,0.7691572817286045,0.19875999640578668,29.8798,372.459,23.293,,,,,
22,0.3274,2.384297520661157e-06,9.64,7000,,,,,,,,,,,,
23,,,10.0,7260,0.49177780747413635,0.7286102584213444,0.7693012880860743,0.19768173241081857,28.8783,385.376,24.101,,,,,
24,0.3232,2.1260330578512397e-06,10.33,7500,,,,,,,,,,,,
25,,,11.0,7986,0.4954794645309448,0.7265765097684954,0.7673237309355441,0.19130200377392398,29.0185,383.515,23.985,,,,,
26,0.3198,1.8677685950413223e-06,11.02,8000,,,,,,,,,,,,
27,0.312,1.6095041322314051e-06,11.71,8500,,,,,,,,,,,,
28,,,12.0,8712,0.5018675923347473,0.725641827151769,0.7671452520056756,0.1955252044208824,29.0513,383.081,23.958,,,,,
29,0.3097,1.3512396694214877e-06,12.4,9000,,,,,,,,,,,,
30,,,13.0,9438,0.5024070739746094,0.7250451134960584,0.7665020166486175,0.19103243777518195,27.606,403.137,25.212,,,,,
31,0.3027,1.0929752066115703e-06,13.09,9500,,,,,,,,,,,,
32,0.301,8.347107438016529e-07,13.77,10000,,,,,,,,,,,,
33,,,14.0,10164,0.5081173777580261,0.7274491047008258,0.7680192566892347,0.1925599784347201,27.2618,408.227,25.53,,,,,
34,0.3011,5.764462809917356e-07,14.46,10500,,,,,,,,,,,,
35,,,15.0,10890,0.5084313750267029,0.7252167561645317,0.7664047588495619,0.18914547578398777,28.2734,393.621,24.617,,,,,
36,0.2944,3.181818181818182e-07,15.15,11000,,,,,,,,,,,,
37,0.2944,5.991735537190082e-08,15.84,11500,,,,,,,,,,,,
38,,,16.0,11616,0.5103509426116943,0.7258166889492094,0.7667945292359613,0.1904933057776979,28.2991,393.263,24.594,,,,,
39,,,16.0,11616,,,,,,,,2111.6366,87.97,5.501,1.221953566113792e+16,0.3631588926656844
