,loss,learning_rate,epoch,step,eval_loss,eval_f1,eval_roc_auc,eval_accuracy,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
0,0.5683,5.741735537190083e-06,0.69,500,,,,,,,,,,,,
1,,,1.0,726,0.4965789020061493,0.7067861374801955,0.7490581829701491,0.17063527720370203,27.4719,405.106,25.335,,,,,
2,0.5016,5.483471074380165e-06,1.38,1000,,,,,,,,,,,,
3,,,2.0,1452,0.48338034749031067,0.717378939989154,0.7577284577702365,0.1861802497978255,27.8651,399.388,24.977,,,,,
4,0.4776,5.225206611570248e-06,2.07,1500,,,,,,,,,,,,
5,0.4526,4.9669421487603305e-06,2.75,2000,,,,,,,,,,,,
6,,,3.0,2178,0.4796922206878662,0.718307025896174,0.7597367435158009,0.18806721178901967,27.7245,401.414,25.104,,,,,
7,0.4391,4.708677685950413e-06,3.44,2500,,,,,,,,,,,,
8,,,4.0,2904,0.4867904782295227,0.7177684694565202,0.7579826473143171,0.18465270913828735,28.0854,396.256,24.782,,,,,
9,0.4255,4.4504132231404965e-06,4.13,3000,,,,,,,,,,,,
10,0.4098,4.192148760330578e-06,4.82,3500,,,,,,,,,,,,
11,,,5.0,3630,0.4845448434352875,0.7136031978534957,0.7574922990373899,0.1881570671219337,28.3039,393.197,24.59,,,,,
12,0.398,3.933884297520661e-06,5.51,4000,,,,,,,,,,,,
13,,,6.0,4356,0.4993712902069092,0.717425515457043,0.7584908457811497,0.19175128043849402,28.346,392.613,24.554,,,,,
14,0.3909,3.6756198347107442e-06,6.2,4500,,,,,,,,,,,,
15,0.381,3.4173553719008264e-06,6.89,5000,,,,,,,,,,,,
16,,,7.0,5082,0.5007861256599426,0.7123812128255965,0.7563501520731357,0.18860634378650373,28.2166,394.414,24.666,,,,,
17,0.3675,3.159090909090909e-06,7.58,5500,,,,,,,,,,,,
18,,,8.0,5808,0.5089014768600464,0.7161027117830573,0.7573101189363676,0.18779764579027766,29.5081,377.151,23.587,,,,,
19,0.3601,2.900826446280992e-06,8.26,6000,,,,,,,,,,,,
20,0.3567,2.6425619834710746e-06,8.95,6500,,,,,,,,,,,,
21,,,9.0,6534,0.5115379095077515,0.7108897379912663,0.7549032614298409,0.18546140713451342,28.5747,389.471,24.357,,,,,
22,0.3466,2.384297520661157e-06,9.64,7000,,,,,,,,,,,,
23,,,10.0,7260,0.520470142364502,0.7118864097363085,0.7549303650696576,0.18393386647497528,29.1744,381.465,23.857,,,,,
24,0.3389,2.1260330578512397e-06,10.33,7500,,,,,,,,,,,,
25,,,11.0,7986,0.5231457352638245,0.7093334056958333,0.7530468949264215,0.18357444514331925,28.873,385.447,24.106,,,,,
26,0.337,1.8677685950413223e-06,11.02,8000,,,,,,,,,,,,
27,0.3294,1.6095041322314051e-06,11.71,8500,,,,,,,,,,,,
28,,,12.0,8712,0.528647243976593,0.7083731992017714,0.7529100309418326,0.18330487914457724,29.3155,379.628,23.742,,,,,
29,0.3264,1.3512396694214877e-06,12.4,9000,,,,,,,,,,,,
30,,,13.0,9438,0.5317865014076233,0.7066768952574043,0.7516790370769189,0.18240632581543714,29.5866,376.15,23.524,,,,,
31,0.3207,1.0929752066115703e-06,13.09,9500,,,,,,,,,,,,
32,0.317,8.347107438016529e-07,13.77,10000,,,,,,,,,,,,
33,,,14.0,10164,0.5368101000785828,0.707914955892516,0.7517125731329495,0.180878785155899,30.0839,369.932,23.135,,,,,
34,0.3161,5.764462809917356e-07,14.46,10500,,,,,,,,,,,,
35,,,15.0,10890,0.537379264831543,0.7061020321934331,0.7507116094043601,0.17827298050139276,29.2124,380.969,23.826,,,,,
36,0.3093,3.181818181818182e-07,15.15,11000,,,,,,,,,,,,
37,0.3135,5.991735537190082e-08,15.84,11500,,,,,,,,,,,,
38,,,16.0,11616,0.5398364663124084,0.7077285528596188,0.7514775451105004,0.17836283583430676,28.6844,387.981,24.264,,,,,
39,,,16.0,11616,,,,,,,,2109.6019,88.055,5.506,1.221953566113792e+16,0.38111351245690966
