,loss,learning_rate,epoch,step,eval_loss,eval_f1,eval_roc_auc,eval_accuracy,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
0,0.5384,1.959729381443299e-05,0.32,500,,,,,,,,,,,,
1,0.4932,1.9194587628865983e-05,0.64,1000,,,,,,,,,,,,
2,0.4789,1.8791881443298972e-05,0.97,1500,,,,,,,,,,,,
3,,,1.0,1552,0.4737541675567627,0.639895763017849,0.7295014732706819,0.14776371308016878,71.0341,166.821,20.863,,,,,
4,0.4382,1.8389175257731958e-05,1.29,2000,,,,,,,,,,,,
5,0.4289,1.798646907216495e-05,1.61,2500,,,,,,,,,,,,
6,0.4296,1.758376288659794e-05,1.93,3000,,,,,,,,,,,,
7,,,2.0,3104,0.47542935609817505,0.6508248541368519,0.7377775527576254,0.16379746835443038,70.3881,168.352,21.055,,,,,
8,0.3792,1.718105670103093e-05,2.26,3500,,,,,,,,,,,,
9,0.3643,1.6778350515463918e-05,2.58,4000,,,,,,,,,,,,
10,0.3672,1.637564432989691e-05,2.9,4500,,,,,,,,,,,,
11,,,3.0,4656,0.5034270882606506,0.6304838551378938,0.7235403901642707,0.15721518987341773,68.9365,171.897,21.498,,,,,
12,0.3187,1.59729381443299e-05,3.22,5000,,,,,,,,,,,,
13,0.296,1.557023195876289e-05,3.54,5500,,,,,,,,,,,,
14,0.3025,1.5167525773195877e-05,3.87,6000,,,,,,,,,,,,
15,,,4.0,6208,0.5625759959220886,0.6044558697514997,0.7067801711885964,0.1529113924050633,71.3166,166.161,20.781,,,,,
16,0.2583,1.4764819587628867e-05,4.19,6500,,,,,,,,,,,,
17,0.2348,1.4362113402061857e-05,4.51,7000,,,,,,,,,,,,
18,0.2346,1.3959407216494846e-05,4.83,7500,,,,,,,,,,,,
19,,,5.0,7760,0.6247904896736145,0.6316074041091533,0.723596684104367,0.14953586497890295,70.2429,168.7,21.098,,,,,
20,0.2097,1.3556701030927837e-05,5.15,8000,,,,,,,,,,,,
21,0.1844,1.3153994845360826e-05,5.48,8500,,,,,,,,,,,,
22,0.1826,1.2751288659793815e-05,5.8,9000,,,,,,,,,,,,
23,,,6.0,9312,0.711624801158905,0.6200022579552602,0.7154486602017249,0.14227848101265822,70.8072,167.356,20.93,,,,,
24,0.17,1.2348582474226804e-05,6.12,9500,,,,,,,,,,,,
25,0.1443,1.1945876288659795e-05,6.44,10000,,,,,,,,,,,,
26,0.1388,1.1543170103092784e-05,6.77,10500,,,,,,,,,,,,
27,,,7.0,10864,0.7814528942108154,0.6148829322376574,0.7121096793016011,0.13831223628691983,69.9143,169.493,21.197,,,,,
28,0.1406,1.1140463917525775e-05,7.09,11000,,,,,,,,,,,,
29,0.1082,1.0737757731958764e-05,7.41,11500,,,,,,,,,,,,
30,0.1118,1.0335051546391755e-05,7.73,12000,,,,,,,,,,,,
31,,,8.0,12416,0.8616180419921875,0.6143588050833471,0.7122016952603704,0.1369620253164557,71.2964,166.208,20.786,,,,,
32,0.0999,9.932345360824744e-06,8.05,12500,,,,,,,,,,,,
33,0.0826,9.529639175257731e-06,8.38,13000,,,,,,,,,,,,
34,0.0841,9.126932989690722e-06,8.7,13500,,,,,,,,,,,,
35,,,9.0,13968,0.9431915283203125,0.6295087064676618,0.7213746064863524,0.1329957805907173,73.1438,162.01,20.261,,,,,
36,0.0804,8.724226804123711e-06,9.02,14000,,,,,,,,,,,,
37,0.0652,8.321520618556702e-06,9.34,14500,,,,,,,,,,,,
38,0.0635,7.918814432989691e-06,9.66,15000,,,,,,,,,,,,
39,0.0618,7.516108247422681e-06,9.99,15500,,,,,,,,,,,,
40,,,10.0,15520,1.0345735549926758,0.622706114398422,0.7166969701956225,0.12987341772151897,70.5999,167.847,20.992,,,,,
41,0.0518,7.113402061855671e-06,10.31,16000,,,,,,,,,,,,
42,0.0462,6.71069587628866e-06,10.63,16500,,,,,,,,,,,,
43,0.0482,6.30798969072165e-06,10.95,17000,,,,,,,,,,,,
44,,,11.0,17072,1.080271601676941,0.6096810113316303,0.7085106884211192,0.12936708860759494,71.5828,165.543,20.703,,,,,
45,0.0379,5.90528350515464e-06,11.28,17500,,,,,,,,,,,,
46,0.0376,5.50257731958763e-06,11.6,18000,,,,,,,,,,,,
47,0.0362,5.099871134020618e-06,11.92,18500,,,,,,,,,,,,
48,,,12.0,18624,1.1266021728515625,0.617547480088995,0.713630646030857,0.13232067510548523,68.6726,172.558,21.581,,,,,
49,0.0287,4.697164948453608e-06,12.24,19000,,,,,,,,,,,,
50,0.0283,4.294458762886598e-06,12.56,19500,,,,,,,,,,,,
51,0.0291,3.891752577319588e-06,12.89,20000,,,,,,,,,,,,
52,,,13.0,20176,1.1795467138290405,0.621344,0.7161591017297769,0.13468354430379748,71.4463,165.859,20.743,,,,,
53,0.0245,3.4890463917525776e-06,13.21,20500,,,,,,,,,,,,
54,0.022,3.0863402061855675e-06,13.53,21000,,,,,,,,,,,,
55,0.0223,2.683634020618557e-06,13.85,21500,,,,,,,,,,,,
56,,,14.0,21728,1.2110810279846191,0.6192896677478175,0.7149434502238279,0.13527426160337552,71.3634,166.052,20.767,,,,,
57,0.0201,2.2809278350515465e-06,14.18,22000,,,,,,,,,,,,
58,0.0183,1.8782216494845362e-06,14.5,22500,,,,,,,,,,,,
59,0.0189,1.475515463917526e-06,14.82,23000,,,,,,,,,,,,
60,,,15.0,23280,1.23113214969635,0.61746331541479,0.7136162236784567,0.13265822784810127,68.1737,173.821,21.739,,,,,
61,0.0157,1.0728092783505155e-06,15.14,23500,,,,,,,,,,,,
62,0.0153,6.701030927835052e-07,15.46,24000,,,,,,,,,,,,
63,0.015,2.673969072164949e-07,15.79,24500,,,,,,,,,,,,
64,,,16.0,24832,1.2377116680145264,0.6189284734216856,0.7146909502702183,0.13392405063291138,71.4318,165.893,20.747,,,,,
65,,,16.0,24832,,,,,,,,6119.4542,32.46,4.058,1.306679890034688e+16,0.16141398421959163
