,loss,learning_rate,epoch,step,eval_loss,eval_f1,eval_roc_auc,eval_accuracy,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
0,0.5685,5.741735537190083e-06,0.69,500,,,,,,,,,,,,
1,,,1.0,726,0.5138089656829834,0.6879423189485447,0.7325181773755236,0.14933956330308204,16.2716,683.952,42.774,,,,,
2,0.5177,5.483471074380165e-06,1.38,1000,,,,,,,,,,,,
3,,,2.0,1452,0.49821048974990845,0.70240374388428,0.7450906266784992,0.16964686854164795,16.3995,678.617,42.44,,,,,
4,0.4996,5.225206611570248e-06,2.07,1500,,,,,,,,,,,,
5,0.4747,4.9669421487603305e-06,2.75,2000,,,,,,,,,,,,
6,,,3.0,2178,0.4930141866207123,0.7078805978108709,0.750143147101092,0.17845269116722076,16.3619,680.179,42.538,,,,,
7,0.4611,4.708677685950413e-06,3.44,2500,,,,,,,,,,,,
8,,,4.0,2904,0.4953906536102295,0.708241004537301,0.7494310261103103,0.1796208104951029,15.5263,716.786,44.827,,,,,
9,0.4485,4.4504132231404965e-06,4.13,3000,,,,,,,,,,,,
10,0.4356,4.192148760330578e-06,4.82,3500,,,,,,,,,,,,
11,,,5.0,3630,0.4970701038837433,0.7083791687907488,0.7511667761962755,0.18411357714080331,16.6405,668.79,41.826,,,,,
12,0.423,3.933884297520661e-06,5.51,4000,,,,,,,,,,,,
13,,,6.0,4356,0.5040506720542908,0.7085721868365181,0.7502994597221413,0.18267589181417918,16.2569,684.569,42.812,,,,,
14,0.4181,3.6756198347107442e-06,6.2,4500,,,,,,,,,,,,
15,0.4074,3.4173553719008264e-06,6.89,5000,,,,,,,,,,,,
16,,,7.0,5082,0.5100258588790894,0.707999249148588,0.750786865855116,0.18366430047623328,16.1843,687.644,43.005,,,,,
17,0.3963,3.159090909090909e-06,7.58,5500,,,,,,,,,,,,
18,,,8.0,5808,0.5127949714660645,0.7078753601536657,0.7501882199529614,0.18375415580914728,17.4569,637.514,39.87,,,,,
19,0.3899,2.900826446280992e-06,8.26,6000,,,,,,,,,,,,
20,0.3867,2.6425619834710746e-06,8.95,6500,,,,,,,,,,,,
21,,,9.0,6534,0.5167430639266968,0.703348767093787,0.7471358614923655,0.18177733848503907,16.4822,675.212,42.227,,,,,
22,0.3783,2.384297520661157e-06,9.64,7000,,,,,,,,,,,,
23,,,10.0,7260,0.5240070223808289,0.7055792845702082,0.748250541486038,0.18033965315841496,17.2698,644.42,40.302,,,,,
24,0.3755,2.1260330578512397e-06,10.33,7500,,,,,,,,,,,,
25,,,11.0,7986,0.5264511108398438,0.7025311391459739,0.7455089811731771,0.1776439931709947,17.6431,630.785,39.449,,,,,
26,0.3708,1.8677685950413223e-06,11.02,8000,,,,,,,,,,,,
27,0.3658,1.6095041322314051e-06,11.71,8500,,,,,,,,,,,,
28,,,12.0,8712,0.5295372009277344,0.7045466659559726,0.7471890121894298,0.18042950849132897,16.2023,686.876,42.957,,,,,
29,0.3628,1.3512396694214877e-06,12.4,9000,,,,,,,,,,,,
30,,,13.0,9438,0.5297691226005554,0.7032347666626216,0.747213897214662,0.17926138916344686,16.7443,664.642,41.566,,,,,
31,0.3597,1.0929752066115703e-06,13.09,9500,,,,,,,,,,,,
32,0.3544,8.347107438016529e-07,13.77,10000,,,,,,,,,,,,
33,,,14.0,10164,0.5344982743263245,0.7006610262667435,0.7444290003116043,0.17773384850390872,16.1381,689.61,43.128,,,,,
34,0.3565,5.764462809917356e-07,14.46,10500,,,,,,,,,,,,
35,,,15.0,10890,0.5353078842163086,0.7009132420091324,0.744811356871103,0.17809326983556473,17.0873,651.304,40.732,,,,,
36,0.3495,3.181818181818182e-07,15.15,11000,,,,,,,,,,,,
37,0.3515,5.991735537190082e-08,15.84,11500,,,,,,,,,,,,
38,,,16.0,11616,0.5362691879272461,0.7023076819931078,0.7458613044775539,0.17899182316470483,16.5227,673.559,42.124,,,,,
39,,,16.0,11616,,,,,,,,1103.9228,168.273,10.522,6152444243804160.0,0.41031546599280405
