,loss,learning_rate,epoch,step,eval_loss,eval_f1,eval_roc_auc,eval_accuracy,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
0,0.6484,9.569559228650136e-07,0.69,500,,,,,,,,,,,,
1,,,1.0,726,0.5919954180717468,0.5606243169781713,0.641955225559171,0.05900086132644272,24.6611,470.782,29.439,,,,,
2,0.5995,9.139118457300276e-07,1.38,1000,,,,,,,,,,,,
3,,,2.0,1452,0.49182945489883423,0.7287720346579026,0.7582613214633276,0.16606373815676143,24.3427,476.94,29.824,,,,,
4,0.5176,8.708677685950412e-07,2.07,1500,,,,,,,,,,,,
5,0.4943,8.27823691460055e-07,2.75,2000,,,,,,,,,,,,
6,,,3.0,2178,0.47499364614486694,0.735021937101353,0.7668698268683183,0.17708871662360035,24.1173,481.396,30.103,,,,,
7,0.4883,7.847796143250687e-07,3.44,2500,,,,,,,,,,,,
8,,,4.0,2904,0.4622589647769928,0.748866639191253,0.7780706177184874,0.19758828596037897,24.1534,480.678,30.058,,,,,
9,0.4758,7.417355371900826e-07,4.13,3000,,,,,,,,,,,,
10,0.4709,6.986914600550963e-07,4.82,3500,,,,,,,,,,,,
11,,,5.0,3630,0.4534173905849457,0.7553031690785857,0.7845436353944341,0.20835486649440138,24.4961,473.953,29.637,,,,,
12,0.4598,6.556473829201101e-07,5.51,4000,,,,,,,,,,,,
13,,,6.0,4356,0.44405221939086914,0.761223241590214,0.790015706206963,0.2177433247200689,24.521,473.472,29.607,,,,,
14,0.4603,6.126033057851239e-07,6.2,4500,,,,,,,,,,,,
15,0.4518,5.695592286501377e-07,6.89,5000,,,,,,,,,,,,
16,,,7.0,5082,0.43699634075164795,0.7638909431543658,0.792985283085066,0.2186907838070629,24.6219,471.532,29.486,,,,,
17,0.4477,5.265151515151514e-07,7.58,5500,,,,,,,,,,,,
18,,,8.0,5808,0.4301684498786926,0.768746309781539,0.7971872084212597,0.22747631352282516,24.5461,472.987,29.577,,,,,
19,0.4395,4.834710743801652e-07,8.26,6000,,,,,,,,,,,,
20,0.4426,4.404269972451791e-07,8.95,6500,,,,,,,,,,,,
21,,,9.0,6534,0.42609280347824097,0.7698195195417623,0.7983953754483182,0.22566752799310938,24.5036,473.807,29.628,,,,,
22,0.4391,3.973829201101928e-07,9.64,7000,,,,,,,,,,,,
23,,,10.0,7260,0.42424285411834717,0.7732792028049456,0.8012589926174516,0.23290267011197244,24.7086,469.877,29.383,,,,,
24,0.4343,3.543388429752066e-07,10.33,7500,,,,,,,,,,,,
25,,,11.0,7986,0.4204448163509369,0.7742748119882933,0.8023960397995187,0.23333333333333334,24.7451,469.184,29.339,,,,,
26,0.4345,3.1129476584022037e-07,11.02,8000,,,,,,,,,,,,
27,0.4282,2.6825068870523417e-07,11.71,8500,,,,,,,,,,,,
28,,,12.0,8712,0.41795381903648376,0.776889740095515,0.8043651498532155,0.2372093023255814,24.7323,469.426,29.354,,,,,
29,0.4322,2.2520661157024792e-07,12.4,9000,,,,,,,,,,,,
30,,,13.0,9438,0.4154600501060486,0.7773894208285131,0.8049662462990684,0.23617571059431525,24.632,471.339,29.474,,,,,
31,0.4276,1.821625344352617e-07,13.09,9500,,,,,,,,,,,,
32,0.4264,1.3911845730027546e-07,13.77,10000,,,,,,,,,,,,
33,,,14.0,10164,0.4139411747455597,0.7782594773012785,0.8057910444853619,0.23669250645994833,24.3119,477.543,29.862,,,,,
34,0.4277,9.607438016528925e-08,14.46,10500,,,,,,,,,,,,
35,,,15.0,10890,0.41311898827552795,0.7787950383933845,0.8062179587046996,0.23729543496985359,24.5359,473.183,29.589,,,,,
36,0.4237,5.303030303030303e-08,15.15,11000,,,,,,,,,,,,
37,0.4251,9.986225895316805e-09,15.84,11500,,,,,,,,,,,,
38,,,16.0,11616,0.41292324662208557,0.7790895423064599,0.8065699555003979,0.23789836347975882,24.816,467.843,29.255,,,,,
39,,,16.0,11616,,,,,,,,1889.4688,98.313,6.148,1.221953566113792e+16,0.4645885504966925
