,loss,learning_rate,epoch,step,eval_loss,eval_f1,eval_roc_auc,eval_accuracy,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
0,0.6309,5.836101398601399e-06,0.87,500,,,,,,,,,,,,
1,,,1.0,572,0.5917314887046814,0.6157426705571766,0.6733017428822016,0.10386500969102724,19.0266,460.986,28.854,,,,,
2,0.5955,5.672202797202798e-06,1.75,1000,,,,,,,,,,,,
3,,,2.0,1144,0.5851559042930603,0.6358580240671453,0.685054015827775,0.12689545091779728,19.1194,458.749,28.714,,,,,
4,0.5745,5.5083041958041954e-06,2.62,1500,,,,,,,,,,,,
5,,,3.0,1716,0.5833004117012024,0.6382590785541844,0.6874342554457444,0.12393113670049025,19.2448,455.759,28.527,,,,,
6,0.5607,5.344405594405595e-06,3.5,2000,,,,,,,,,,,,
7,,,4.0,2288,0.5954034924507141,0.6431076786272992,0.6873782350250458,0.14228708243073765,19.3026,454.394,28.442,,,,,
8,0.5421,5.180506993006993e-06,4.37,2500,,,,,,,,,,,,
9,,,5.0,2860,0.5989715456962585,0.6328102805768621,0.6808854121146634,0.12655341466195416,19.4448,451.071,28.234,,,,,
10,0.5264,5.0166083916083924e-06,5.24,3000,,,,,,,,,,,,
11,,,6.0,3432,0.6151753664016724,0.6289765557547984,0.6763442967581911,0.13225401892600616,19.4696,450.497,28.198,,,,,
12,0.5122,4.85270979020979e-06,6.12,3500,,,,,,,,,,,,
13,0.4964,4.6888111888111885e-06,6.99,4000,,,,,,,,,,,,
14,,,7.0,4004,0.6252644658088684,0.626587721619476,0.6735086270475864,0.12700946300307833,19.4344,451.312,28.249,,,,,
15,0.4768,4.524912587412588e-06,7.87,4500,,,,,,,,,,,,
16,,,8.0,4576,0.6353114247322083,0.6218057921635435,0.6748560456950086,0.12928970470869913,19.4752,450.369,28.19,,,,,
17,0.4656,4.361013986013986e-06,8.74,5000,,,,,,,,,,,,
18,,,9.0,5148,0.6545314788818359,0.6261244813278009,0.6737619967399691,0.13020180139094745,19.3454,453.39,28.379,,,,,
19,0.4512,4.197115384615385e-06,9.62,5500,,,,,,,,,,,,
20,,,10.0,5720,0.6647369265556335,0.6194400858865307,0.6669242919352938,0.11674837532778475,19.272,455.117,28.487,,,,,
21,0.4421,4.033216783216783e-06,10.49,6000,,,,,,,,,,,,
22,,,11.0,6292,0.6710904836654663,0.6123896838317197,0.6679050301759737,0.12051077414205906,19.2745,455.056,28.483,,,,,
23,0.4245,3.869318181818182e-06,11.36,6500,,,,,,,,,,,,
24,,,12.0,6864,0.6890368461608887,0.6066579503168057,0.6585995867504649,0.11424010945160187,19.1831,457.226,28.619,,,,,
25,0.4169,3.7054195804195807e-06,12.24,7000,,,,,,,,,,,,
26,,,13.0,7436,0.7127915620803833,0.6177948759924695,0.6637267801841149,0.12108083456846426,19.3285,453.786,28.404,,,,,
27,0.4063,3.5415209790209788e-06,13.11,7500,,,,,,,,,,,,
28,0.3971,3.3776223776223776e-06,13.99,8000,,,,,,,,,,,,
29,,,14.0,8008,0.7175403237342834,0.6027249426682855,0.6563839446116723,0.11389807319575875,19.3103,454.214,28.43,,,,,
30,0.3858,3.2137237762237765e-06,14.86,8500,,,,,,,,,,,,
31,,,15.0,8580,0.7376611828804016,0.620012257134812,0.6679798367068022,0.12666742674723522,19.3216,453.948,28.414,,,,,
32,0.3746,3.049825174825175e-06,15.73,9000,,,,,,,,,,,,
