,loss,learning_rate,epoch,step,eval_loss,eval_f1,eval_roc_auc,eval_accuracy,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
0,0.637,8.63756443298969e-07,0.64,500,,,,,,,,,,,,
1,,,1.0,776,0.5499776005744934,0.4807642344664948,0.6396898761588338,0.08666666666666667,27.3992,432.495,27.045,,,,,
2,0.5771,8.275128865979381e-07,1.29,1000,,,,,,,,,,,,
3,0.5225,7.912693298969072e-07,1.93,1500,,,,,,,,,,,,
4,,,2.0,1552,0.4961124658584595,0.5892908339657643,0.6954075073558499,0.11130801687763713,31.2883,378.735,23.683,,,,,
5,0.5074,7.550257731958762e-07,2.58,2000,,,,,,,,,,,,
6,,,3.0,2328,0.48744016885757446,0.623018629617935,0.7169504679849535,0.12236286919831224,28.5252,415.422,25.977,,,,,
7,0.5005,7.187822164948454e-07,3.22,2500,,,,,,,,,,,,
8,0.4983,6.825386597938144e-07,3.87,3000,,,,,,,,,,,,
9,,,4.0,3104,0.4819783568382263,0.6311506197571053,0.7228124102354236,0.13071729957805908,29.62,400.068,25.017,,,,,
10,0.4902,6.462951030927834e-07,4.51,3500,,,,,,,,,,,,
11,,,5.0,3880,0.4765462577342987,0.6348716333280833,0.7257909173541438,0.13358649789029536,28.2135,420.012,26.264,,,,,
12,0.4812,6.100515463917526e-07,5.15,4000,,,,,,,,,,,,
13,0.4816,5.738079896907216e-07,5.8,4500,,,,,,,,,,,,
14,,,6.0,4656,0.47388699650764465,0.6444434069439905,0.7327792460773427,0.14244725738396624,27.9172,424.469,26.543,,,,,
15,0.475,5.375644329896906e-07,6.44,5000,,,,,,,,,,,,
16,,,7.0,5432,0.47039759159088135,0.6477194733886567,0.7353107052867938,0.1470042194092827,28.8928,410.137,25.647,,,,,
17,0.471,5.013208762886598e-07,7.09,5500,,,,,,,,,,,,
18,0.4692,4.650773195876289e-07,7.73,6000,,,,,,,,,,,,
19,,,8.0,6208,0.46910861134529114,0.649538600395263,0.7366593815489221,0.15172995780590717,27.5632,429.92,26.884,,,,,
20,0.4649,4.288337628865979e-07,8.38,6500,,,,,,,,,,,,
21,,,9.0,6984,0.4684092402458191,0.6521643594814327,0.7387631618658098,0.15611814345991562,28.3688,417.712,26.12,,,,,
22,0.4649,3.92590206185567e-07,9.02,7000,,,,,,,,,,,,
23,0.4628,3.5634664948453604e-07,9.66,7500,,,,,,,,,,,,
24,,,10.0,7760,0.46615922451019287,0.6521889111891621,0.7387699791594883,0.15654008438818565,28.324,418.374,26.162,,,,,
25,0.4592,3.2010309278350517e-07,10.31,8000,,,,,,,,,,,,
26,0.4582,2.838595360824742e-07,10.95,8500,,,,,,,,,,,,
27,,,11.0,8536,0.46594491600990295,0.6525475463723878,0.7390209561006801,0.15780590717299578,28.383,417.504,26.107,,,,,
28,0.4568,2.476159793814433e-07,11.6,9000,,,,,,,,,,,,
29,,,12.0,9312,0.4655757248401642,0.6543629391776039,0.7403517963618859,0.15772151898734177,27.8981,424.76,26.561,,,,,
30,0.453,2.1137242268041237e-07,12.24,9500,,,,,,,,,,,,
31,0.4572,1.7512886597938144e-07,12.89,10000,,,,,,,,,,,,
32,,,13.0,10088,0.46489188075065613,0.6553259290500961,0.7411049472595055,0.1590717299578059,28.1554,420.878,26.318,,,,,
33,0.4585,1.388853092783505e-07,13.53,10500,,,,,,,,,,,,
34,,,14.0,10864,0.4652436077594757,0.655102964824905,0.7409304935645598,0.15932489451476795,29.5606,400.872,25.067,,,,,
35,0.4486,1.0264175257731958e-07,14.18,11000,,,,,,,,,,,,
36,0.4577,6.639819587628866e-08,14.82,11500,,,,,,,,,,,,
37,,,15.0,11640,0.4652126133441925,0.6552198231415806,0.7410261132357981,0.15983122362869198,27.7485,427.051,26.704,,,,,
38,0.4489,3.015463917525773e-08,15.46,12000,,,,,,,,,,,,
39,,,16.0,12416,0.4652247726917267,0.6557801484808784,0.7414351258480918,0.15949367088607594,27.9153,424.499,26.545,,,,,
40,,,16.0,12416,,,,,,,,2177.5525,91.222,5.702,1.306679890034688e+16,0.4823971249393581
