,loss,learning_rate,epoch,step,eval_loss,eval_f1,eval_roc_auc,eval_accuracy,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
0,0.6269,5.672202797202798e-06,0.87,500,,,,,,,,,,,,
1,,,1.0,572,0.5949883460998535,0.624760173684742,0.6751544082713344,0.11378406111047772,21.4281,409.322,25.621,,,,,
2,0.5895,5.344405594405595e-06,1.75,1000,,,,,,,,,,,,
3,,,2.0,1144,0.5900206565856934,0.6294230964209674,0.6799418226641982,0.12142287082430737,22.2018,395.058,24.728,,,,,
4,0.5678,5.0166083916083924e-06,2.62,1500,,,,,,,,,,,,
5,,,3.0,1716,0.5952070355415344,0.6284479175326295,0.6761327465188633,0.1200547258009349,21.7368,403.509,25.257,,,,,
6,0.5493,4.6888111888111885e-06,3.5,2000,,,,,,,,,,,,
7,,,4.0,2288,0.6055782437324524,0.6290630975143403,0.6750756786507106,0.1321400068407251,22.506,389.719,24.394,,,,,
8,0.5282,4.361013986013986e-06,4.37,2500,,,,,,,,,,,,
9,,,5.0,2860,0.6153393387794495,0.6222007786244301,0.6707565962430915,0.12381712461520922,22.4335,390.977,24.472,,,,,
10,0.5109,4.033216783216783e-06,5.24,3000,,,,,,,,,,,,
11,,,6.0,3432,0.6290640234947205,0.6204455131416358,0.6699126613665723,0.12575533006498688,22.1269,396.396,24.811,,,,,
12,0.4937,3.7054195804195807e-06,6.12,3500,,,,,,,,,,,,
13,0.4777,3.3776223776223776e-06,6.99,4000,,,,,,,,,,,,
14,,,7.0,4004,0.6435312628746033,0.6158050632497095,0.661876284091764,0.11880059286284346,22.4436,390.802,24.461,,,,,
15,0.46,3.049825174825175e-06,7.87,4500,,,,,,,,,,,,
16,,,8.0,4576,0.6492120623588562,0.6139480301760268,0.6649912094629444,0.1200547258009349,21.5226,407.524,25.508,,,,,
17,0.4505,2.7220279720279718e-06,8.74,5000,,,,,,,,,,,,
18,,,9.0,5148,0.6658203601837158,0.6169773635153128,0.6662455444198071,0.12313305210352297,21.8788,400.89,25.093,,,,,
19,0.4382,2.3942307692307695e-06,9.62,5500,,,,,,,,,,,,
20,,,10.0,5720,0.6708049774169922,0.611498199198896,0.6636211783996073,0.11640633907194163,21.6977,404.237,25.302,,,,,
21,0.4327,2.0664335664335668e-06,10.49,6000,,,,,,,,,,,,
22,,,11.0,6292,0.6815140247344971,0.6110305515275763,0.6612919047408352,0.11845855660700035,21.6831,404.508,25.319,,,,,
23,0.4213,1.7386363636363638e-06,11.36,6500,,,,,,,,,,,,
24,,,12.0,6864,0.6840767860412598,0.6087250477494379,0.6620648560549313,0.11503819404856915,21.8792,400.883,25.092,,,,,
25,0.4132,1.410839160839161e-06,12.24,7000,,,,,,,,,,,,
26,,,13.0,7436,0.689109206199646,0.6091420273213893,0.6622317308785565,0.11595029073081747,21.7312,403.613,25.263,,,,,
27,0.407,1.083041958041958e-06,13.11,7500,,,,,,,,,,,,
28,0.4073,7.552447552447554e-07,13.99,8000,,,,,,,,,,,,
29,,,14.0,8008,0.69443678855896,0.6051829268292683,0.6594166348620643,0.1149241819632881,21.6119,405.842,25.403,,,,,
30,0.4003,4.2744755244755246e-07,14.86,8500,,,,,,,,,,,,
31,,,15.0,8580,0.69673752784729,0.6074826477061114,0.6613026823912884,0.11526621821913123,21.8251,401.877,25.155,,,,,
32,0.3965,9.965034965034965e-08,15.73,9000,,,,,,,,,,,,
33,,,16.0,9152,0.6987265348434448,0.6068664886966512,0.6603777292860405,0.11446813362216395,21.5647,406.729,25.458,,,,,
34,,,16.0,9152,,,,,,,,1618.2693,90.358,5.655,9618805892087808.0,0.4748376349469165
