,loss,learning_rate,epoch,step,eval_loss,eval_accuracy,eval_runtime,eval_samples_per_second,train_runtime,train_samples_per_second,total_flos
0,0.6976,4.941806331471136e-05,0.19,500,,,,,,,
1,0.6956,4.8836126629422725e-05,0.37,1000,,,,,,,
2,0.6939,4.825418994413408e-05,0.56,1500,,,,,,,
3,0.6947,4.767225325884544e-05,0.74,2000,,,,,,,
4,0.6937,4.7090316573556796e-05,0.93,2500,,,,,,,
5,,,1.0,2685,0.6931471824645996,0.5005440711975098,40.5449,1065.361,,,
6,0.6941,4.6508379888268164e-05,1.12,3000,,,,,,,
7,0.6935,4.592644320297952e-05,1.3,3500,,,,,,,
8,0.6948,4.534450651769088e-05,1.49,4000,,,,,,,
9,0.6942,4.4762569832402234e-05,1.68,4500,,,,,,,
10,0.6937,4.4180633147113596e-05,1.86,5000,,,,,,,
11,,,2.0,5370,0.6931471824645996,0.49857622385025024,40.6914,1061.526,,,
12,0.6942,4.359869646182496e-05,2.05,5500,,,,,,,
13,0.694,4.301675977653631e-05,2.23,6000,,,,,,,
14,0.6938,4.243482309124767e-05,2.42,6500,,,,,,,
15,0.694,4.1852886405959035e-05,2.61,7000,,,,,,,
16,0.6941,4.1270949720670396e-05,2.79,7500,,,,,,,
17,0.6942,4.068901303538175e-05,2.98,8000,,,,,,,
18,,,3.0,8055,0.6931471824645996,0.5015626549720764,43.0159,1004.164,,,
19,0.6946,4.010707635009311e-05,3.17,8500,,,,,,,
20,0.694,3.952513966480447e-05,3.35,9000,,,,,,,
21,0.6942,3.894320297951583e-05,3.54,9500,,,,,,,
22,0.6948,3.836126629422719e-05,3.72,10000,,,,,,,
23,0.6934,3.777932960893855e-05,3.91,10500,,,,,,,
24,,,4.0,10740,0.6931471824645996,0.5028128027915955,41.0291,1052.79,,,
25,0.694,3.719739292364991e-05,4.1,11000,,,,,,,
26,0.694,3.6615456238361267e-05,4.28,11500,,,,,,,
27,0.6939,3.603351955307263e-05,4.47,12000,,,,,,,
28,0.6941,3.545158286778399e-05,4.66,12500,,,,,,,
29,0.6939,3.4869646182495344e-05,4.84,13000,,,,,,,
30,,,5.0,13425,0.6931471228599548,0.5001736283302307,41.1293,1050.223,,,
31,0.6941,3.4287709497206705e-05,5.03,13500,,,,,,,
32,0.6936,3.370577281191806e-05,5.21,14000,,,,,,,
33,0.694,3.312383612662943e-05,5.4,14500,,,,,,,
34,0.6934,3.254189944134078e-05,5.59,15000,,,,,,,
35,0.6943,3.1959962756052144e-05,5.77,15500,,,,,,,
36,0.6939,3.13780260707635e-05,5.96,16000,,,,,,,
37,,,6.0,16110,0.6931471824645996,0.501308023929596,41.4462,1042.194,,,
38,0.6935,3.079608938547486e-05,6.15,16500,,,,,,,
39,0.6943,3.021415270018622e-05,6.33,17000,,,,,,,
40,0.6941,2.963221601489758e-05,6.52,17500,,,,,,,
41,0.6942,2.9050279329608944e-05,6.7,18000,,,,,,,
42,0.6939,2.8468342644320302e-05,6.89,18500,,,,,,,
43,,,7.0,18795,0.6931471824645996,0.5055446028709412,42.5999,1013.969,,,
44,0.6942,2.788640595903166e-05,7.08,19000,,,,,,,
45,0.6939,2.7304469273743018e-05,7.26,19500,,,,,,,
46,0.6935,2.672253258845438e-05,7.45,20000,,,,,,,
47,0.693,2.6140595903165737e-05,7.64,20500,,,,,,,
48,0.6943,2.5558659217877095e-05,7.82,21000,,,,,,,
49,,,8.0,21480,0.6931471824645996,0.5007060766220093,53.7266,803.977,,,
50,0.6935,2.4976722532588457e-05,8.01,21500,,,,,,,
51,0.6941,2.4394785847299815e-05,8.19,22000,,,,,,,
52,0.693,2.3812849162011176e-05,8.38,22500,,,,,,,
53,0.6933,2.3230912476722534e-05,8.57,23000,,,,,,,
54,0.6932,2.2648975791433892e-05,8.75,23500,,,,,,,
55,0.694,2.206703910614525e-05,8.94,24000,,,,,,,
56,,,9.0,24165,0.6931471824645996,0.5023034811019897,40.2162,1074.071,,,
57,0.6938,2.148510242085661e-05,9.12,24500,,,,,,,
58,0.6936,2.090316573556797e-05,9.31,25000,,,,,,,
59,0.693,2.032122905027933e-05,9.5,25500,,,,,,,
60,0.6934,1.9739292364990692e-05,9.68,26000,,,,,,,
61,0.694,1.915735567970205e-05,9.87,26500,,,,,,,
62,,,10.0,26850,0.6931471824645996,0.4993402063846588,40.2538,1073.065,,,
63,0.6936,1.857541899441341e-05,10.06,27000,,,,,,,
64,0.6939,1.799348230912477e-05,10.24,27500,,,,,,,
65,0.694,1.7411545623836127e-05,10.43,28000,,,,,,,
66,0.6935,1.6829608938547485e-05,10.61,28500,,,,,,,
67,0.6938,1.6247672253258847e-05,10.8,29000,,,,,,,
68,0.6933,1.5665735567970205e-05,10.99,29500,,,,,,,
69,,,11.0,29535,0.6931471824645996,0.49957171082496643,40.7372,1060.333,,,
70,0.6934,1.5083798882681566e-05,11.17,30000,,,,,,,
71,0.6935,1.4501862197392924e-05,11.36,30500,,,,,,,
72,0.694,1.3919925512104284e-05,11.55,31000,,,,,,,
73,0.6936,1.3337988826815642e-05,11.73,31500,,,,,,,
74,0.6941,1.2756052141527003e-05,11.92,32000,,,,,,,
75,,,12.0,32220,0.6931471824645996,0.5042018890380859,41.7451,1034.733,,,
76,0.6934,1.2174115456238363e-05,12.1,32500,,,,,,,
77,0.6931,1.1592178770949721e-05,12.29,33000,,,,,,,
78,0.6934,1.101024208566108e-05,12.48,33500,,,,,,,
79,0.6934,1.042830540037244e-05,12.66,34000,,,,,,,
80,0.6936,9.8463687150838e-06,12.85,34500,,,,,,,
81,,,13.0,34905,0.6931471824645996,0.4986225366592407,41.3253,1045.243,,,
82,0.6931,9.264432029795158e-06,13.04,35000,,,,,,,
83,0.6937,8.682495344506518e-06,13.22,35500,,,,,,,
84,0.6934,8.100558659217877e-06,13.41,36000,,,,,,,
85,0.6931,7.518621973929237e-06,13.59,36500,,,,,,,
86,0.6933,6.936685288640596e-06,13.78,37000,,,,,,,
87,0.6936,6.3547486033519555e-06,13.97,37500,,,,,,,
88,,,14.0,37590,0.6931471824645996,0.5009838938713074,41.4976,1040.902,,,
89,0.6935,5.772811918063315e-06,14.15,38000,,,,,,,
90,0.6926,5.190875232774675e-06,14.34,38500,,,,,,,
91,0.6934,4.608938547486034e-06,14.53,39000,,,,,,,
92,0.6931,4.027001862197393e-06,14.71,39500,,,,,,,
93,0.6929,3.445065176908752e-06,14.9,40000,,,,,,,
94,,,15.0,40275,0.6931471824645996,0.5045491456985474,41.0473,1052.322,,,
95,0.6931,2.863128491620112e-06,15.08,40500,,,,,,,
96,0.6931,2.281191806331471e-06,15.27,41000,,,,,,,
97,0.6933,1.6992551210428306e-06,15.46,41500,,,,,,,
98,0.6939,1.11731843575419e-06,15.64,42000,,,,,,,
99,0.694,5.353817504655494e-07,15.83,42500,,,,,,,
100,,,16.0,42960,0.6931471824645996,0.5004745721817017,40.9231,1055.516,,,
101,,,16.0,42960,,,,,3387.6374,12.681,267783177916992.0
