,loss,learning_rate,epoch,step,eval_loss,eval_accuracy,eval_runtime,eval_samples_per_second,train_runtime,train_samples_per_second,total_flos
0,0.6914,4.784779614325069e-05,0.69,500,,,,,,,
1,,,1.0,726,0.4695829153060913,0.7863240242004395,12.3129,903.851,,,
2,0.4752,4.569559228650138e-05,1.38,1000,,,,,,,
3,,,2.0,1452,0.41409021615982056,0.836553156375885,12.4535,893.642,,,
4,0.3489,4.354338842975207e-05,2.07,1500,,,,,,,
5,0.1786,4.139118457300275e-05,2.75,2000,,,,,,,
6,,,3.0,2178,0.5687558650970459,0.837451696395874,12.4525,893.717,,,
7,0.1202,3.9238980716253446e-05,3.44,2500,,,,,,,
8,,,4.0,2904,0.8169937133789062,0.8371821641921997,12.3746,899.344,,,
9,0.086,3.708677685950414e-05,4.13,3000,,,,,,,
10,0.0537,3.4934573002754824e-05,4.82,3500,,,,,,,
11,,,5.0,3630,0.8021520972251892,0.838350236415863,12.3187,903.427,,,
12,0.0395,3.278236914600551e-05,5.51,4000,,,,,,,
13,,,6.0,4356,1.0597563982009888,0.8378111124038696,12.3486,901.239,,,
14,0.0279,3.06301652892562e-05,6.2,4500,,,,,,,
15,0.017,2.847796143250689e-05,6.89,5000,,,,,,,
16,,,7.0,5082,1.048723578453064,0.837451696395874,12.3628,900.203,,,
17,0.0066,2.6325757575757575e-05,7.58,5500,,,,,,,
18,,,8.0,5808,1.107446312904358,0.8378111124038696,12.4583,893.302,,,
19,0.0065,2.4173553719008264e-05,8.26,6000,,,,,,,
20,0.0067,2.2021349862258957e-05,8.95,6500,,,,,,,
21,,,9.0,6534,1.1806161403656006,0.836553156375885,12.4127,896.579,,,
22,0.005,1.9869146005509643e-05,9.64,7000,,,,,,,
23,,,10.0,7260,1.1027441024780273,0.8384401202201843,12.4402,894.598,,,
24,0.0029,1.7716942148760332e-05,10.33,7500,,,,,,,
25,,,11.0,7986,0.9468796849250793,0.8397879600524902,12.3426,901.676,,,
26,0.0031,1.5564738292011018e-05,11.02,8000,,,,,,,
27,0.0016,1.3412534435261709e-05,11.71,8500,,,,,,,
28,,,12.0,8712,1.1499073505401611,0.8368226885795593,12.2896,905.566,,,
29,0.0011,1.1260330578512397e-05,12.4,9000,,,,,,,
30,,,13.0,9438,1.3845226764678955,0.8377212882041931,12.3641,900.105,,,
31,0.0016,9.108126721763086e-06,13.09,9500,,,,,,,
32,0.0005,6.955922865013774e-06,13.77,10000,,,,,,,
33,,,14.0,10164,1.414786458015442,0.840596616268158,12.2576,907.929,,,
34,0.0004,4.803719008264463e-06,14.46,10500,,,,,,,
35,,,15.0,10890,1.4221501350402832,0.8386198282241821,12.3948,897.877,,,
36,0.0007,2.651515151515152e-06,15.15,11000,,,,,,,
37,0.0011,4.993112947658403e-07,15.84,11500,,,,,,,
38,,,16.0,11616,1.3798702955245972,0.8387096524238586,12.3688,899.764,,,
39,,,16.0,11616,,,,,1012.055,11.478,92126010685176.0
