,loss,learning_rate,epoch,step,eval_loss,eval_accuracy,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
0,0.6498,4.941806331471136e-05,0.19,500,,,,,,,,,,
1,0.5696,4.8836126629422725e-05,0.37,1000,,,,,,,,,,
2,0.5388,4.825418994413408e-05,0.56,1500,,,,,,,,,,
3,0.5219,4.767225325884544e-05,0.74,2000,,,,,,,,,,
4,0.5098,4.7090316573556796e-05,0.93,2500,,,,,,,,,,
5,,,1.0,2685,0.526150643825531,0.7551568746566772,35.5909,1213.652,75.862,,,,,
6,0.4294,4.6508379888268164e-05,1.12,3000,,,,,,,,,,
7,0.3919,4.592644320297952e-05,1.3,3500,,,,,,,,,,
8,0.3889,4.534450651769088e-05,1.49,4000,,,,,,,,,,
9,0.3912,4.4762569832402234e-05,1.68,4500,,,,,,,,,,
10,0.3836,4.4180633147113596e-05,1.86,5000,,,,,,,,,,
11,,,2.0,5370,0.5111559629440308,0.7637689709663391,36.8206,1173.12,73.328,,,,,
12,0.352,4.359869646182496e-05,2.05,5500,,,,,,,,,,
13,0.2438,4.301675977653631e-05,2.23,6000,,,,,,,,,,
14,0.2588,4.243482309124767e-05,2.42,6500,,,,,,,,,,
15,0.2588,4.1852886405959035e-05,2.61,7000,,,,,,,,,,
16,0.2664,4.1270949720670396e-05,2.79,7500,,,,,,,,,,
17,0.2658,4.068901303538175e-05,2.98,8000,,,,,,,,,,
18,,,3.0,8055,0.6278278231620789,0.7600648403167725,37.2378,1159.978,72.507,,,,,
19,0.1661,4.010707635009311e-05,3.17,8500,,,,,,,,,,
20,0.1747,3.952513966480447e-05,3.35,9000,,,,,,,,,,
21,0.1796,3.894320297951583e-05,3.54,9500,,,,,,,,,,
22,0.1929,3.836126629422719e-05,3.72,10000,,,,,,,,,,
23,0.2043,3.777932960893855e-05,3.91,10500,,,,,,,,,,
24,,,4.0,10740,1.0097588300704956,0.7578886151313782,36.483,1183.978,74.007,,,,,
25,0.1456,3.719739292364991e-05,4.1,11000,,,,,,,,,,
26,0.1135,3.6615456238361267e-05,4.28,11500,,,,,,,,,,
27,0.1323,3.603351955307263e-05,4.47,12000,,,,,,,,,,
28,0.1421,3.545158286778399e-05,4.66,12500,,,,,,,,,,
29,0.1382,3.4869646182495344e-05,4.84,13000,,,,,,,,,,
30,,,5.0,13425,1.618202567100525,0.7574256062507629,37.1143,1163.838,72.748,,,,,
31,0.1314,3.4287709497206705e-05,5.03,13500,,,,,,,,,,
32,0.0813,3.370577281191806e-05,5.21,14000,,,,,,,,,,
33,0.1025,3.312383612662943e-05,5.4,14500,,,,,,,,,,
34,0.1041,3.254189944134078e-05,5.59,15000,,,,,,,,,,
35,0.1116,3.1959962756052144e-05,5.77,15500,,,,,,,,,,
36,0.1222,3.13780260707635e-05,5.96,16000,,,,,,,,,,
37,,,6.0,16110,1.5976053476333618,0.7530964016914368,37.8977,1139.778,71.244,,,,,
38,0.0784,3.079608938547486e-05,6.15,16500,,,,,,,,,,
39,0.0646,3.021415270018622e-05,6.33,17000,,,,,,,,,,
40,0.0827,2.963221601489758e-05,6.52,17500,,,,,,,,,,
41,0.097,2.9050279329608944e-05,6.7,18000,,,,,,,,,,
42,0.0865,2.8468342644320302e-05,6.89,18500,,,,,,,,,,
43,,,7.0,18795,2.195277690887451,0.7508044838905334,36.6379,1178.969,73.694,,,,,
44,0.0714,2.788640595903166e-05,7.08,19000,,,,,,,,,,
45,0.0644,2.7304469273743018e-05,7.26,19500,,,,,,,,,,
46,0.0698,2.672253258845438e-05,7.45,20000,,,,,,,,,,
47,0.0691,2.6140595903165737e-05,7.64,20500,,,,,,,,,,
48,0.0662,2.5558659217877095e-05,7.82,21000,,,,,,,,,,
49,,,8.0,21480,2.714637041091919,0.7489987015724182,36.7255,1176.159,73.518,,,,,
50,0.0852,2.4976722532588457e-05,8.01,21500,,,,,,,,,,
51,0.0434,2.4394785847299815e-05,8.19,22000,,,,,,,,,,
52,0.0473,2.3812849162011176e-05,8.38,22500,,,,,,,,,,
53,0.0407,2.3230912476722534e-05,8.57,23000,,,,,,,,,,
54,0.0651,2.2648975791433892e-05,8.75,23500,,,,,,,,,,
55,0.0489,2.206703910614525e-05,8.94,24000,,,,,,,,,,
