,loss,learning_rate,epoch,step,eval_loss,eval_accuracy,eval_runtime,eval_samples_per_second,train_runtime,train_samples_per_second,total_flos
0,0.6943,4.941806331471135e-07,0.19,500,,,,,,,
1,0.6937,4.883612662942272e-07,0.37,1000,,,,,,,
2,0.6927,4.825418994413408e-07,0.56,1500,,,,,,,
3,0.6912,4.7672253258845435e-07,0.74,2000,,,,,,,
4,0.675,4.709031657355679e-07,0.93,2500,,,,,,,
5,,,1.0,2685,0.5932802557945251,0.7045722603797913,36.1278,1195.615,,,
6,0.6432,4.650837988826816e-07,1.12,3000,,,,,,,
7,0.6153,4.5926443202979516e-07,1.3,3500,,,,,,,
8,0.5889,4.534450651769087e-07,1.49,4000,,,,,,,
9,0.5763,4.476256983240223e-07,1.68,4500,,,,,,,
10,0.5541,4.4180633147113597e-07,1.86,5000,,,,,,,
11,,,2.0,5370,0.47825631499290466,0.7762472629547119,36.2121,1192.834,,,
12,0.5407,4.3598696461824953e-07,2.05,5500,,,,,,,
13,0.5191,4.301675977653631e-07,2.23,6000,,,,,,,
14,0.5152,4.2434823091247667e-07,2.42,6500,,,,,,,
15,0.5089,4.185288640595903e-07,2.61,7000,,,,,,,
16,0.4904,4.127094972067039e-07,2.79,7500,,,,,,,
17,0.4911,4.068901303538175e-07,2.98,8000,,,,,,,
18,,,3.0,8055,0.4493448734283447,0.7891654372215271,40.0497,1078.535,,,
19,0.4868,4.0107076350093104e-07,3.17,8500,,,,,,,
20,0.4747,3.9525139664804466e-07,3.35,9000,,,,,,,
21,0.4769,3.894320297951583e-07,3.54,9500,,,,,,,
22,0.4721,3.8361266294227185e-07,3.72,10000,,,,,,,
23,0.4727,3.7779329608938547e-07,3.91,10500,,,,,,,
24,,,4.0,10740,0.44188550114631653,0.794791042804718,40.1866,1074.86,,,
25,0.4632,3.7197392923649904e-07,4.1,11000,,,,,,,
26,0.4709,3.6615456238361266e-07,4.28,11500,,,,,,,
27,0.4508,3.603351955307262e-07,4.47,12000,,,,,,,
28,0.454,3.5451582867783984e-07,4.66,12500,,,,,,,
29,0.4613,3.486964618249534e-07,4.84,13000,,,,,,,
30,,,5.0,13425,0.43422216176986694,0.7981016039848328,40.3236,1071.209,,,
31,0.4476,3.4287709497206703e-07,5.03,13500,,,,,,,
32,0.4393,3.370577281191806e-07,5.21,14000,,,,,,,
33,0.449,3.312383612662942e-07,5.4,14500,,,,,,,
34,0.4473,3.254189944134078e-07,5.59,15000,,,,,,,
35,0.4466,3.195996275605214e-07,5.77,15500,,,,,,,
36,0.4442,3.1378026070763497e-07,5.96,16000,,,,,,,
37,,,6.0,16110,0.4272306263446808,0.8015047907829285,40.4637,1067.5,,,
38,0.4361,3.079608938547486e-07,6.15,16500,,,,,,,
39,0.4379,3.0214152700186216e-07,6.33,17000,,,,,,,
40,0.4328,2.963221601489758e-07,6.52,17500,,,,,,,
41,0.4235,2.905027932960894e-07,6.7,18000,,,,,,,
42,0.4361,2.8468342644320297e-07,6.89,18500,,,,,,,
43,,,7.0,18795,0.42338404059410095,0.8034957647323608,40.2015,1074.463,,,
44,0.4396,2.7886405959031653e-07,7.08,19000,,,,,,,
45,0.4375,2.7304469273743015e-07,7.26,19500,,,,,,,
46,0.4281,2.672253258845438e-07,7.45,20000,,,,,,,
47,0.4238,2.6140595903165734e-07,7.64,20500,,,,,,,
48,0.4284,2.555865921787709e-07,7.82,21000,,,,,,,
49,,,8.0,21480,0.42474421858787537,0.8051626086235046,40.2352,1073.563,,,
50,0.4324,2.4976722532588453e-07,8.01,21500,,,,,,,
51,0.4206,2.439478584729981e-07,8.19,22000,,,,,,,
52,0.4341,2.3812849162011172e-07,8.38,22500,,,,,,,
53,0.4233,2.323091247672253e-07,8.57,23000,,,,,,,
54,0.4305,2.264897579143389e-07,8.75,23500,,,,,,,
55,0.4174,2.206703910614525e-07,8.94,24000,,,,,,,
56,,,9.0,24165,0.4288420081138611,0.8064822554588318,40.2463,1073.266,,,
57,0.4087,2.148510242085661e-07,9.12,24500,,,,,,,
58,0.4245,2.0903165735567968e-07,9.31,25000,,,,,,,
59,0.4211,2.0321229050279328e-07,9.5,25500,,,,,,,
60,0.4099,1.973929236499069e-07,9.68,26000,,,,,,,
61,0.4234,1.9157355679702047e-07,9.87,26500,,,,,,,
62,,,10.0,26850,0.4179217219352722,0.807824969291687,40.3676,1070.041,,,
63,0.4239,1.8575418994413409e-07,10.06,27000,,,,,,,
64,0.4102,1.7993482309124765e-07,10.24,27500,,,,,,,
65,0.4191,1.7411545623836127e-07,10.43,28000,,,,,,,
66,0.4131,1.6829608938547484e-07,10.61,28500,,,,,,,
67,0.4211,1.6247672253258846e-07,10.8,29000,,,,,,,
68,0.4057,1.5665735567970203e-07,10.99,29500,,,,,,,
69,,,11.0,29535,0.42202746868133545,0.8085657954216003,40.2339,1073.596,,,
70,0.4111,1.5083798882681565e-07,11.17,30000,,,,,,,
71,0.4193,1.4501862197392921e-07,11.36,30500,,,,,,,
72,0.4115,1.3919925512104283e-07,11.55,31000,,,,,,,
73,0.4034,1.333798882681564e-07,11.73,31500,,,,,,,
74,0.4071,1.2756052141527002e-07,11.92,32000,,,,,,,
75,,,12.0,32220,0.4201676845550537,0.8088436126708984,40.265,1072.767,,,
76,0.4161,1.2174115456238362e-07,12.1,32500,,,,,,,
77,0.4113,1.1592178770949721e-07,12.29,33000,,,,,,,
78,0.4192,1.101024208566108e-07,12.48,33500,,,,,,,
79,0.4048,1.042830540037244e-07,12.66,34000,,,,,,,
80,0.4017,9.846368715083799e-08,12.85,34500,,,,,,,
81,,,13.0,34905,0.42169350385665894,0.8089824914932251,40.411,1068.891,,,
82,0.4083,9.264432029795158e-08,13.04,35000,,,,,,,
83,0.4052,8.682495344506518e-08,13.22,35500,,,,,,,
