,loss,learning_rate,epoch,step,eval_loss,eval_accuracy,eval_runtime,eval_samples_per_second,train_runtime,train_samples_per_second,total_flos
0,0.6944,4.784779614325068e-07,0.69,500,,,,,,,
1,,,1.0,726,0.6929745078086853,0.5305957198143005,11.9622,930.35,,,
2,0.6938,4.569559228650138e-07,1.38,1000,,,,,,,
3,,,2.0,1452,0.692225992679596,0.5966393947601318,11.9578,930.692,,,
4,0.6928,4.354338842975206e-07,2.07,1500,,,,,,,
5,0.6899,4.139118457300275e-07,2.75,2000,,,,,,,
6,,,3.0,2178,0.6446435451507568,0.761523962020874,12.0095,926.686,,,
7,0.619,3.9238980716253437e-07,3.44,2500,,,,,,,
8,,,4.0,2904,0.44025516510009766,0.8045646548271179,12.0278,925.27,,,
9,0.5106,3.708677685950413e-07,4.13,3000,,,,,,,
10,0.4588,3.4934573002754817e-07,4.82,3500,,,,,,,
11,,,5.0,3630,0.37953436374664307,0.8326893448829651,11.9879,928.349,,,
12,0.4324,3.2782369146005507e-07,5.51,4000,,,,,,,
13,,,6.0,4356,0.34377506375312805,0.8503010272979736,12.0557,923.133,,,
14,0.4091,3.0630165289256197e-07,6.2,4500,,,,,,,
15,0.3899,2.8477961432506887e-07,6.89,5000,,,,,,,
16,,,7.0,5082,0.3238575756549835,0.8607242107391357,12.1,919.756,,,
17,0.3849,2.632575757575757e-07,7.58,5500,,,,,,,
18,,,8.0,5808,0.313815176486969,0.8652170300483704,12.3688,899.763,,,
19,0.3694,2.417355371900826e-07,8.26,6000,,,,,,,
20,0.3483,2.2021349862258954e-07,8.95,6500,,,,,,,
21,,,9.0,6534,0.3067694306373596,0.8696199059486389,11.971,929.663,,,
22,0.3499,1.986914600550964e-07,9.64,7000,,,,,,,
23,,,10.0,7260,0.2969108819961548,0.8730344176292419,12.0649,922.426,,,
24,0.3422,1.771694214876033e-07,10.33,7500,,,,,,,
25,,,11.0,7986,0.29102522134780884,0.8765387535095215,11.9924,928.006,,,
26,0.3369,1.5564738292011019e-07,11.02,8000,,,,,,,
27,0.335,1.3412534435261709e-07,11.71,8500,,,,,,,
28,,,12.0,8712,0.28782036900520325,0.8768083453178406,11.9395,932.117,,,
29,0.3304,1.1260330578512396e-07,12.4,9000,,,,,,,
30,,,13.0,9438,0.28501367568969727,0.8783358931541443,12.009,926.72,,,
31,0.3206,9.108126721763084e-08,13.09,9500,,,,,,,
32,0.3208,6.955922865013773e-08,13.77,10000,,,,,,,
33,,,14.0,10164,0.2834412753582001,0.8792344331741333,11.999,927.492,,,
34,0.3138,4.8037190082644624e-08,14.46,10500,,,,,,,
35,,,15.0,10890,0.28294792771339417,0.8797735571861267,11.9744,929.403,,,
36,0.3159,2.6515151515151513e-08,15.15,11000,,,,,,,
37,0.3214,4.993112947658402e-09,15.84,11500,,,,,,,
38,,,16.0,11616,0.28231048583984375,0.8803126811981201,11.9682,929.88,,,
39,,,16.0,11616,,,,,1050.9001,11.053,105962404075704.0
