,loss,learning_rate,epoch,step,eval_loss,eval_accuracy,eval_runtime,eval_samples_per_second,train_runtime,train_samples_per_second,total_flos
0,0.693,4.798646907216495e-07,0.64,500,,,,,,,
1,,,1.0,776,0.6929818391799927,0.5167088508605957,13.0428,908.547,,,
2,0.6933,4.597293814432989e-07,1.29,1000,,,,,,,
3,0.6938,4.395940721649484e-07,1.93,1500,,,,,,,
4,,,2.0,1552,0.6924803853034973,0.5592405200004578,13.2854,891.954,,,
5,0.6925,4.1945876288659794e-07,2.58,2000,,,,,,,
6,,,3.0,2328,0.6887964606285095,0.6754430532455444,13.1364,902.071,,,
7,0.6908,3.993234536082474e-07,3.22,2500,,,,,,,
8,0.6641,3.7918814432989687e-07,3.87,3000,,,,,,,
9,,,4.0,3104,0.5456898212432861,0.7786498069763184,13.3291,889.031,,,
10,0.571,3.590528350515464e-07,4.51,3500,,,,,,,
11,,,5.0,3880,0.43147024512290955,0.8049789071083069,13.2415,894.913,,,
12,0.5016,3.3891752577319586e-07,5.15,4000,,,,,,,
13,0.4619,3.187822164948453e-07,5.8,4500,,,,,,,
14,,,6.0,4656,0.3855404555797577,0.8248101472854614,13.3165,889.876,,,
15,0.4308,2.9864690721649484e-07,6.44,5000,,,,,,,
16,,,7.0,5432,0.3688009977340698,0.8338396549224854,13.2414,894.918,,,
17,0.4212,2.785115979381443e-07,7.09,5500,,,,,,,
18,0.4087,2.583762886597938e-07,7.73,6000,,,,,,,
19,,,8.0,6208,0.35826846957206726,0.8403375744819641,13.2451,894.671,,,
20,0.4025,2.382409793814433e-07,8.38,6500,,,,,,,
21,,,9.0,6984,0.34764474630355835,0.8451476693153381,15.6183,758.724,,,
22,0.3933,2.1810567010309278e-07,9.02,7000,,,,,,,
23,0.3795,1.9797036082474224e-07,9.66,7500,,,,,,,
24,,,10.0,7760,0.3396803140640259,0.8503797650337219,13.1003,904.561,,,
25,0.3706,1.7783505154639176e-07,10.31,8000,,,,,,,
26,0.3712,1.5769974226804123e-07,10.95,8500,,,,,,,
27,,,11.0,8536,0.3340909481048584,0.8524050712585449,13.0252,909.777,,,
28,0.3585,1.3756443298969072e-07,11.6,9000,,,,,,,
29,,,12.0,9312,0.3307158648967743,0.8556118011474609,12.9347,916.141,,,
30,0.3688,1.174291237113402e-07,12.24,9500,,,,,,,
31,0.3508,9.729381443298969e-08,12.89,10000,,,,,,,
32,,,13.0,10088,0.3278956413269043,0.856793224811554,12.9382,915.89,,,
33,0.3559,7.715850515463918e-08,13.53,10500,,,,,,,
34,,,14.0,10864,0.32250499725341797,0.8577215075492859,12.9788,913.029,,,
35,0.3621,5.702319587628866e-08,14.18,11000,,,,,,,
36,0.3502,3.688788659793814e-08,14.82,11500,,,,,,,
37,,,15.0,11640,0.32255223393440247,0.8586497902870178,12.9135,917.643,,,
38,0.3537,1.6752577319587627e-08,15.46,12000,,,,,,,
39,,,16.0,12416,0.32225513458251953,0.8589029312133789,13.0199,910.142,,,
40,,,16.0,12416,,,,,1137.2876,10.917,418242024014628.0
