,loss,learning_rate,epoch,step,eval_loss,eval_accuracy,eval_runtime,eval_samples_per_second,train_runtime,train_samples_per_second,total_flos
0,0.6936,4.953049879807692e-07,0.15,500,,,,,,,
1,0.6935,4.906099759615384e-07,0.3,1000,,,,,,,
2,0.6938,4.859149639423077e-07,0.45,1500,,,,,,,
3,0.6944,4.812199519230769e-07,0.6,2000,,,,,,,
4,0.6931,4.765249399038461e-07,0.75,2500,,,,,,,
5,0.6939,4.7182992788461533e-07,0.9,3000,,,,,,,
6,,,1.0,3328,0.6930627226829529,0.5210152268409729,52.0546,996.858,,,
7,0.694,4.671349158653846e-07,1.05,3500,,,,,,,
8,0.6934,4.6243990384615386e-07,1.2,4000,,,,,,,
9,0.6927,4.5774489182692304e-07,1.35,4500,,,,,,,
10,0.693,4.5304987980769227e-07,1.5,5000,,,,,,,
11,0.6711,4.4835486778846156e-07,1.65,5500,,,,,,,
12,0.6218,4.4365985576923074e-07,1.8,6000,,,,,,,
13,0.6109,4.3896484375e-07,1.95,6500,,,,,,,
14,,,2.0,6656,0.5929474830627441,0.6679770946502686,51.7064,1003.571,,,
15,0.6044,4.342698317307692e-07,2.1,7000,,,,,,,
16,0.6027,4.295748197115384e-07,2.25,7500,,,,,,,
17,0.5956,4.248798076923077e-07,2.4,8000,,,,,,,
18,0.5808,4.201847956730769e-07,2.55,8500,,,,,,,
19,0.5859,4.1548978365384615e-07,2.7,9000,,,,,,,
20,0.5773,4.1079477163461533e-07,2.85,9500,,,,,,,
21,,,3.0,9984,0.5578657984733582,0.7042261958122253,51.6279,1005.096,,,
22,0.5709,4.060997596153846e-07,3.0,10000,,,,,,,
23,0.5606,4.0140474759615385e-07,3.16,10500,,,,,,,
24,0.5541,3.9670973557692304e-07,3.31,11000,,,,,,,
25,0.5532,3.9201472355769227e-07,3.46,11500,,,,,,,
26,0.5564,3.8731971153846156e-07,3.61,12000,,,,,,,
27,0.5461,3.8262469951923074e-07,3.76,12500,,,,,,,
28,0.551,3.779296875e-07,3.91,13000,,,,,,,
29,,,4.0,13312,0.5188542604446411,0.7287005186080933,51.6298,1005.059,,,
30,0.5387,3.732346754807692e-07,4.06,13500,,,,,,,
31,0.5372,3.6853966346153844e-07,4.21,14000,,,,,,,
32,0.5293,3.638446514423077e-07,4.36,14500,,,,,,,
