,loss,learning_rate,epoch,step,eval_loss,eval_accuracy,eval_runtime,eval_samples_per_second,train_runtime,train_samples_per_second,total_flos
0,0.696,4.784779614325068e-07,0.69,500,,,,,,,
1,,,1.0,726,0.6923835277557373,0.5480276942253113,29.5157,377.054,,,
2,0.696,4.569559228650138e-07,1.38,1000,,,,,,,
3,,,2.0,1452,0.44313356280326843,0.7863240242004395,29.8883,372.353,,,
4,0.6122,4.354338842975206e-07,2.07,1500,,,,,,,
5,0.4574,4.139118457300275e-07,2.75,2000,,,,,,,
6,,,3.0,2178,0.3497101664543152,0.8569502830505371,29.0048,383.696,,,
7,0.4044,3.9238980716253437e-07,3.44,2500,,,,,,,
8,,,4.0,2904,0.28901392221450806,0.8793243169784546,29.366,378.975,,,
9,0.37,3.708677685950413e-07,4.13,3000,,,,,,,
10,0.3321,3.4934573002754817e-07,4.82,3500,,,,,,,
11,,,5.0,3630,0.2612716555595398,0.8899272084236145,29.0686,382.853,,,
12,0.3191,3.2782369146005507e-07,5.51,4000,,,,,,,
13,,,6.0,4356,0.2511196732521057,0.8961272239685059,29.1308,382.036,,,
14,0.3026,3.0630165289256197e-07,6.2,4500,,,,,,,
15,0.2774,2.8477961432506887e-07,6.89,5000,,,,,,,
16,,,7.0,5082,0.23914088308811188,0.9004402756690979,29.1042,382.384,,,
17,0.2749,2.632575757575757e-07,7.58,5500,,,,,,,
18,,,8.0,5808,0.23494859039783478,0.9061910510063171,31.8537,349.379,,,
19,0.2626,2.417355371900826e-07,8.26,6000,,,,,,,
20,0.2478,2.2021349862258954e-07,8.95,6500,,,,,,,
21,,,9.0,6534,0.23110659420490265,0.9063707590103149,31.8869,349.015,,,
22,0.2515,1.986914600550964e-07,9.64,7000,,,,,,,
23,,,10.0,7260,0.2314155250787735,0.9086171388626099,32.2944,344.61,,,
24,0.2311,1.771694214876033e-07,10.33,7500,,,,,,,
25,,,11.0,7986,0.21858353912830353,0.9111330509185791,29.4773,377.545,,,
26,0.2391,1.5564738292011019e-07,11.02,8000,,,,,,,
27,0.2346,1.3412534435261709e-07,11.71,8500,,,,,,,
28,,,12.0,8712,0.22731894254684448,0.9119417667388916,32.4232,343.242,,,
29,0.2268,1.1260330578512396e-07,12.4,9000,,,,,,,
30,,,13.0,9438,0.22471961379051208,0.9131098985671997,33.8355,328.915,,,
31,0.225,9.108126721763084e-08,13.09,9500,,,,,,,
32,0.2228,6.955922865013773e-08,13.77,10000,,,,,,,
33,,,14.0,10164,0.2224416583776474,0.9138287305831909,34.1788,325.611,,,
34,0.2189,4.8037190082644624e-08,14.46,10500,,,,,,,
35,,,15.0,10890,0.22618362307548523,0.9135591983795166,33.856,328.716,,,
36,0.2148,2.6515151515151513e-08,15.15,11000,,,,,,,
37,0.2186,4.993112947658402e-09,15.84,11500,,,,,,,
38,,,16.0,11616,0.22524729371070862,0.91409832239151,34.2781,324.668,,,
39,,,16.0,11616,,,,,2785.2734,4.171,302093611169976.0
