,loss,learning_rate,epoch,step,eval_loss,eval_accuracy,eval_runtime,eval_samples_per_second,train_runtime,train_samples_per_second,total_flos
0,0.6959,4.798646907216495e-07,0.64,500,,,,,,,
1,,,1.0,776,0.6921631097793579,0.5743460059165955,50.2588,235.779,,,
2,0.6956,4.597293814432989e-07,1.29,1000,,,,,,,
3,0.6153,4.395940721649484e-07,1.93,1500,,,,,,,
4,,,2.0,1552,0.41485488414764404,0.8054008483886719,66.2336,178.912,,,
5,0.4563,4.1945876288659794e-07,2.58,2000,,,,,,,
6,,,3.0,2328,0.3664097189903259,0.8404219150543213,53.0079,223.552,,,
7,0.4105,3.993234536082474e-07,3.22,2500,,,,,,,
8,0.3602,3.7918814432989687e-07,3.87,3000,,,,,,,
9,,,4.0,3104,0.30895769596099854,0.8659071922302246,90.6394,130.738,,,
10,0.3456,3.590528350515464e-07,4.51,3500,,,,,,,
11,,,5.0,3880,0.28440436720848083,0.8779746890068054,53.5224,221.403,,,
12,0.313,3.3891752577319586e-07,5.15,4000,,,,,,,
13,0.2905,3.187822164948453e-07,5.8,4500,,,,,,,
14,,,6.0,4656,0.27300575375556946,0.8875949382781982,53.4508,221.699,,,
15,0.2903,2.9864690721649484e-07,6.44,5000,,,,,,,
16,,,7.0,5432,0.2636014223098755,0.8930801749229431,53.8172,220.19,,,
17,0.2828,2.785115979381443e-07,7.09,5500,,,,,,,
18,0.2631,2.583762886597938e-07,7.73,6000,,,,,,,
19,,,8.0,6208,0.25620537996292114,0.8962869048118591,54.9568,215.624,,,
20,0.2607,2.382409793814433e-07,8.38,6500,,,,,,,
21,,,9.0,6984,0.254377543926239,0.8986498117446899,53.9974,219.455,,,
22,0.2469,2.1810567010309278e-07,9.02,7000,,,,,,,
23,0.2503,1.9797036082474224e-07,9.66,7500,,,,,,,
24,,,10.0,7760,0.25606924295425415,0.900928258895874,53.3752,222.013,,,
25,0.2318,1.7783505154639176e-07,10.31,8000,,,,,,,
26,0.2427,1.5769974226804123e-07,10.95,8500,,,,,,,
27,,,11.0,8536,0.254977285861969,0.9015190005302429,54.786,216.296,,,
28,0.2275,1.3756443298969072e-07,11.6,9000,,,,,,,
29,,,12.0,9312,0.25192782282829285,0.9031223654747009,44.9322,263.731,,,
30,0.2381,1.174291237113402e-07,12.24,9500,,,,,,,
31,0.2189,9.729381443298969e-08,12.89,10000,,,,,,,
32,,,13.0,10088,0.2561837136745453,0.903797447681427,43.5595,272.041,,,
33,0.2269,7.715850515463918e-08,13.53,10500,,,,,,,
34,,,14.0,10864,0.2541376054286957,0.903797447681427,40.0547,295.846,,,
35,0.2208,5.702319587628866e-08,14.18,11000,,,,,,,
36,0.2248,3.688788659793814e-08,14.82,11500,,,,,,,
37,,,15.0,11640,0.2559960186481476,0.9040506482124329,41.5081,285.487,,,
38,0.2156,1.6752577319587627e-08,15.46,12000,,,,,,,
39,,,16.0,12416,0.25651052594184875,0.9044725894927979,43.8879,270.006,,,
40,,,16.0,12416,,,,,4402.2528,2.82,6938430386269608.0
