,loss,learning_rate,epoch,step,eval_loss,eval_accuracy,eval_runtime,eval_samples_per_second,train_runtime,train_samples_per_second,total_flos
0,0.6978,4.953049879807692e-07,0.15,500,,,,,,,
1,0.6975,4.906099759615384e-07,0.3,1000,,,,,,,
2,0.6966,4.859149639423077e-07,0.45,1500,,,,,,,
3,0.695,4.812199519230769e-07,0.6,2000,,,,,,,
4,0.6967,4.765249399038461e-07,0.75,2500,,,,,,,
5,0.6757,4.7182992788461533e-07,0.9,3000,,,,,,,
6,,,1.0,3328,0.5624399781227112,0.7065001726150513,118.1689,439.126,,,
7,0.6143,4.671349158653846e-07,1.05,3500,,,,,,,
8,0.5714,4.6243990384615386e-07,1.2,4000,,,,,,,
9,0.5516,4.5774489182692304e-07,1.35,4500,,,,,,,
10,0.5286,4.5304987980769227e-07,1.5,5000,,,,,,,
11,0.5095,4.4835486778846156e-07,1.65,5500,,,,,,,
12,0.5128,4.4365985576923074e-07,1.8,6000,,,,,,,
13,0.4886,4.3896484375e-07,1.95,6500,,,,,,,
14,,,2.0,6656,0.4515312612056732,0.7711934447288513,118.9944,436.079,,,
15,0.4866,4.342698317307692e-07,2.1,7000,,,,,,,
16,0.4742,4.295748197115384e-07,2.25,7500,,,,,,,
17,0.4718,4.248798076923077e-07,2.4,8000,,,,,,,
18,0.4692,4.201847956730769e-07,2.55,8500,,,,,,,
19,0.4707,4.1548978365384615e-07,2.7,9000,,,,,,,
20,0.4628,4.1079477163461533e-07,2.85,9500,,,,,,,
21,,,3.0,9984,0.4367503523826599,0.7822743654251099,117.9451,439.959,,,
22,0.4545,4.060997596153846e-07,3.0,10000,,,,,,,
23,0.4431,4.0140474759615385e-07,3.16,10500,,,,,,,
24,0.4449,3.9670973557692304e-07,3.31,11000,,,,,,,
25,0.4465,3.9201472355769227e-07,3.46,11500,,,,,,,
26,0.4465,3.8731971153846156e-07,3.61,12000,,,,,,,
27,0.4404,3.8262469951923074e-07,3.76,12500,,,,,,,
28,0.4454,3.779296875e-07,3.91,13000,,,,,,,
29,,,4.0,13312,0.4308769702911377,0.7886916995048523,117.9944,439.775,,,
30,0.4376,3.732346754807692e-07,4.06,13500,,,,,,,
31,0.4413,3.6853966346153844e-07,4.21,14000,,,,,,,
32,0.4252,3.638446514423077e-07,4.36,14500,,,,,,,
33,0.4247,3.591496394230769e-07,4.51,15000,,,,,,,
34,0.4314,3.5445462740384615e-07,4.66,15500,,,,,,,
35,0.433,3.4975961538461533e-07,4.81,16000,,,,,,,
36,0.4271,3.450646033653846e-07,4.96,16500,,,,,,,
37,,,5.0,16640,0.4235821068286896,0.7909271121025085,117.9796,439.83,,,
38,0.4222,3.4036959134615385e-07,5.11,17000,,,,,,,
39,0.4108,3.3567457932692303e-07,5.26,17500,,,,,,,
40,0.413,3.3097956730769227e-07,5.41,18000,,,,,,,
41,0.4156,3.2628455528846156e-07,5.56,18500,,,,,,,
42,0.429,3.215895432692308e-07,5.71,19000,,,,,,,
43,0.4217,3.1689453125e-07,5.86,19500,,,,,,,
44,,,6.0,19968,0.42365002632141113,0.7930084466934204,117.9851,439.81,,,
45,0.4275,3.121995192307692e-07,6.01,20000,,,,,,,
46,0.4121,3.0750450721153844e-07,6.16,20500,,,,,,,
47,0.3956,3.028094951923077e-07,6.31,21000,,,,,,,
48,0.414,2.981144831730769e-07,6.46,21500,,,,,,,
49,0.4128,2.9341947115384615e-07,6.61,22000,,,,,,,
50,0.4059,2.8872445913461533e-07,6.76,22500,,,,,,,
51,0.4104,2.840294471153846e-07,6.91,23000,,,,,,,
52,,,7.0,23296,0.4271264672279358,0.7950897216796875,117.9152,440.071,,,
53,0.4033,2.7933443509615385e-07,7.06,23500,,,,,,,
54,0.3991,2.746394230769231e-07,7.21,24000,,,,,,,
55,0.4088,2.6994441105769227e-07,7.36,24500,,,,,,,
56,0.3997,2.6524939903846156e-07,7.51,25000,,,,,,,
57,0.402,2.605543870192308e-07,7.66,25500,,,,,,,
58,0.4024,2.5585937499999997e-07,7.81,26000,,,,,,,
59,0.4043,2.511643629807692e-07,7.96,26500,,,,,,,
60,,,8.0,26624,0.4311860501766205,0.7950704097747803,118.174,439.107,,,
61,0.4001,2.4646935096153844e-07,8.11,27000,,,,,,,
62,0.3951,2.417743389423077e-07,8.26,27500,,,,,,,
63,0.3991,2.370793269230769e-07,8.41,28000,,,,,,,
64,0.3985,2.3238431490384615e-07,8.56,28500,,,,,,,
65,0.3853,2.2768930288461538e-07,8.71,29000,,,,,,,
66,0.3941,2.229942908653846e-07,8.86,29500,,,,,,,
67,,,9.0,29952,0.4288475215435028,0.7970746159553528,117.9987,439.759,,,
68,0.3959,2.1829927884615385e-07,9.01,30000,,,,,,,
69,0.3815,2.1360426682692306e-07,9.16,30500,,,,,,,
70,0.382,2.0890925480769232e-07,9.31,31000,,,,,,,
71,0.3888,2.0421424278846153e-07,9.47,31500,,,,,,,
72,0.3951,1.9951923076923076e-07,9.62,32000,,,,,,,
73,0.386,1.9482421875e-07,9.77,32500,,,,,,,
74,0.386,1.901292067307692e-07,9.92,33000,,,,,,,
75,,,10.0,33280,0.4316546618938446,0.7969397306442261,119.0882,435.736,,,
76,0.3947,1.8543419471153847e-07,10.07,33500,,,,,,,
77,0.3847,1.8073918269230768e-07,10.22,34000,,,,,,,
78,0.3779,1.760441706730769e-07,10.37,34500,,,,,,,
79,0.3883,1.7134915865384614e-07,10.52,35000,,,,,,,
80,0.3884,1.6665414663461538e-07,10.67,35500,,,,,,,
81,0.3815,1.6195913461538461e-07,10.82,36000,,,,,,,
82,0.3778,1.5726412259615385e-07,10.97,36500,,,,,,,
83,,,11.0,36608,0.43423759937286377,0.7969589829444885,117.9709,439.863,,,
84,0.3804,1.5256911057692306e-07,11.12,37000,,,,,,,
85,0.3815,1.4787409855769232e-07,11.27,37500,,,,,,,
86,0.3879,1.4317908653846153e-07,11.42,38000,,,,,,,
87,0.387,1.384840745192308e-07,11.57,38500,,,,,,,
88,0.3842,1.337890625e-07,11.72,39000,,,,,,,
89,0.3735,1.290940504807692e-07,11.87,39500,,,,,,,
90,,,12.0,39936,0.43365034461021423,0.7973636984825134,119.9833,432.485,,,
91,0.3689,1.2439903846153847e-07,12.02,40000,,,,,,,
92,0.3729,1.197040264423077e-07,12.17,40500,,,,,,,
93,0.3786,1.1500901442307692e-07,12.32,41000,,,,,,,
94,0.3725,1.1031400240384616e-07,12.47,41500,,,,,,,
95,0.3834,1.0561899038461539e-07,12.62,42000,,,,,,,
96,0.3777,1.009239783653846e-07,12.77,42500,,,,,,,
97,0.3675,9.622896634615383e-08,12.92,43000,,,,,,,
98,,,13.0,43264,0.44303062558174133,0.7974985837936401,119.5114,434.193,,,
99,0.3633,9.153395432692307e-08,13.07,43500,,,,,,,
100,0.3709,8.68389423076923e-08,13.22,44000,,,,,,,
101,0.3669,8.214393028846154e-08,13.37,44500,,,,,,,
102,0.3767,7.744891826923076e-08,13.52,45000,,,,,,,
103,0.3691,7.275390625e-08,13.67,45500,,,,,,,
104,0.3695,6.805889423076923e-08,13.82,46000,,,,,,,
105,0.3735,6.336388221153846e-08,13.97,46500,,,,,,,
106,,,14.0,46592,0.44052326679229736,0.7979225516319275,123.7972,419.161,,,
107,0.3683,5.866887019230769e-08,14.12,47000,,,,,,,
108,0.3606,5.397385817307692e-08,14.27,47500,,,,,,,
109,0.3734,4.927884615384615e-08,14.42,48000,,,,,,,
110,0.3641,4.4583834134615384e-08,14.57,48500,,,,,,,
111,0.3797,3.988882211538461e-08,14.72,49000,,,,,,,
112,0.3811,3.5193810096153846e-08,14.87,49500,,,,,,,
113,,,15.0,49920,0.4404233396053314,0.7974793314933777,118.5629,437.667,,,
114,0.3667,3.0498798076923075e-08,15.02,50000,,,,,,,
115,0.3646,2.5803786057692306e-08,15.17,50500,,,,,,,
116,0.375,2.1108774038461537e-08,15.32,51000,,,,,,,
117,0.367,1.641376201923077e-08,15.47,51500,,,,,,,
118,0.3617,1.171875e-08,15.62,52000,,,,,,,
119,0.3724,7.023737980769231e-09,15.78,52500,,,,,,,
120,0.3754,2.3287259615384615e-09,15.93,53000,,,,,,,
121,,,16.0,53248,0.4417051076889038,0.7977298498153687,118.5057,437.878,,,
122,,,16.0,53248,,,,,10623.6118,5.012,7338322123954536.0
