,loss,learning_rate,epoch,step,eval_loss,eval_accuracy,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
0,0.889,4.784779614325069e-05,0.69,500,,,,,,,,,,
1,,,1.0,726,0.6250308752059937,0.7341180443763733,14.1758,785.073,49.098,,,,,
2,0.6048,4.569559228650138e-05,1.38,1000,,,,,,,,,,
3,,,2.0,1452,0.5990581512451172,0.7629616260528564,14.3998,772.857,48.334,,,,,
4,0.4741,4.354338842975207e-05,2.07,1500,,,,,,,,,,
5,0.265,4.139118457300275e-05,2.75,2000,,,,,,,,,,
6,,,3.0,2178,0.8763043880462646,0.7568514943122864,14.274,779.67,48.76,,,,,
7,0.1741,3.9238980716253446e-05,3.44,2500,,,,,,,,,,
8,,,4.0,2904,0.9682772755622864,0.763770341873169,14.1362,787.272,49.235,,,,,
9,0.1544,3.708677685950414e-05,4.13,3000,,,,,,,,,,
10,0.0884,3.4934573002754824e-05,4.82,3500,,,,,,,,,,
11,,,5.0,3630,1.3181989192962646,0.7597268223762512,14.1916,784.195,49.043,,,,,
12,0.066,3.278236914600551e-05,5.51,4000,,,,,,,,,,
13,,,6.0,4356,1.8188247680664062,0.7605355381965637,14.2143,782.944,48.965,,,,,
14,0.0518,3.06301652892562e-05,6.2,4500,,,,,,,,,,
15,0.0352,2.847796143250689e-05,6.89,5000,,,,,,,,,,
16,,,7.0,5082,2.280703544616699,0.763321042060852,14.2075,783.317,48.988,,,,,
17,0.0297,2.6325757575757575e-05,7.58,5500,,,,,,,,,,
18,,,8.0,5808,2.565850019454956,0.7636804580688477,14.3143,777.474,48.623,,,,,
19,0.0261,2.4173553719008264e-05,8.26,6000,,,,,,,,,,
20,0.0305,2.2021349862258957e-05,8.95,6500,,,,,,,,,,
21,,,9.0,6534,2.660905361175537,0.757210910320282,14.4516,770.089,48.161,,,,,
22,0.0208,1.9869146005509643e-05,9.64,7000,,,,,,,,,,
23,,,10.0,7260,2.795274496078491,0.7594572901725769,14.0383,792.76,49.579,,,,,
24,0.0166,1.7716942148760332e-05,10.33,7500,,,,,,,,,,
25,,,11.0,7986,2.9386136531829834,0.7670051455497742,14.2202,782.616,48.944,,,,,
26,0.0129,1.5564738292011018e-05,11.02,8000,,,,,,,,,,
27,0.0063,1.3412534435261709e-05,11.71,8500,,,,,,,,,,
28,,,12.0,8712,3.171623706817627,0.7652080059051514,14.2254,782.334,48.927,,,,,
29,0.0114,1.1260330578512397e-05,12.4,9000,,,,,,,,,,
30,,,13.0,9438,3.285388946533203,0.7651181817054749,14.2898,778.807,48.706,,,,,
31,0.0095,9.108126721763086e-06,13.09,9500,,,,,,,,,,
32,0.006,6.955922865013774e-06,13.77,10000,,,,,,,,,,
33,,,14.0,10164,3.100364923477173,0.7690718173980713,14.31,777.709,48.637,,,,,
34,0.0034,4.803719008264463e-06,14.46,10500,,,,,,,,,,
35,,,15.0,10890,3.2896037101745605,0.7726660370826721,14.4683,769.2,48.105,,,,,
36,0.003,2.651515151515152e-06,15.15,11000,,,,,,,,,,
37,0.003,4.993112947658403e-07,15.84,11500,,,,,,,,,,
38,,,16.0,11616,3.2920706272125244,0.7705993056297302,14.319,777.219,48.607,,,,,
39,,,16.0,11616,,,,,,1073.3735,173.062,10.822,5654847021279300.0,0.1283990587300259
