,loss,learning_rate,epoch,step,eval_loss,eval_accuracy,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
0,1.0995,4.952936746987952e-07,0.15,500,,,,,,,,,,
1,1.1,4.905873493975903e-07,0.3,1000,,,,,,,,,,
2,1.0997,4.858810240963855e-07,0.45,1500,,,,,,,,,,
3,1.0994,4.811746987951807e-07,0.6,2000,,,,,,,,,,
4,1.0991,4.764683734939759e-07,0.75,2500,,,,,,,,,,
5,1.0995,4.7176204819277104e-07,0.9,3000,,,,,,,,,,
6,,,1.0,3320,1.0976026058197021,0.370912104845047,56.4465,919.295,57.47,,,,,
7,1.0982,4.6705572289156623e-07,1.05,3500,,,,,,,,,,
8,1.0965,4.623493975903614e-07,1.2,4000,,,,,,,,,,
9,1.0935,4.576430722891566e-07,1.36,4500,,,,,,,,,,
10,1.0876,4.529367469879518e-07,1.51,5000,,,,,,,,,,
11,1.0761,4.4823042168674697e-07,1.66,5500,,,,,,,,,,
12,1.0618,4.4352409638554216e-07,1.81,6000,,,,,,,,,,
13,1.0504,4.388177710843373e-07,1.96,6500,,,,,,,,,,
14,,,2.0,6640,1.0503685474395752,0.4681929349899292,57.0986,908.797,56.814,,,,,
15,1.0335,4.3411144578313253e-07,2.11,7000,,,,,,,,,,
16,1.0242,4.2940512048192767e-07,2.26,7500,,,,,,,,,,
17,1.0141,4.246987951807229e-07,2.41,8000,,,,,,,,,,
18,1.0088,4.1999246987951804e-07,2.56,8500,,,,,,,,,,
19,1.0118,4.152861445783132e-07,2.71,9000,,,,,,,,,,
20,0.9968,4.1057981927710846e-07,2.86,9500,,,,,,,,,,
21,,,3.0,9960,1.0015913248062134,0.49363088607788086,57.9201,895.906,56.008,,,,,
22,0.9923,4.058734939759036e-07,3.01,10000,,,,,,,,,,
23,0.9827,4.011671686746988e-07,3.16,10500,,,,,,,,,,
24,0.988,3.9646084337349397e-07,3.31,11000,,,,,,,,,,
25,0.9794,3.9175451807228915e-07,3.46,11500,,,,,,,,,,
26,0.977,3.870481927710843e-07,3.61,12000,,,,,,,,,,
27,0.9745,3.8234186746987953e-07,3.77,12500,,,,,,,,,,
28,0.9679,3.7763554216867466e-07,3.92,13000,,,,,,,,,,
29,,,4.0,13280,0.9718810319900513,0.512593686580658,58.6116,885.337,55.347,,,,,
30,0.9608,3.7292921686746985e-07,4.07,13500,,,,,,,,,,
31,0.9627,3.682228915662651e-07,4.22,14000,,,,,,,,,,
32,0.9583,3.635165662650602e-07,4.37,14500,,,,,,,,,,
33,0.9449,3.588102409638554e-07,4.52,15000,,,,,,,,,,
34,0.9448,3.541039156626506e-07,4.67,15500,,,,,,,,,,
35,0.9597,3.493975903614458e-07,4.82,16000,,,,,,,,,,
36,0.9485,3.446912650602409e-07,4.97,16500,,,,,,,,,,
37,,,5.0,16600,0.9511858224868774,0.5255246758460999,58.5176,886.759,55.436,,,,,
38,0.9437,3.3998493975903615e-07,5.12,17000,,,,,,,,,,
39,0.9445,3.352786144578313e-07,5.27,17500,,,,,,,,,,
40,0.9368,3.3057228915662647e-07,5.42,18000,,,,,,,,,,
41,0.9416,3.258659638554217e-07,5.57,18500,,,,,,,,,,
42,0.9364,3.2115963855421684e-07,5.72,19000,,,,,,,,,,
43,0.9316,3.1645331325301203e-07,5.87,19500,,,,,,,,,,
44,,,6.0,19920,0.9357095956802368,0.536933183670044,60.497,857.745,53.622,,,,,
45,0.9303,3.117469879518072e-07,6.02,20000,,,,,,,,,,
46,0.9226,3.070406626506024e-07,6.17,20500,,,,,,,,,,
47,0.9399,3.023343373493976e-07,6.33,21000,,,,,,,,,,
48,0.9225,2.976280120481928e-07,6.48,21500,,,,,,,,,,
49,0.9245,2.929216867469879e-07,6.63,22000,,,,,,,,,,
50,0.9157,2.8821536144578315e-07,6.78,22500,,,,,,,,,,
51,0.9175,2.835090361445783e-07,6.93,23000,,,,,,,,,,
52,,,7.0,23240,0.9238148927688599,0.5454124808311462,60.5895,856.436,53.541,,,,,
53,0.9175,2.7880271084337347e-07,7.08,23500,,,,,,,,,,
54,0.9212,2.740963855421687e-07,7.23,24000,,,,,,,,,,
55,0.9141,2.6939006024096384e-07,7.38,24500,,,,,,,,,,
56,0.9082,2.64683734939759e-07,7.53,25000,,,,,,,,,,
57,0.9103,2.599774096385542e-07,7.68,25500,,,,,,,,,,
58,0.9027,2.552710843373494e-07,7.83,26000,,,,,,,,,,
59,0.9121,2.5056475903614453e-07,7.98,26500,,,,,,,,,,
60,,,8.0,26560,0.9137281179428101,0.553564190864563,58.1923,891.716,55.746,,,,,
61,0.9083,2.4585843373493977e-07,8.13,27000,,,,,,,,,,
62,0.9041,2.4115210843373496e-07,8.28,27500,,,,,,,,,,
63,0.9048,2.3644578313253012e-07,8.43,28000,,,,,,,,,,
64,0.9046,2.3173945783132528e-07,8.58,28500,,,,,,,,,,
65,0.9002,2.2703313253012046e-07,8.73,29000,,,,,,,,,,
66,0.9084,2.2232680722891565e-07,8.89,29500,,,,,,,,,,
67,,,9.0,29880,0.9061554670333862,0.5574377179145813,58.9871,879.701,54.995,,,,,
68,0.8922,2.1762048192771083e-07,9.04,30000,,,,,,,,,,
69,0.8913,2.1291415662650602e-07,9.19,30500,,,,,,,,,,
70,0.8996,2.082078313253012e-07,9.34,31000,,,,,,,,,,
71,0.8973,2.035015060240964e-07,9.49,31500,,,,,,,,,,
72,0.8985,1.9879518072289155e-07,9.64,32000,,,,,,,,,,
73,0.9034,1.9408885542168674e-07,9.79,32500,,,,,,,,,,
74,0.8905,1.8938253012048192e-07,9.94,33000,,,,,,,,,,
75,,,10.0,33200,0.9022473096847534,0.5623133182525635,56.9725,910.807,56.94,,,,,
76,0.8973,1.8467620481927708e-07,10.09,33500,,,,,,,,,,
77,0.8833,1.7996987951807227e-07,10.24,34000,,,,,,,,,,
78,0.9007,1.7526355421686746e-07,10.39,34500,,,,,,,,,,
79,0.8866,1.7055722891566264e-07,10.54,35000,,,,,,,,,,
80,0.8917,1.6585090361445783e-07,10.69,35500,,,,,,,,,,
81,0.8871,1.6114457831325302e-07,10.84,36000,,,,,,,,,,
82,0.885,1.5643825301204818e-07,10.99,36500,,,,,,,,,,
83,,,11.0,36520,0.898186981678009,0.5629685521125793,56.3495,920.879,57.569,,,,,
84,0.8802,1.5173192771084336e-07,11.14,37000,,,,,,,,,,
85,0.8815,1.4702560240963855e-07,11.3,37500,,,,,,,,,,
86,0.8849,1.4231927710843373e-07,11.45,38000,,,,,,,,,,
87,0.8805,1.376129518072289e-07,11.6,38500,,,,,,,,,,
88,0.8926,1.3290662650602408e-07,11.75,39000,,,,,,,,,,
89,0.8952,1.282003012048193e-07,11.9,39500,,,,,,,,,,
90,,,12.0,39840,0.8948509693145752,0.5650498270988464,58.0471,893.946,55.886,,,,,
91,0.8758,1.2349397590361445e-07,12.05,40000,,,,,,,,,,
92,0.8872,1.1878765060240964e-07,12.2,40500,,,,,,,,,,
93,0.8894,1.1408132530120481e-07,12.35,41000,,,,,,,,,,
94,0.8731,1.09375e-07,12.5,41500,,,,,,,,,,
95,0.8845,1.0466867469879517e-07,12.65,42000,,,,,,,,,,
96,0.8744,9.996234939759034e-08,12.8,42500,,,,,,,,,,
97,0.8683,9.525602409638554e-08,12.95,43000,,,,,,,,,,
98,,,13.0,43160,0.8924888372421265,0.5655122995376587,57.9582,895.317,55.971,,,,,
99,0.882,9.054969879518072e-08,13.1,43500,,,,,,,,,,
100,0.8809,8.58433734939759e-08,13.25,44000,,,,,,,,,,
101,0.8797,8.113704819277108e-08,13.4,44500,,,,,,,,,,
102,0.8914,7.643072289156626e-08,13.55,45000,,,,,,,,,,
103,0.8799,7.172439759036145e-08,13.7,45500,,,,,,,,,,
104,0.8753,6.701807228915662e-08,13.86,46000,,,,,,,,,,
105,,,14.0,46480,0.8911731243133545,0.5668613314628601,56.7564,914.277,57.157,,,,,
106,0.8646,6.231174698795181e-08,14.01,46500,,,,,,,,,,
107,0.8795,5.760542168674699e-08,14.16,47000,,,,,,,,,,
108,0.8756,5.289909638554217e-08,14.31,47500,,,,,,,,,,
109,0.8707,4.8192771084337347e-08,14.46,48000,,,,,,,,,,
110,0.8844,4.3486445783132526e-08,14.61,48500,,,,,,,,,,
111,0.8768,3.878012048192771e-08,14.76,49000,,,,,,,,,,
112,0.8785,3.407379518072289e-08,14.91,49500,,,,,,,,,,
113,,,15.0,49800,0.8901680707931519,0.5675358176231384,58.6652,884.528,55.297,,,,,
114,0.8722,2.9367469879518072e-08,15.06,50000,,,,,,,,,,
115,0.8741,2.4661144578313255e-08,15.21,50500,,,,,,,,,,
116,0.8748,1.995481927710843e-08,15.36,51000,,,,,,,,,,
