,loss,learning_rate,epoch,step,eval_loss,eval_accuracy,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
0,1.0998,4.953049879807692e-07,0.15,500,,,,,,,,,,
1,1.0992,4.906099759615384e-07,0.3,1000,,,,,,,,,,
2,1.0996,4.859149639423077e-07,0.45,1500,,,,,,,,,,
3,1.099,4.812199519230769e-07,0.6,2000,,,,,,,,,,
4,1.0995,4.765249399038461e-07,0.75,2500,,,,,,,,,,
5,1.0993,4.7182992788461533e-07,0.9,3000,,,,,,,,,,
6,,,1.0,3328,1.097616195678711,0.37337881326675415,57.448,903.27,56.468,,,,,
7,1.099,4.671349158653846e-07,1.05,3500,,,,,,,,,,
8,1.098,4.6243990384615386e-07,1.2,4000,,,,,,,,,,
9,1.097,4.5774489182692304e-07,1.35,4500,,,,,,,,,,
10,1.0935,4.5304987980769227e-07,1.5,5000,,,,,,,,,,
11,1.0855,4.4835486778846156e-07,1.65,5500,,,,,,,,,,
12,1.0711,4.4365985576923074e-07,1.8,6000,,,,,,,,,,
13,1.0618,4.3896484375e-07,1.95,6500,,,,,,,,,,
14,,,2.0,6656,1.0291646718978882,0.4819140136241913,57.3147,905.37,56.6,,,,,
15,1.0473,4.342698317307692e-07,2.1,7000,,,,,,,,,,
16,1.0352,4.295748197115384e-07,2.25,7500,,,,,,,,,,
17,1.0292,4.248798076923077e-07,2.4,8000,,,,,,,,,,
18,1.0188,4.201847956730769e-07,2.55,8500,,,,,,,,,,
19,1.018,4.1548978365384615e-07,2.7,9000,,,,,,,,,,
20,1.0049,4.1079477163461533e-07,2.85,9500,,,,,,,,,,
21,,,3.0,9984,0.9656262397766113,0.5224798321723938,57.2133,906.974,56.7,,,,,
22,0.9954,4.060997596153846e-07,3.0,10000,,,,,,,,,,
23,0.9911,4.0140474759615385e-07,3.16,10500,,,,,,,,,,
24,0.9877,3.9670973557692304e-07,3.31,11000,,,,,,,,,,
25,0.9822,3.9201472355769227e-07,3.46,11500,,,,,,,,,,
26,0.977,3.8731971153846156e-07,3.61,12000,,,,,,,,,,
27,0.9731,3.8262469951923074e-07,3.76,12500,,,,,,,,,,
28,0.9648,3.779296875e-07,3.91,13000,,,,,,,,,,
29,,,4.0,13312,0.9379436373710632,0.540228545665741,58.3623,889.118,55.584,,,,,
