,loss,learning_rate,epoch,step,eval_loss,eval_accuracy,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
0,1.1,4.941806331471135e-07,0.19,500,,,,,,,,,,
1,1.0993,4.883612662942272e-07,0.37,1000,,,,,,,,,,
2,1.0993,4.825418994413408e-07,0.56,1500,,,,,,,,,,
3,1.0947,4.7672253258845435e-07,0.74,2000,,,,,,,,,,
4,1.0724,4.709031657355679e-07,0.93,2500,,,,,,,,,,
5,,,1.0,2685,0.9533208608627319,0.5575413703918457,133.949,322.473,20.157,,,,,
6,1.0236,4.650837988826816e-07,1.12,3000,,,,,,,,,,
7,0.9785,4.5926443202979516e-07,1.3,3500,,,,,,,,,,
8,0.9405,4.534450651769087e-07,1.49,4000,,,,,,,,,,
9,0.9025,4.476256983240223e-07,1.68,4500,,,,,,,,,,
10,0.882,4.4180633147113597e-07,1.86,5000,,,,,,,,,,
11,,,2.0,5370,0.775217592716217,0.65910404920578,134.2349,321.787,20.114,,,,,
12,0.8471,4.3598696461824953e-07,2.05,5500,,,,,,,,,,
13,0.8408,4.301675977653631e-07,2.23,6000,,,,,,,,,,
14,0.8263,4.2434823091247667e-07,2.42,6500,,,,,,,,,,
15,0.817,4.185288640595903e-07,2.61,7000,,,,,,,,,,
16,0.8063,4.127094972067039e-07,2.79,7500,,,,,,,,,,
17,0.8002,4.068901303538175e-07,2.98,8000,,,,,,,,,,
18,,,3.0,8055,0.7375245094299316,0.6752170324325562,135.2956,319.264,19.956,,,,,
19,0.8172,4.0107076350093104e-07,3.17,8500,,,,,,,,,,
20,0.7759,3.9525139664804466e-07,3.35,9000,,,,,,,,,,
21,0.7802,3.894320297951583e-07,3.54,9500,,,,,,,,,,
22,0.7651,3.8361266294227185e-07,3.72,10000,,,,,,,,,,
23,0.7674,3.7779329608938547e-07,3.91,10500,,,,,,,,,,
24,,,4.0,10740,0.724111795425415,0.6830188632011414,135.4166,318.979,19.938,,,,,
25,0.7682,3.7197392923649904e-07,4.1,11000,,,,,,,,,,
26,0.7659,3.6615456238361266e-07,4.28,11500,,,,,,,,,,
27,0.7584,3.603351955307262e-07,4.47,12000,,,,,,,,,,
28,0.7516,3.5451582867783984e-07,4.66,12500,,,,,,,,,,
29,0.7585,3.486964618249534e-07,4.84,13000,,,,,,,,,,
30,,,5.0,13425,0.7152109146118164,0.6887370944023132,135.186,319.523,19.972,,,,,
31,0.7515,3.4287709497206703e-07,5.03,13500,,,,,,,,,,
32,0.7438,3.370577281191806e-07,5.21,14000,,,,,,,,,,
33,0.7398,3.312383612662942e-07,5.4,14500,,,,,,,,,,
34,0.7239,3.254189944134078e-07,5.59,15000,,,,,,,,,,
35,0.7547,3.195996275605214e-07,5.77,15500,,,,,,,,,,
36,0.7436,3.1378026070763497e-07,5.96,16000,,,,,,,,,,
37,,,6.0,16110,0.712602436542511,0.6916078329086304,134.2186,321.826,20.116,,,,,
38,0.7301,3.079608938547486e-07,6.15,16500,,,,,,,,,,
39,0.7251,3.0214152700186216e-07,6.33,17000,,,,,,,,,,
40,0.743,2.963221601489758e-07,6.52,17500,,,,,,,,,,
41,0.7166,2.905027932960894e-07,6.7,18000,,,,,,,,,,
42,0.7244,2.8468342644320297e-07,6.89,18500,,,,,,,,,,
43,,,7.0,18795,0.7064005732536316,0.6951730251312256,134.6211,320.863,20.056,,,,,
44,0.7219,2.7886405959031653e-07,7.08,19000,,,,,,,,,,
45,0.7302,2.7304469273743015e-07,7.26,19500,,,,,,,,,,
46,0.7136,2.672253258845438e-07,7.45,20000,,,,,,,,,,
47,0.7116,2.6140595903165734e-07,7.64,20500,,,,,,,,,,
48,0.7147,2.555865921787709e-07,7.82,21000,,,,,,,,,,
49,,,8.0,21480,0.7010265588760376,0.6971871852874756,133.7212,323.023,20.191,,,,,
50,0.7173,2.4976722532588453e-07,8.01,21500,,,,,,,,,,
51,0.7291,2.439478584729981e-07,8.19,22000,,,,,,,,,,
52,0.7183,2.3812849162011172e-07,8.38,22500,,,,,,,,,,
53,0.703,2.323091247672253e-07,8.57,23000,,,,,,,,,,
54,0.706,2.264897579143389e-07,8.75,23500,,,,,,,,,,
55,0.6978,2.206703910614525e-07,8.94,24000,,,,,,,,,,
56,,,9.0,24165,0.7047324180603027,0.6987382769584656,135.1159,319.689,19.983,,,,,
57,0.6818,2.148510242085661e-07,9.12,24500,,,,,,,,,,
58,0.6954,2.0903165735567968e-07,9.31,25000,,,,,,,,,,
59,0.7159,2.0321229050279328e-07,9.5,25500,,,,,,,,,,
60,0.7026,1.973929236499069e-07,9.68,26000,,,,,,,,,,
61,0.704,1.9157355679702047e-07,9.87,26500,,,,,,,,,,
62,,,10.0,26850,0.6949095726013184,0.7001041769981384,133.7784,322.885,20.183,,,,,
63,0.7047,1.8575418994413409e-07,10.06,27000,,,,,,,,,,
64,0.688,1.7993482309124765e-07,10.24,27500,,,,,,,,,,
65,0.7,1.7411545623836127e-07,10.43,28000,,,,,,,,,,
66,0.6998,1.6829608938547484e-07,10.61,28500,,,,,,,,,,
67,0.6978,1.6247672253258846e-07,10.8,29000,,,,,,,,,,
68,0.7022,1.5665735567970203e-07,10.99,29500,,,,,,,,,,
69,,,11.0,29535,0.6942355632781982,0.7020257115364075,135.1337,319.646,19.98,,,,,
70,0.6815,1.5083798882681565e-07,11.17,30000,,,,,,,,,,
71,0.6987,1.4501862197392921e-07,11.36,30500,,,,,,,,,,
72,0.6873,1.3919925512104283e-07,11.55,31000,,,,,,,,,,
73,0.6904,1.333798882681564e-07,11.73,31500,,,,,,,,,,
74,0.7047,1.2756052141527002e-07,11.92,32000,,,,,,,,,,
75,,,12.0,32220,0.6906516551971436,0.7024192810058594,135.4433,318.916,19.935,,,,,
76,0.7005,1.2174115456238362e-07,12.1,32500,,,,,,,,,,
77,0.6812,1.1592178770949721e-07,12.29,33000,,,,,,,,,,
78,0.6823,1.101024208566108e-07,12.48,33500,,,,,,,,,,
79,0.689,1.042830540037244e-07,12.66,34000,,,,,,,,,,
80,0.7012,9.846368715083799e-08,12.85,34500,,,,,,,,,,
81,,,13.0,34905,0.6913244128227234,0.7030674815177917,133.2913,324.065,20.256,,,,,
82,0.6864,9.264432029795158e-08,13.04,35000,,,,,,,,,,
83,0.6809,8.682495344506518e-08,13.22,35500,,,,,,,,,,
84,0.6928,8.100558659217877e-08,13.41,36000,,,,,,,,,,
85,0.6921,7.518621973929236e-08,13.59,36500,,,,,,,,,,
86,0.6759,6.936685288640596e-08,13.78,37000,,,,,,,,,,
87,0.6805,6.354748603351955e-08,13.97,37500,,,,,,,,,,
88,,,14.0,37590,0.6943890452384949,0.7042250037193298,133.5195,323.511,20.222,,,,,
