,loss,learning_rate,epoch,step,eval_loss,eval_accuracy,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
0,1.0993,4.784779614325068e-07,0.69,500,,,,,,,,,,
1,,,1.0,726,1.098308801651001,0.36660975217819214,44.2088,251.737,15.743,,,,,
2,1.1,4.569559228650138e-07,1.38,1000,,,,,,,,,,
3,,,2.0,1452,1.0964003801345825,0.4825231432914734,44.2257,251.641,15.737,,,,,
4,1.098,4.354338842975206e-07,2.07,1500,,,,,,,,,,
5,1.0782,4.139118457300275e-07,2.75,2000,,,,,,,,,,
6,,,3.0,2178,0.8501783609390259,0.6343786716461182,44.3389,250.998,15.697,,,,,
7,0.8921,3.9238980716253437e-07,3.44,2500,,,,,,,,,,
8,,,4.0,2904,0.6936691403388977,0.7103962898254395,44.1571,252.032,15.762,,,,,
9,0.7952,3.708677685950413e-07,4.13,3000,,,,,,,,,,
10,0.7364,3.4934573002754817e-07,4.82,3500,,,,,,,,,,
11,,,5.0,3630,0.6162747144699097,0.7459789514541626,44.1617,252.005,15.76,,,,,
12,0.6791,3.2782369146005507e-07,5.51,4000,,,,,,,,,,
13,,,6.0,4356,0.5740724802017212,0.7638601660728455,44.2653,251.416,15.723,,,,,
14,0.6646,3.0630165289256197e-07,6.2,4500,,,,,,,,,,
15,0.6278,2.8477961432506887e-07,6.89,5000,,,,,,,,,,
16,,,7.0,5082,0.5476147532463074,0.7757210731506348,44.3281,251.06,15.701,,,,,
17,0.6207,2.632575757575757e-07,7.58,5500,,,,,,,,,,
18,,,8.0,5808,0.5306662321090698,0.7828196883201599,43.9639,253.14,15.831,,,,,
19,0.5842,2.417355371900826e-07,8.26,6000,,,,,,,,,,
20,0.5758,2.2021349862258954e-07,8.95,6500,,,,,,,,,,
21,,,9.0,6534,0.5153757333755493,0.7891095280647278,44.327,251.066,15.701,,,,,
22,0.576,1.986914600550964e-07,9.64,7000,,,,,,,,,,
23,,,10.0,7260,0.5049264430999756,0.7951298356056213,44.1511,252.066,15.764,,,,,
24,0.5475,1.771694214876033e-07,10.33,7500,,,,,,,,,,
25,,,11.0,7986,0.49540653824806213,0.7981849312782288,44.0289,252.766,15.808,,,,,
26,0.5656,1.5564738292011019e-07,11.02,8000,,,,,,,,,,
27,0.5514,1.3412534435261709e-07,11.71,8500,,,,,,,,,,
28,,,12.0,8712,0.4911907911300659,0.8024080991744995,44.0843,252.448,15.788,,,,,
29,0.5345,1.1260330578512396e-07,12.4,9000,,,,,,,,,,
30,,,13.0,9438,0.491292804479599,0.8037559390068054,44.0696,252.532,15.793,,,,,
31,0.533,9.108126721763084e-08,13.09,9500,,,,,,,,,,
32,0.5369,6.955922865013773e-08,13.77,10000,,,,,,,,,,
33,,,14.0,10164,0.4868145287036896,0.8051037788391113,44.1297,252.188,15.772,,,,,
34,0.5312,4.8037190082644624e-08,14.46,10500,,,,,,,,,,
35,,,15.0,10890,0.4841526746749878,0.8051936626434326,44.096,252.381,15.784,,,,,
36,0.5315,2.6515151515151513e-08,15.15,11000,,,,,,,,,,
37,0.5158,4.993112947658402e-09,15.84,11500,,,,,,,,,,
38,,,16.0,11616,0.48340561985969543,0.8056429028511047,44.0188,252.824,15.811,,,,,
39,,,16.0,11616,,,,,,3326.3917,55.844,3.492,1.1141982015490404e+16,0.6929274042119008
