,loss,learning_rate,epoch,step,eval_loss,eval_accuracy,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
0,1.0992,4.784779614325068e-07,0.69,500,,,,,,,,,,
1,,,1.0,726,1.0983223915100098,0.360230028629303,43.6046,255.225,15.962,,,,,
2,1.0988,4.569559228650138e-07,1.38,1000,,,,,,,,,,
3,,,2.0,1452,1.0966922044754028,0.47201007604599,43.5697,255.43,15.974,,,,,
4,1.0985,4.354338842975206e-07,2.07,1500,,,,,,,,,,
5,1.0793,4.139118457300275e-07,2.75,2000,,,,,,,,,,
6,,,3.0,2178,0.8563953638076782,0.622338056564331,43.5975,255.267,15.964,,,,,
7,0.8955,3.9238980716253437e-07,3.44,2500,,,,,,,,,,
8,,,4.0,2904,0.7212815880775452,0.6935933232307434,43.6395,255.021,15.949,,,,,
9,0.8099,3.708677685950413e-07,4.13,3000,,,,,,,,,,
10,0.733,3.4934573002754817e-07,4.82,3500,,,,,,,,,,
11,,,5.0,3630,0.6236041188240051,0.7404079437255859,43.6612,254.894,15.941,,,,,
12,0.6941,3.2782369146005507e-07,5.51,4000,,,,,,,,,,
13,,,6.0,4356,0.5795249938964844,0.7602659463882446,43.6454,254.987,15.947,,,,,
14,0.6554,3.0630165289256197e-07,6.2,4500,,,,,,,,,,
15,0.6379,2.8477961432506887e-07,6.89,5000,,,,,,,,,,
16,,,7.0,5082,0.5481539368629456,0.7759007811546326,43.5952,255.28,15.965,,,,,
17,0.6014,2.632575757575757e-07,7.58,5500,,,,,,,,,,
18,,,8.0,5808,0.5256950259208679,0.7853356003761292,43.6827,254.769,15.933,,,,,
19,0.5926,2.417355371900826e-07,8.26,6000,,,,,,,,,,
20,0.5772,2.2021349862258954e-07,8.95,6500,,,,,,,,,,
21,,,9.0,6534,0.5121631622314453,0.7916254997253418,43.6603,254.9,15.941,,,,,
22,0.5664,1.986914600550964e-07,9.64,7000,,,,,,,,,,
23,,,10.0,7260,0.503398597240448,0.7967472076416016,43.6901,254.726,15.93,,,,,
24,0.5562,1.771694214876033e-07,10.33,7500,,,,,,,,,,
25,,,11.0,7986,0.4941861629486084,0.8008806109428406,43.6682,254.854,15.938,,,,,
26,0.5498,1.5564738292011019e-07,11.02,8000,,,,,,,,,,
27,0.5355,1.3412534435261709e-07,11.71,8500,,,,,,,,,,
28,,,12.0,8712,0.4900233745574951,0.8019588589668274,43.8397,253.857,15.876,,,,,
29,0.541,1.1260330578512396e-07,12.4,9000,,,,,,,,,,
30,,,13.0,9438,0.484188437461853,0.8051037788391113,43.8064,254.05,15.888,,,,,
31,0.5422,9.108126721763084e-08,13.09,9500,,,,,,,,,,
32,0.5253,6.955922865013773e-08,13.77,10000,,,,,,,,,,
33,,,14.0,10164,0.48156455159187317,0.8058226108551025,43.6969,254.686,15.928,,,,,
34,0.5231,4.8037190082644624e-08,14.46,10500,,,,,,,,,,
35,,,15.0,10890,0.4803597629070282,0.8065414428710938,43.6696,254.846,15.938,,,,,
36,0.5263,2.6515151515151513e-08,15.15,11000,,,,,,,,,,
37,0.5217,4.993112947658402e-09,15.84,11500,,,,,,,,,,
38,,,16.0,11616,0.48037463426589966,0.8068110346794128,43.5767,255.389,15.972,,,,,
39,,,16.0,11616,,,,,,3308.1371,56.152,3.511,1.1086781606147016e+16,0.692301825386762
