,loss,learning_rate,epoch,step,eval_loss,eval_accuracy,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
0,1.0991,4.952936746987952e-07,0.15,500,,,,,,,,,,
1,1.0995,4.905873493975903e-07,0.3,1000,,,,,,,,,,
2,1.0991,4.858810240963855e-07,0.45,1500,,,,,,,,,,
3,1.0984,4.811746987951807e-07,0.6,2000,,,,,,,,,,
4,1.0932,4.764683734939759e-07,0.75,2500,,,,,,,,,,
5,1.0782,4.7176204819277104e-07,0.9,3000,,,,,,,,,,
6,,,1.0,3320,1.0990219116210938,0.33967354893684387,180.2479,287.887,17.997,,,,,
7,1.0393,4.6705572289156623e-07,1.05,3500,,,,,,,,,,
8,1.0073,4.623493975903614e-07,1.2,4000,,,,,,,,,,
9,0.9872,4.576430722891566e-07,1.36,4500,,,,,,,,,,
10,0.9641,4.529367469879518e-07,1.51,5000,,,,,,,,,,
11,0.9499,4.4823042168674697e-07,1.66,5500,,,,,,,,,,
12,0.921,4.4352409638554216e-07,1.81,6000,,,,,,,,,,
13,0.9109,4.388177710843373e-07,1.96,6500,,,,,,,,,,
14,,,2.0,6640,0.9241576790809631,0.564067006111145,180.595,287.334,17.963,,,,,
15,0.9017,4.3411144578313253e-07,2.11,7000,,,,,,,,,,
16,0.8905,4.2940512048192767e-07,2.26,7500,,,,,,,,,,
17,0.8757,4.246987951807229e-07,2.41,8000,,,,,,,,,,
18,0.8706,4.1999246987951804e-07,2.56,8500,,,,,,,,,,
19,0.8665,4.152861445783132e-07,2.71,9000,,,,,,,,,,
20,0.8653,4.1057981927710846e-07,2.86,9500,,,,,,,,,,
21,,,3.0,9960,0.8735279440879822,0.5870574712753296,180.6631,287.225,17.956,,,,,
22,0.8638,4.058734939759036e-07,3.01,10000,,,,,,,,,,
23,0.8357,4.011671686746988e-07,3.16,10500,,,,,,,,,,
24,0.8455,3.9646084337349397e-07,3.31,11000,,,,,,,,,,
25,0.8325,3.9175451807228915e-07,3.46,11500,,,,,,,,,,
26,0.8488,3.870481927710843e-07,3.61,12000,,,,,,,,,,
27,0.8473,3.8234186746987953e-07,3.77,12500,,,,,,,,,,
28,0.8302,3.7763554216867466e-07,3.92,13000,,,,,,,,,,
29,,,4.0,13280,0.8617256879806519,0.5960185527801514,180.6428,287.258,17.958,,,,,
30,0.8225,3.7292921686746985e-07,4.07,13500,,,,,,,,,,
31,0.8234,3.682228915662651e-07,4.22,14000,,,,,,,,,,
32,0.8195,3.635165662650602e-07,4.37,14500,,,,,,,,,,
33,0.8185,3.588102409638554e-07,4.52,15000,,,,,,,,,,
34,0.8165,3.541039156626506e-07,4.67,15500,,,,,,,,,,
35,0.8153,3.493975903614458e-07,4.82,16000,,,,,,,,,,
36,0.8176,3.446912650602409e-07,4.97,16500,,,,,,,,,,
37,,,5.0,16600,0.8518011569976807,0.6027827858924866,180.2998,287.804,17.992,,,,,
38,0.7988,3.3998493975903615e-07,5.12,17000,,,,,,,,,,
39,0.8119,3.352786144578313e-07,5.27,17500,,,,,,,,,,
40,0.8088,3.3057228915662647e-07,5.42,18000,,,,,,,,,,
41,0.795,3.258659638554217e-07,5.57,18500,,,,,,,,,,
42,0.7963,3.2115963855421684e-07,5.72,19000,,,,,,,,,,
43,0.8074,3.1645331325301203e-07,5.87,19500,,,,,,,,,,
44,,,6.0,19920,0.8468196392059326,0.6087375283241272,180.7532,287.082,17.947,,,,,
45,0.7897,3.117469879518072e-07,6.02,20000,,,,,,,,,,
46,0.8081,3.070406626506024e-07,6.17,20500,,,,,,,,,,
47,0.7894,3.023343373493976e-07,6.33,21000,,,,,,,,,,
48,0.7916,2.976280120481928e-07,6.48,21500,,,,,,,,,,
49,0.7788,2.929216867469879e-07,6.63,22000,,,,,,,,,,
50,0.7907,2.8821536144578315e-07,6.78,22500,,,,,,,,,,
51,0.7887,2.835090361445783e-07,6.93,23000,,,,,,,,,,
52,,,7.0,23240,0.8439720869064331,0.6115318536758423,181.5755,285.782,17.866,,,,,
53,0.7944,2.7880271084337347e-07,7.08,23500,,,,,,,,,,
