,loss,learning_rate,epoch,step,eval_loss,eval_accuracy,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
0,1.1007,4.953049879807692e-07,0.15,500,,,,,,,,,,
1,1.1001,4.906099759615384e-07,0.3,1000,,,,,,,,,,
2,1.0994,4.859149639423077e-07,0.45,1500,,,,,,,,,,
3,1.0993,4.812199519230769e-07,0.6,2000,,,,,,,,,,
4,1.0979,4.765249399038461e-07,0.75,2500,,,,,,,,,,
5,1.0884,4.7182992788461533e-07,0.9,3000,,,,,,,,,,
6,,,1.0,3328,0.9600920677185059,0.5586710572242737,179.8701,288.492,18.035,,,,,
7,1.0303,4.671349158653846e-07,1.05,3500,,,,,,,,,,
8,0.9861,4.6243990384615386e-07,1.2,4000,,,,,,,,,,
9,0.9622,4.5774489182692304e-07,1.35,4500,,,,,,,,,,
10,0.9462,4.5304987980769227e-07,1.5,5000,,,,,,,,,,
11,0.9317,4.4835486778846156e-07,1.65,5500,,,,,,,,,,
12,0.9201,4.4365985576923074e-07,1.8,6000,,,,,,,,,,
13,0.9133,4.3896484375e-07,1.95,6500,,,,,,,,,,
14,,,2.0,6656,0.8546317219734192,0.5998150110244751,179.8871,288.464,18.034,,,,,
15,0.904,4.342698317307692e-07,2.1,7000,,,,,,,,,,
16,0.8992,4.295748197115384e-07,2.25,7500,,,,,,,,,,
17,0.9005,4.248798076923077e-07,2.4,8000,,,,,,,,,,
18,0.8739,4.201847956730769e-07,2.55,8500,,,,,,,,,,
19,0.8804,4.1548978365384615e-07,2.7,9000,,,,,,,,,,
20,0.8802,4.1079477163461533e-07,2.85,9500,,,,,,,,,,
21,,,3.0,9984,0.8251113891601562,0.6176601052284241,180.0367,288.225,18.019,,,,,
22,0.871,4.060997596153846e-07,3.0,10000,,,,,,,,,,
23,0.861,4.0140474759615385e-07,3.16,10500,,,,,,,,,,
24,0.8623,3.9670973557692304e-07,3.31,11000,,,,,,,,,,
25,0.8617,3.9201472355769227e-07,3.46,11500,,,,,,,,,,
26,0.8467,3.8731971153846156e-07,3.61,12000,,,,,,,,,,
27,0.8548,3.8262469951923074e-07,3.76,12500,,,,,,,,,,
28,0.8434,3.779296875e-07,3.91,13000,,,,,,,,,,
29,,,4.0,13312,0.8077282309532166,0.6287024617195129,179.8478,288.527,18.037,,,,,
30,0.8393,3.732346754807692e-07,4.06,13500,,,,,,,,,,
31,0.8344,3.6853966346153844e-07,4.21,14000,,,,,,,,,,
32,0.8366,3.638446514423077e-07,4.36,14500,,,,,,,,,,
33,0.8366,3.591496394230769e-07,4.51,15000,,,,,,,,,,
34,0.8253,3.5445462740384615e-07,4.66,15500,,,,,,,,,,
35,0.8343,3.4975961538461533e-07,4.81,16000,,,,,,,,,,
36,0.8229,3.450646033653846e-07,4.96,16500,,,,,,,,,,
37,,,5.0,16640,0.7986562252044678,0.6347728967666626,179.9838,288.309,18.024,,,,,
38,0.8116,3.4036959134615385e-07,5.11,17000,,,,,,,,,,
39,0.8303,3.3567457932692303e-07,5.26,17500,,,,,,,,,,
40,0.8232,3.3097956730769227e-07,5.41,18000,,,,,,,,,,
41,0.8074,3.2628455528846156e-07,5.56,18500,,,,,,,,,,
42,0.8062,3.215895432692308e-07,5.71,19000,,,,,,,,,,
43,0.8121,3.1689453125e-07,5.86,19500,,,,,,,,,,
44,,,6.0,19968,0.7859634757041931,0.6392437815666199,180.1053,288.115,18.012,,,,,
45,0.8211,3.121995192307692e-07,6.01,20000,,,,,,,,,,
46,0.8071,3.0750450721153844e-07,6.16,20500,,,,,,,,,,
47,0.8107,3.028094951923077e-07,6.31,21000,,,,,,,,,,
48,0.795,2.981144831730769e-07,6.46,21500,,,,,,,,,,
49,0.799,2.9341947115384615e-07,6.61,22000,,,,,,,,,,
50,0.809,2.8872445913461533e-07,6.76,22500,,,,,,,,,,
