,loss,learning_rate,epoch,step,eval_loss,eval_accuracy,eval_runtime,eval_samples_per_second,train_runtime,train_samples_per_second,total_flos
0,1.415,4.784779614325068e-07,0.69,500,,,,,,,
1,,,1.0,726,1.3817356824874878,0.3207835257053375,19.8431,560.849,,,
2,1.3898,4.569559228650138e-07,1.38,1000,,,,,,,
3,,,2.0,1452,1.2816286087036133,0.48764488101005554,20.0793,554.253,,,
4,1.3448,4.354338842975206e-07,2.07,1500,,,,,,,
5,1.2256,4.139118457300275e-07,2.75,2000,,,,,,,
6,,,3.0,2178,1.0735870599746704,0.5732769966125488,20.1751,551.619,,,
7,1.1082,3.9238980716253437e-07,3.44,2500,,,,,,,
8,,,4.0,2904,0.9523510336875916,0.6172162890434265,20.1818,551.438,,,
9,1.035,3.708677685950413e-07,4.13,3000,,,,,,,
10,0.9807,3.4934573002754817e-07,4.82,3500,,,,,,,
11,,,5.0,3630,0.8828541040420532,0.6455206871032715,20.1475,552.378,,,
12,0.9169,3.2782369146005507e-07,5.51,4000,,,,,,,
13,,,6.0,4356,0.8376702666282654,0.6625033617019653,20.1815,551.445,,,
14,0.8999,3.0630165289256197e-07,6.2,4500,,,,,,,
15,0.8697,2.8477961432506887e-07,6.89,5000,,,,,,,
16,,,7.0,5082,0.8027815818786621,0.6824512481689453,20.1661,551.866,,,
17,0.8343,2.632575757575757e-07,7.58,5500,,,,,,,
18,,,8.0,5808,0.779854953289032,0.6953904032707214,20.1727,551.687,,,
19,0.8338,2.417355371900826e-07,8.26,6000,,,,,,,
20,0.8144,2.2021349862258954e-07,8.95,6500,,,,,,,
21,,,9.0,6534,0.7625364661216736,0.7013208866119385,20.1893,551.232,,,
22,0.7958,1.986914600550964e-07,9.64,7000,,,,,,,
23,,,10.0,7260,0.7499765753746033,0.7059933543205261,20.2136,550.571,,,
24,0.7866,1.771694214876033e-07,10.33,7500,,,,,,,
25,,,11.0,7986,0.7398920655250549,0.7115643620491028,20.1822,551.425,,,
26,0.7742,1.5564738292011019e-07,11.02,8000,,,,,,,
27,0.7602,1.3412534435261709e-07,11.71,8500,,,,,,,
28,,,12.0,8712,0.7331241965293884,0.7137209177017212,20.2081,550.719,,,
29,0.7552,1.1260330578512396e-07,12.4,9000,,,,,,,
30,,,13.0,9438,0.7284459471702576,0.7167760133743286,20.1842,551.372,,,
31,0.7547,9.108126721763084e-08,13.09,9500,,,,,,,
32,0.7451,6.955922865013773e-08,13.77,10000,,,,,,,
33,,,14.0,10164,0.7252122163772583,0.7181237936019897,20.1959,551.052,,,
34,0.7401,4.8037190082644624e-08,14.46,10500,,,,,,,
35,,,15.0,10890,0.7230942249298096,0.7192919254302979,20.1783,551.534,,,
36,0.7456,2.6515151515151513e-08,15.15,11000,,,,,,,
37,0.7497,4.993112947658402e-09,15.84,11500,,,,,,,
38,,,16.0,11616,0.7222335338592529,0.7199209332466125,20.2002,550.935,,,
39,,,16.0,11616,,,,,1444.6195,8.041,2627891761512624.0
