,loss,learning_rate,epoch,step,eval_loss,eval_accuracy,eval_runtime,eval_samples_per_second,train_runtime,train_samples_per_second,total_flos
0,1.388,4.784779614325068e-07,0.69,500,,,,,,,
1,,,1.0,726,1.3858630657196045,0.2952646315097809,19.7565,563.308,,,
2,1.3875,4.569559228650138e-07,1.38,1000,,,,,,,
3,,,2.0,1452,1.3848705291748047,0.3506155014038086,19.6277,567.005,,,
4,1.386,4.354338842975206e-07,2.07,1500,,,,,,,
5,1.384,4.139118457300275e-07,2.75,2000,,,,,,,
6,,,3.0,2178,1.3619370460510254,0.5107377171516418,19.7831,562.55,,,
7,1.3407,3.9238980716253437e-07,3.44,2500,,,,,,,
8,,,4.0,2904,0.9424343109130859,0.6401293873786926,19.7262,564.173,,,
9,1.1629,3.708677685950413e-07,4.13,3000,,,,,,,
10,1.0303,3.4934573002754817e-07,4.82,3500,,,,,,,
11,,,5.0,3630,0.8197182416915894,0.6806541681289673,19.784,562.524,,,
12,0.9551,3.2782369146005507e-07,5.51,4000,,,,,,,
13,,,6.0,4356,0.7642977237701416,0.7013208866119385,19.7345,563.937,,,
14,0.9086,3.0630165289256197e-07,6.2,4500,,,,,,,
15,0.8749,2.8477961432506887e-07,6.89,5000,,,,,,,
16,,,7.0,5082,0.7306388020515442,0.7153382897377014,19.7252,564.202,,,
17,0.8446,2.632575757575757e-07,7.58,5500,,,,,,,
18,,,8.0,5808,0.707105815410614,0.7250427007675171,19.7257,564.189,,,
19,0.8279,2.417355371900826e-07,8.26,6000,,,,,,,
20,0.8138,2.2021349862258954e-07,8.95,6500,,,,,,,
21,,,9.0,6534,0.6906970143318176,0.7314224243164062,19.7662,563.03,,,
22,0.7897,1.986914600550964e-07,9.64,7000,,,,,,,
23,,,10.0,7260,0.6798133850097656,0.7352861762046814,19.7524,563.424,,,
24,0.7776,1.771694214876033e-07,10.33,7500,,,,,,,
25,,,11.0,7986,0.6695207953453064,0.7389702796936035,19.7557,563.331,,,
26,0.7719,1.5564738292011019e-07,11.02,8000,,,,,,,
27,0.7515,1.3412534435261709e-07,11.71,8500,,,,,,,
28,,,12.0,8712,0.660038948059082,0.741306483745575,19.7482,563.546,,,
29,0.7655,1.1260330578512396e-07,12.4,9000,,,,,,,
30,,,13.0,9438,0.6574746966362,0.7431036233901978,19.7909,562.33,,,
31,0.7509,9.108126721763084e-08,13.09,9500,,,,,,,
32,0.7372,6.955922865013773e-08,13.77,10000,,,,,,,
33,,,14.0,10164,0.6520503163337708,0.7449007034301758,19.7678,562.987,,,
34,0.7463,4.8037190082644624e-08,14.46,10500,,,,,,,
35,,,15.0,10890,0.6499946117401123,0.7462485432624817,19.8516,560.609,,,
36,0.7384,2.6515151515151513e-08,15.15,11000,,,,,,,
37,0.7418,4.993112947658402e-09,15.84,11500,,,,,,,
38,,,16.0,11616,0.6485391855239868,0.7464282512664795,19.8362,561.044,,,
39,,,16.0,11616,,,,,1467.3883,7.916,3015703003163664.0
