,loss,learning_rate,epoch,step,eval_loss,eval_accuracy,eval_runtime,eval_samples_per_second,train_runtime,train_samples_per_second,total_flos
0,1.3926,4.784779614325068e-07,0.69,500,,,,,,,
1,,,1.0,726,1.3845263719558716,0.2985892593860626,55.5287,200.419,,,
2,1.3872,4.569559228650138e-07,1.38,1000,,,,,,,
3,,,2.0,1452,1.034158706665039,0.592146635055542,55.6918,199.832,,,
4,1.3097,4.354338842975206e-07,2.07,1500,,,,,,,
5,1.1063,4.139118457300275e-07,2.75,2000,,,,,,,
6,,,3.0,2178,0.8524073362350464,0.698715090751648,55.7431,199.648,,,
7,0.9618,3.9238980716253437e-07,3.44,2500,,,,,,,
8,,,4.0,2904,0.6831686496734619,0.7422949075698853,55.6954,199.819,,,
9,0.8555,3.708677685950413e-07,4.13,3000,,,,,,,
10,0.7742,3.4934573002754817e-07,4.82,3500,,,,,,,
11,,,5.0,3630,0.6275299787521362,0.7670051455497742,55.7699,199.552,,,
12,0.7276,3.2782369146005507e-07,5.51,4000,,,,,,,
13,,,6.0,4356,0.5886519551277161,0.7828196883201599,61.3492,181.404,,,
14,0.7022,3.0630165289256197e-07,6.2,4500,,,,,,,
15,0.6657,2.8477961432506887e-07,6.89,5000,,,,,,,
16,,,7.0,5082,0.5557310581207275,0.794141411781311,60.5481,183.804,,,
17,0.6349,2.632575757575757e-07,7.58,5500,,,,,,,
18,,,8.0,5808,0.5410283207893372,0.796657383441925,55.7558,199.602,,,
19,0.611,2.417355371900826e-07,8.26,6000,,,,,,,
20,0.6103,2.2021349862258954e-07,8.95,6500,,,,,,,
21,,,9.0,6534,0.5158717632293701,0.8031269907951355,55.7436,199.646,,,
22,0.5898,1.986914600550964e-07,9.64,7000,,,,,,,
23,,,10.0,7260,0.5084762573242188,0.8071704506874084,55.7463,199.637,,,
24,0.5812,1.771694214876033e-07,10.33,7500,,,,,,,
25,,,11.0,7986,0.5040537714958191,0.8095067143440247,55.8083,199.415,,,
26,0.5601,1.5564738292011019e-07,11.02,8000,,,,,,,
27,0.5472,1.3412534435261709e-07,11.71,8500,,,,,,,
28,,,12.0,8712,0.49766191840171814,0.8125617504119873,56.4641,197.099,,,
29,0.5414,1.1260330578512396e-07,12.4,9000,,,,,,,
30,,,13.0,9438,0.4996270537376404,0.8132806420326233,55.91,199.052,,,
31,0.5391,9.108126721763084e-08,13.09,9500,,,,,,,
32,0.5352,6.955922865013773e-08,13.77,10000,,,,,,,
33,,,14.0,10164,0.4956871271133423,0.8146284222602844,55.9187,199.021,,,
34,0.5212,4.8037190082644624e-08,14.46,10500,,,,,,,
35,,,15.0,10890,0.49201130867004395,0.8153473138809204,55.8747,199.178,,,
36,0.5296,2.6515151515151513e-08,15.15,11000,,,,,,,
37,0.5327,4.993112947658402e-09,15.84,11500,,,,,,,
38,,,16.0,11616,0.49149492383003235,0.815706729888916,55.8505,199.264,,,
39,,,16.0,11616,,,,,4202.0792,2.764,8597621188275216.0
