,loss,learning_rate,epoch,step,eval_loss,eval_accuracy,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
0,1.4884,4.941806331471136e-05,0.19,500,,,,,,,,,,
1,1.2901,4.8836126629422725e-05,0.37,1000,,,,,,,,,,
2,1.2064,4.825418994413408e-05,0.56,1500,,,,,,,,,,
3,1.1561,4.767225325884544e-05,0.74,2000,,,,,,,,,,
4,1.1282,4.7090316573556796e-05,0.93,2500,,,,,,,,,,
5,,,1.0,2685,1.1316879987716675,0.5463132262229919,52.8932,816.646,51.046,,,,,
6,0.9678,4.6508379888268164e-05,1.12,3000,,,,,,,,,,
7,0.9052,4.592644320297952e-05,1.3,3500,,,,,,,,,,
8,0.9079,4.534450651769088e-05,1.49,4000,,,,,,,,,,
9,0.9089,4.4762569832402234e-05,1.68,4500,,,,,,,,,,
10,0.9227,4.4180633147113596e-05,1.86,5000,,,,,,,,,,
11,,,2.0,5370,1.1405901908874512,0.5506193041801453,52.9359,815.987,51.005,,,,,
12,0.8529,4.359869646182496e-05,2.05,5500,,,,,,,,,,
13,0.6195,4.301675977653631e-05,2.23,6000,,,,,,,,,,
14,0.6728,4.243482309124767e-05,2.42,6500,,,,,,,,,,
15,0.6907,4.1852886405959035e-05,2.61,7000,,,,,,,,,,
16,0.6814,4.1270949720670396e-05,2.79,7500,,,,,,,,,,
17,0.7004,4.068901303538175e-05,2.98,8000,,,,,,,,,,
18,,,3.0,8055,1.3068410158157349,0.544461190700531,52.9346,816.007,51.006,,,,,
19,0.4484,4.010707635009311e-05,3.17,8500,,,,,,,,,,
20,0.4598,3.952513966480447e-05,3.35,9000,,,,,,,,,,
21,0.4743,3.894320297951583e-05,3.54,9500,,,,,,,,,,
22,0.5192,3.836126629422719e-05,3.72,10000,,,,,,,,,,
23,0.5294,3.777932960893855e-05,3.91,10500,,,,,,,,,,
24,,,4.0,10740,1.7790112495422363,0.521865963935852,52.9117,816.36,51.028,,,,,
25,0.4045,3.719739292364991e-05,4.1,11000,,,,,,,,,,
26,0.3364,3.6615456238361267e-05,4.28,11500,,,,,,,,,,
27,0.3682,3.603351955307263e-05,4.47,12000,,,,,,,,,,
28,0.376,3.545158286778399e-05,4.66,12500,,,,,,,,,,
29,0.3892,3.4869646182495344e-05,4.84,13000,,,,,,,,,,
30,,,5.0,13425,2.125903844833374,0.5285565257072449,53.1798,812.244,50.771,,,,,
31,0.3648,3.4287709497206705e-05,5.03,13500,,,,,,,,,,
32,0.2526,3.370577281191806e-05,5.21,14000,,,,,,,,,,
33,0.2732,3.312383612662943e-05,5.4,14500,,,,,,,,,,
34,0.2923,3.254189944134078e-05,5.59,15000,,,,,,,,,,
35,0.3044,3.1959962756052144e-05,5.77,15500,,,,,,,,,,
36,0.3306,3.13780260707635e-05,5.96,16000,,,,,,,,,,
37,,,6.0,16110,2.3883132934570312,0.5242736339569092,52.8376,817.505,51.1,,,,,
38,0.2247,3.079608938547486e-05,6.15,16500,,,,,,,,,,
39,0.2253,3.021415270018622e-05,6.33,17000,,,,,,,,,,
40,0.2386,2.963221601489758e-05,6.52,17500,,,,,,,,,,
41,0.2571,2.9050279329608944e-05,6.7,18000,,,,,,,,,,
42,0.2542,2.8468342644320302e-05,6.89,18500,,,,,,,,,,
43,,,7.0,18795,3.2821879386901855,0.5220974683761597,53.0303,814.535,50.914,,,,,
44,0.2186,2.788640595903166e-05,7.08,19000,,,,,,,,,,
45,0.1754,2.7304469273743018e-05,7.26,19500,,,,,,,,,,
46,0.1993,2.672253258845438e-05,7.45,20000,,,,,,,,,,
47,0.2064,2.6140595903165737e-05,7.64,20500,,,,,,,,,,
48,0.2161,2.5558659217877095e-05,7.82,21000,,,,,,,,,,
49,,,8.0,21480,3.1369385719299316,0.5189257860183716,52.9844,815.24,50.958,,,,,
50,0.2209,2.4976722532588457e-05,8.01,21500,,,,,,,,,,
51,0.1496,2.4394785847299815e-05,8.19,22000,,,,,,,,,,
52,0.162,2.3812849162011176e-05,8.38,22500,,,,,,,,,,
53,0.1777,2.3230912476722534e-05,8.57,23000,,,,,,,,,,
54,0.181,2.2648975791433892e-05,8.75,23500,,,,,,,,,,
55,0.1744,2.206703910614525e-05,8.94,24000,,,,,,,,,,
56,,,9.0,24165,3.890986442565918,0.5214723944664001,53.0179,814.725,50.926,,,,,
57,0.1507,2.148510242085661e-05,9.12,24500,,,,,,,,,,
58,0.1298,2.090316573556797e-05,9.31,25000,,,,,,,,,,
59,0.1386,2.032122905027933e-05,9.5,25500,,,,,,,,,,
60,0.1407,1.9739292364990692e-05,9.68,26000,,,,,,,,,,
61,0.1519,1.915735567970205e-05,9.87,26500,,,,,,,,,,
62,,,10.0,26850,4.028154373168945,0.5187637209892273,52.9568,815.665,50.985,,,,,
63,0.1488,1.857541899441341e-05,10.06,27000,,,,,,,,,,
64,0.1107,1.799348230912477e-05,10.24,27500,,,,,,,,,,
65,0.1075,1.7411545623836127e-05,10.43,28000,,,,,,,,,,
66,0.1192,1.6829608938547485e-05,10.61,28500,,,,,,,,,,
67,0.1282,1.6247672253258847e-05,10.8,29000,,,,,,,,,,
68,0.1328,1.5665735567970205e-05,10.99,29500,,,,,,,,,,
69,,,11.0,29535,4.922138690948486,0.5178377032279968,53.0451,814.307,50.9,,,,,
70,0.0934,1.5083798882681566e-05,11.17,30000,,,,,,,,,,
71,0.0901,1.4501862197392924e-05,11.36,30500,,,,,,,,,,
72,0.1067,1.3919925512104284e-05,11.55,31000,,,,,,,,,,
73,0.1002,1.3337988826815642e-05,11.73,31500,,,,,,,,,,
74,0.1049,1.2756052141527003e-05,11.92,32000,,,,,,,,,,
75,,,12.0,32220,4.963122367858887,0.5162866115570068,53.0863,813.674,50.861,,,,,
76,0.0922,1.2174115456238363e-05,12.1,32500,,,,,,,,,,
77,0.0785,1.1592178770949721e-05,12.29,33000,,,,,,,,,,
78,0.0743,1.101024208566108e-05,12.48,33500,,,,,,,,,,
79,0.0853,1.042830540037244e-05,12.66,34000,,,,,,,,,,
80,0.085,9.8463687150838e-06,12.85,34500,,,,,,,,,,
81,,,13.0,34905,5.3210062980651855,0.5189489722251892,53.018,814.723,50.926,,,,,
82,0.0892,9.264432029795158e-06,13.04,35000,,,,,,,,,,
83,0.0729,8.682495344506518e-06,13.22,35500,,,,,,,,,,
84,0.0677,8.100558659217877e-06,13.41,36000,,,,,,,,,,
85,0.0696,7.518621973929237e-06,13.59,36500,,,,,,,,,,
86,0.0734,6.936685288640596e-06,13.78,37000,,,,,,,,,,
87,0.0655,6.3547486033519555e-06,13.97,37500,,,,,,,,,,
88,,,14.0,37590,5.442592620849609,0.5214723944664001,53.1252,813.079,50.823,,,,,
89,0.0543,5.772811918063315e-06,14.15,38000,,,,,,,,,,
90,0.0551,5.190875232774675e-06,14.34,38500,,,,,,,,,,
91,0.0622,4.608938547486034e-06,14.53,39000,,,,,,,,,,
92,0.0566,4.027001862197393e-06,14.71,39500,,,,,,,,,,
93,0.0642,3.445065176908752e-06,14.9,40000,,,,,,,,,,
94,,,15.0,40275,5.7813615798950195,0.519365668296814,53.2164,811.686,50.736,,,,,
95,0.0581,2.863128491620112e-06,15.08,40500,,,,,,,,,,
96,0.0457,2.281191806331471e-06,15.27,41000,,,,,,,,,,
97,0.0533,1.6992551210428306e-06,15.46,41500,,,,,,,,,,
98,0.0516,1.11731843575419e-06,15.64,42000,,,,,,,,,,
99,0.0534,5.353817504655494e-07,15.83,42500,,,,,,,,,,
100,,,16.0,42960,5.8657684326171875,0.5192036032676697,53.1597,812.551,50.79,,,,,
101,,,16.0,42960,,,,,,4068.4828,168.924,10.559,5.089603334750545e+16,0.3248373530208509
