,loss,learning_rate,epoch,step,eval_loss,eval_accuracy,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
0,1.306,4.784779614325069e-05,0.69,500,,,,,,,,,,
1,,,1.0,726,0.9377918839454651,0.6350975036621094,21.1426,526.379,32.919,,,,,
2,0.9098,4.569559228650138e-05,1.38,1000,,,,,,,,,,
3,,,2.0,1452,0.8848196864128113,0.6625033617019653,21.076,528.04,33.023,,,,,
4,0.7363,4.354338842975207e-05,2.07,1500,,,,,,,,,,
5,0.4332,4.139118457300275e-05,2.75,2000,,,,,,,,,,
6,,,3.0,2178,1.038108468055725,0.6641207933425903,21.1176,527.002,32.958,,,,,
7,0.3008,3.9238980716253446e-05,3.44,2500,,,,,,,,,,
8,,,4.0,2904,1.399971842765808,0.6572917699813843,21.0568,528.522,33.053,,,,,
9,0.2398,3.708677685950414e-05,4.13,3000,,,,,,,,,,
10,0.1432,3.4934573002754824e-05,4.82,3500,,,,,,,,,,
11,,,5.0,3630,2.1344265937805176,0.6600772738456726,21.5001,517.625,32.372,,,,,
12,0.1103,3.278236914600551e-05,5.51,4000,,,,,,,,,,
13,,,6.0,4356,2.4716765880584717,0.659717857837677,21.2258,524.314,32.79,,,,,
14,0.0975,3.06301652892562e-05,6.2,4500,,,,,,,,,,
15,0.0913,2.847796143250689e-05,6.89,5000,,,,,,,,,,
16,,,7.0,5082,3.186204433441162,0.6647497415542603,21.3095,522.255,32.661,,,,,
17,0.0641,2.6325757575757575e-05,7.58,5500,,,,,,,,,,
18,,,8.0,5808,3.4513297080993652,0.6618743538856506,21.0603,528.435,33.048,,,,,
19,0.0528,2.4173553719008264e-05,8.26,6000,,,,,,,,,,
20,0.0447,2.2021349862258957e-05,8.95,6500,,,,,,,,,,
21,,,9.0,6534,3.69411039352417,0.6678048372268677,21.1091,527.214,32.972,,,,,
22,0.0291,1.9869146005509643e-05,9.64,7000,,,,,,,,,,
23,,,10.0,7260,3.897564172744751,0.6705005168914795,21.213,524.631,32.81,,,,,
24,0.0321,1.7716942148760332e-05,10.33,7500,,,,,,,,,,
25,,,11.0,7986,4.438230514526367,0.6707700490951538,21.1354,526.557,32.93,,,,,
26,0.0225,1.5564738292011018e-05,11.02,8000,,,,,,,,,,
27,0.0265,1.3412534435261709e-05,11.71,8500,,,,,,,,,,
28,,,12.0,8712,4.483102321624756,0.669691801071167,21.1666,525.781,32.882,,,,,
29,0.0164,1.1260330578512397e-05,12.4,9000,,,,,,,,,,
30,,,13.0,9438,4.8217244148254395,0.67310631275177,21.0879,527.743,33.005,,,,,
31,0.0119,9.108126721763086e-06,13.09,9500,,,,,,,,,,
32,0.0096,6.955922865013774e-06,13.77,10000,,,,,,,,,,
33,,,14.0,10164,4.936387538909912,0.6775990724563599,21.1456,526.303,32.915,,,,,
34,0.0073,4.803719008264463e-06,14.46,10500,,,,,,,,,,
35,,,15.0,10890,4.91818380355835,0.6807439923286438,21.5483,516.467,32.299,,,,,
36,0.0097,2.651515151515152e-06,15.15,11000,,,,,,,,,,
37,0.0059,4.993112947658403e-07,15.84,11500,,,,,,,,,,
38,,,16.0,11616,5.00541353225708,0.679665744304657,21.4098,519.809,32.508,,,,,
39,,,16.0,11616,,,,,,1451.1694,128.007,8.005,9630854940072600.0,0.20235659176940432
