,loss,learning_rate,epoch,step,eval_loss,eval_accuracy,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
0,1.1793,4.784779614325069e-05,0.69,500,,,,,,,,,,
1,,,1.0,726,0.9043100476264954,0.6516308784484863,21.0033,529.87,33.138,,,,,
2,0.8796,4.569559228650138e-05,1.38,1000,,,,,,,,,,
3,,,2.0,1452,0.8722167611122131,0.6747236847877502,20.9985,529.989,33.145,,,,,
4,0.6996,4.354338842975207e-05,2.07,1500,,,,,,,,,,
5,0.3982,4.139118457300275e-05,2.75,2000,,,,,,,,,,
6,,,3.0,2178,1.007010579109192,0.6749932765960693,21.0909,527.669,33.0,,,,,
7,0.2761,3.9238980716253446e-05,3.44,2500,,,,,,,,,,
8,,,4.0,2904,1.5576499700546265,0.6693323850631714,21.1486,526.228,32.91,,,,,
9,0.2178,3.708677685950414e-05,4.13,3000,,,,,,,,,,
10,0.1506,3.4934573002754824e-05,4.82,3500,,,,,,,,,,
11,,,5.0,3630,2.008519411087036,0.6661874651908875,20.9011,532.461,33.3,,,,,
12,0.1178,3.278236914600551e-05,5.51,4000,,,,,,,,,,
13,,,6.0,4356,2.533673048019409,0.6623236536979675,21.4144,519.697,32.502,,,,,
14,0.1054,3.06301652892562e-05,6.2,4500,,,,,,,,,,
15,0.0808,2.847796143250689e-05,6.89,5000,,,,,,,,,,
16,,,7.0,5082,2.910457134246826,0.6719381809234619,21.188,525.25,32.849,,,,,
17,0.0483,2.6325757575757575e-05,7.58,5500,,,,,,,,,,
18,,,8.0,5808,3.452510118484497,0.6678048372268677,21.1792,525.467,32.862,,,,,
19,0.0573,2.4173553719008264e-05,8.26,6000,,,,,,,,,,
20,0.0481,2.2021349862258957e-05,8.95,6500,,,,,,,,,,
21,,,9.0,6534,3.396987199783325,0.6785874962806702,20.9021,532.435,33.298,,,,,
22,0.0262,1.9869146005509643e-05,9.64,7000,,,,,,,,,,
23,,,10.0,7260,4.0839433670043945,0.6763411164283752,21.2507,523.699,32.752,,,,,
24,0.0255,1.7716942148760332e-05,10.33,7500,,,,,,,,,,
25,,,11.0,7986,4.213866233825684,0.6756222248077393,21.6341,514.419,32.171,,,,,
26,0.0311,1.5564738292011018e-05,11.02,8000,,,,,,,,,,
27,0.0153,1.3412534435261709e-05,11.71,8500,,,,,,,,,,
28,,,12.0,8712,4.61454439163208,0.6785874962806702,21.6287,514.547,32.179,,,,,
29,0.019,1.1260330578512397e-05,12.4,9000,,,,,,,,,,
30,,,13.0,9438,4.431382656097412,0.6859555840492249,21.4822,518.057,32.399,,,,,
31,0.0116,9.108126721763086e-06,13.09,9500,,,,,,,,,,
32,0.0076,6.955922865013774e-06,13.77,10000,,,,,,,,,,
33,,,14.0,10164,4.772355079650879,0.6835294961929321,21.7638,511.354,31.98,,,,,
34,0.0098,4.803719008264463e-06,14.46,10500,,,,,,,,,,
35,,,15.0,10890,4.846595764160156,0.6866744756698608,21.3701,520.774,32.569,,,,,
36,0.0082,2.651515151515152e-06,15.15,11000,,,,,,,,,,
37,0.006,4.993112947658403e-07,15.84,11500,,,,,,,,,,
38,,,16.0,11616,4.852841854095459,0.6867642998695374,21.1899,525.202,32.846,,,,,
39,,,16.0,11616,,,,,,1442.8688,128.744,8.051,9586541245901880.0,0.1903984842221599
