,loss,learning_rate,epoch,step,eval_loss,eval_accuracy,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
0,1.3242,4.8117469879518074e-05,0.6,500,,,,,,,,,,
1,,,1.0,830,1.1829347610473633,0.5095488429069519,52.065,996.658,15.577,,,,,
2,1.1214,4.6234939759036145e-05,1.2,1000,,,,,,,,,,
3,1.0045,4.435240963855422e-05,1.81,1500,,,,,,,,,,
4,,,2.0,1660,1.226766586303711,0.5165828466415405,52.1712,994.629,15.545,,,,,
5,0.8647,4.2469879518072294e-05,2.41,2000,,,,,,,,,,
6,,,3.0,2490,1.3218903541564941,0.5128635168075562,52.1467,995.097,15.552,,,,,
7,0.8274,4.0587349397590365e-05,3.01,2500,,,,,,,,,,
8,0.6407,3.8704819277108436e-05,3.61,3000,,,,,,,,,,
9,,,4.0,3320,1.7087618112564087,0.5001637935638428,52.319,991.819,15.501,,,,,
10,0.6263,3.6822289156626514e-05,4.22,3500,,,,,,,,,,
11,0.5606,3.4939759036144585e-05,4.82,4000,,,,,,,,,,
12,,,5.0,4150,1.9996033906936646,0.4952881932258606,52.1624,994.797,15.548,,,,,
13,0.4939,3.305722891566265e-05,5.42,4500,,,,,,,,,,
14,,,6.0,4980,2.111802339553833,0.4922626316547394,52.1863,994.342,15.54,,,,,
15,0.4854,3.117469879518072e-05,6.02,5000,,,,,,,,,,
16,0.4131,2.9292168674698795e-05,6.63,5500,,,,,,,,,,
17,,,7.0,5810,2.315802812576294,0.4921855330467224,52.2612,992.917,15.518,,,,,
18,0.4086,2.7409638554216873e-05,7.23,6000,,,,,,,,,,
19,0.3954,2.552710843373494e-05,7.83,6500,,,,,,,,,,
20,,,8.0,6640,2.566270589828491,0.48757973313331604,52.1293,995.429,15.557,,,,,
21,0.3559,2.364457831325301e-05,8.43,7000,,,,,,,,,,
22,,,9.0,7470,2.8712098598480225,0.49287930130958557,52.1408,995.209,15.554,,,,,
23,0.3593,2.1762048192771086e-05,9.04,7500,,,,,,,,,,
24,0.3212,1.9879518072289157e-05,9.64,8000,,,,,,,,,,
25,,,10.0,8300,3.0915284156799316,0.4914725124835968,52.5671,987.139,15.428,,,,,
26,0.313,1.7996987951807228e-05,10.24,8500,,,,,,,,,,
27,0.3093,1.6114457831325303e-05,10.84,9000,,,,,,,,,,
28,,,11.0,9130,3.429847478866577,0.48890945315361023,52.3819,990.629,15.482,,,,,
29,0.2871,1.4231927710843374e-05,11.45,9500,,,,,,,,,,
30,,,12.0,9960,3.7526590824127197,0.49220481514930725,52.2251,993.602,15.529,,,,,
31,0.2931,1.2349397590361447e-05,12.05,10000,,,,,,,,,,
32,0.2643,1.0466867469879518e-05,12.65,10500,,,,,,,,,,
33,,,13.0,10790,3.806525945663452,0.4909714460372925,52.1392,995.239,15.555,,,,,
34,0.2658,8.58433734939759e-06,13.25,11000,,,,,,,,,,
35,0.2557,6.701807228915663e-06,13.86,11500,,,,,,,,,,
36,,,14.0,11620,4.024477005004883,0.4917037785053253,52.2798,992.564,15.513,,,,,
37,0.2416,4.819277108433735e-06,14.46,12000,,,,,,,,,,
38,,,15.0,12450,4.162580966949463,0.49216628074645996,52.248,993.167,15.522,,,,,
39,0.2404,2.9367469879518076e-06,15.06,12500,,,,,,,,,,
40,0.2273,1.0542168674698796e-06,15.66,13000,,,,,,,,,,
41,,,16.0,13280,4.189386367797852,0.4923204481601715,52.5161,988.097,15.443,,,,,
42,,,16.0,13280,,,,,,2915.0842,291.548,4.556,6.875226965516538e+16,0.4905925744987396
