,loss,learning_rate,epoch,step,eval_loss,eval_accuracy,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
0,1.4086,4.8121995192307695e-05,0.6,500,,,,,,,,,,
1,,,1.0,832,1.1850494146347046,0.5102040767669678,52.2335,993.444,15.526,,,,,
2,1.1777,4.624399038461539e-05,1.2,1000,,,,,,,,,,
3,1.067,4.436598557692308e-05,1.8,1500,,,,,,,,,,
4,,,2.0,1664,1.1803103685379028,0.5146557092666626,52.2024,994.035,15.536,,,,,
5,0.9166,4.248798076923077e-05,2.4,2000,,,,,,,,,,
6,,,3.0,2496,1.2898986339569092,0.5119192004203796,52.2041,994.003,15.535,,,,,
7,0.8642,4.0609975961538463e-05,3.0,2500,,,,,,,,,,
8,0.6745,3.8731971153846156e-05,3.61,3000,,,,,,,,,,
9,,,4.0,3328,1.4664493799209595,0.5085275173187256,52.1748,994.56,15.544,,,,,
10,0.6568,3.685396634615385e-05,4.21,3500,,,,,,,,,,
11,0.5755,3.497596153846154e-05,4.81,4000,,,,,,,,,,
12,,,5.0,4160,1.6717593669891357,0.5028232336044312,52.2619,992.903,15.518,,,,,
13,0.5074,3.309795673076923e-05,5.41,4500,,,,,,,,,,
14,,,6.0,4992,2.0053646564483643,0.5004143118858337,52.1268,995.476,15.558,,,,,
15,0.4998,3.1219951923076924e-05,6.01,5000,,,,,,,,,,
16,0.4205,2.9341947115384617e-05,6.61,5500,,,,,,,,,,
17,,,7.0,5824,2.1330149173736572,0.4975043833255768,52.2577,992.982,15.519,,,,,
18,0.4197,2.746394230769231e-05,7.21,6000,,,,,,,,,,
19,0.3936,2.55859375e-05,7.81,6500,,,,,,,,,,
20,,,8.0,6656,2.2818822860717773,0.49744656682014465,52.3413,991.397,15.494,,,,,
21,0.3656,2.3707932692307693e-05,8.41,7000,,,,,,,,,,
22,,,9.0,7488,2.5796985626220703,0.493862122297287,52.1561,994.918,15.549,,,,,
23,0.3678,2.1829927884615385e-05,9.01,7500,,,,,,,,,,
24,0.3233,1.9951923076923078e-05,9.62,8000,,,,,,,,,,
25,,,10.0,8320,2.7526912689208984,0.49544236063957214,52.6689,985.23,15.398,,,,,
26,0.3198,1.807391826923077e-05,10.22,8500,,,,,,,,,,
27,0.3098,1.6195913461538462e-05,10.82,9000,,,,,,,,,,
28,,,11.0,9152,2.942331552505493,0.4929371178150177,52.2564,993.007,15.52,,,,,
29,0.2851,1.4317908653846154e-05,11.42,9500,,,,,,,,,,
30,,,12.0,9984,3.1933162212371826,0.49237826466560364,52.0485,996.974,15.582,,,,,
31,0.2973,1.2439903846153846e-05,12.02,10000,,,,,,,,,,
32,0.2676,1.056189903846154e-05,12.62,10500,,,,,,,,,,
33,,,13.0,10816,3.250948905944824,0.4939199388027191,52.1327,995.364,15.556,,,,,
34,0.27,8.683894230769231e-06,13.22,11000,,,,,,,,,,
35,0.2584,6.805889423076924e-06,13.82,11500,,,,,,,,,,
36,,,14.0,11648,3.305903911590576,0.4933032691478729,52.2564,993.008,15.52,,,,,
37,0.249,4.927884615384615e-06,14.42,12000,,,,,,,,,,
38,,,15.0,12480,3.5234320163726807,0.4948449730873108,52.4437,989.462,15.464,,,,,
39,0.2502,3.049879807692308e-06,15.02,12500,,,,,,,,,,
40,0.2321,1.1718750000000001e-06,15.62,13000,,,,,,,,,,
41,,,16.0,13312,3.5855844020843506,0.49469080567359924,52.3174,991.851,15.502,,,,,
42,,,16.0,13312,,,,,,3146.4,270.704,4.231,7.91515636630493e+16,0.5080263855365607
