,loss,learning_rate,epoch,step,eval_loss,eval_accuracy,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
0,1.611,4.784779614325068e-07,0.69,500,,,,,,,,,,
1,,,1.0,726,1.6081812381744385,0.23649923503398895,21.3208,521.978,32.644,,,,,
2,1.6092,4.569559228650138e-07,1.38,1000,,,,,,,,,,
3,,,2.0,1452,1.6037534475326538,0.29005300998687744,21.344,521.411,32.609,,,,,
4,1.608,4.354338842975206e-07,2.07,1500,,,,,,,,,,
5,1.5991,4.139118457300275e-07,2.75,2000,,,,,,,,,,
6,,,3.0,2178,1.574235200881958,0.36616048216819763,21.2885,522.77,32.694,,,,,
7,1.5722,3.9238980716253437e-07,3.44,2500,,,,,,,,,,
8,,,4.0,2904,1.4927799701690674,0.40093448758125305,20.8842,532.891,33.327,,,,,
9,1.5242,3.708677685950413e-07,4.13,3000,,,,,,,,,,
10,1.4741,3.4934573002754817e-07,4.82,3500,,,,,,,,,,
11,,,5.0,3630,1.4212151765823364,0.4189055562019348,21.3307,521.736,32.629,,,,,
12,1.4321,3.2782369146005507e-07,5.51,4000,,,,,,,,,,
13,,,6.0,4356,1.369152545928955,0.4372360408306122,21.313,522.171,32.656,,,,,
14,1.4019,3.0630165289256197e-07,6.2,4500,,,,,,,,,,
15,1.3669,2.8477961432506887e-07,6.89,5000,,,,,,,,,,
16,,,7.0,5082,1.3268457651138306,0.45520710945129395,21.0598,528.447,33.049,,,,,
17,1.348,2.632575757575757e-07,7.58,5500,,,,,,,,,,
18,,,8.0,5808,1.2954683303833008,0.470752090215683,21.0346,529.08,33.088,,,,,
19,1.3333,2.417355371900826e-07,8.26,6000,,,,,,,,,,
20,1.312,2.2021349862258954e-07,8.95,6500,,,,,,,,,,
21,,,9.0,6534,1.271285057067871,0.4817144274711609,21.3454,521.376,32.606,,,,,
22,1.2998,1.986914600550964e-07,9.64,7000,,,,,,,,,,
23,,,10.0,7260,1.2520740032196045,0.48881301283836365,21.2867,522.816,32.697,,,,,
24,1.2887,1.771694214876033e-07,10.33,7500,,,,,,,,,,
25,,,11.0,7986,1.2382969856262207,0.4965405762195587,21.3154,522.111,32.652,,,,,
26,1.2853,1.5564738292011019e-07,11.02,8000,,,,,,,,,,
27,1.274,1.3412534435261709e-07,11.71,8500,,,,,,,,,,
28,,,12.0,8712,1.2269929647445679,0.5013927817344666,21.3572,521.088,32.588,,,,,
29,1.2657,1.1260330578512396e-07,12.4,9000,,,,,,,,,,
30,,,13.0,9438,1.2198021411895752,0.5060652494430542,21.4694,518.365,32.418,,,,,
31,1.2617,9.108126721763084e-08,13.09,9500,,,,,,,,,,
32,1.2489,6.955922865013773e-08,13.77,10000,,,,,,,,,,
33,,,14.0,10164,1.2147433757781982,0.5069637894630432,21.4888,517.899,32.389,,,,,
34,1.2549,4.8037190082644624e-08,14.46,10500,,,,,,,,,,
35,,,15.0,10890,1.2105863094329834,0.510288417339325,21.3029,522.418,32.672,,,,,
36,1.2421,2.6515151515151513e-08,15.15,11000,,,,,,,,,,
37,1.2533,4.993112947658402e-09,15.84,11500,,,,,,,,,,
38,,,16.0,11616,1.2095577716827393,0.5109174251556396,21.2325,524.15,32.78,,,,,
39,,,16.0,11616,,,,,,1472.5502,126.149,7.888,9630854940072600.0,1.3840167502726406
