,loss,learning_rate,epoch,step,eval_loss,eval_accuracy,eval_runtime,eval_samples_per_second,train_runtime,train_samples_per_second,total_flos
0,0.6843,3.827823691460055e-06,0.69,500,,,,,,,
1,,,1.0,726,0.5506649017333984,0.713900625705719,22.9069,485.836,,,
2,0.566,3.6556473829201102e-06,1.38,1000,,,,,,,
3,,,2.0,1452,0.487819105386734,0.7549645304679871,23.3861,475.882,,,
4,0.4988,3.483471074380165e-06,2.07,1500,,,,,,,
5,0.4433,3.31129476584022e-06,2.75,2000,,,,,,,
6,,,3.0,2178,0.44672518968582153,0.787132740020752,22.94,485.134,,,
7,0.4034,3.139118457300275e-06,3.44,2500,,,,,,,
8,,,4.0,2904,0.44153323769569397,0.7891095280647278,23.0399,483.031,,,
9,0.3963,2.9669421487603306e-06,4.13,3000,,,,,,,
10,0.357,2.7947658402203853e-06,4.82,3500,,,,,,,
11,,,5.0,3630,0.44283655285835266,0.79890376329422,23.3419,476.782,,,
12,0.3279,2.6225895316804405e-06,5.51,4000,,,,,,,
13,,,6.0,4356,0.47232088446617126,0.8019588589668274,23.5264,473.043,,,
14,0.31,2.4504132231404957e-06,6.2,4500,,,,,,,
15,0.2949,2.278236914600551e-06,6.89,5000,,,,,,,
16,,,7.0,5082,0.4899974465370178,0.8022283911705017,23.1235,481.286,,,
17,0.2572,2.1060606060606057e-06,7.58,5500,,,,,,,
18,,,8.0,5808,0.5218456983566284,0.8019588589668274,23.4094,475.407,,,
19,0.2566,1.933884297520661e-06,8.26,6000,,,,,,,
20,0.2383,1.7617079889807163e-06,8.95,6500,,,,,,,
21,,,9.0,6534,0.5511695742607117,0.8025878071784973,23.2585,478.491,,,
22,0.2239,1.5895316804407713e-06,9.64,7000,,,,,,,
23,,,10.0,7260,0.5730277299880981,0.8040255308151245,23.6816,469.943,,,
24,0.2066,1.4173553719008265e-06,10.33,7500,,,,,,,
25,,,11.0,7986,0.5865839719772339,0.8013298511505127,23.8082,467.443,,,
26,0.2025,1.2451790633608815e-06,11.02,8000,,,,,,,
27,0.1816,1.0730027548209367e-06,11.71,8500,,,,,,,
28,,,12.0,8712,0.6203988790512085,0.8029472827911377,23.4599,474.383,,,
29,0.1771,9.008264462809917e-07,12.4,9000,,,,,,,
30,,,13.0,9438,0.6485311985015869,0.8030371069908142,23.7513,468.563,,,
31,0.1684,7.286501377410468e-07,13.09,9500,,,,,,,
32,0.1574,5.564738292011018e-07,13.77,10000,,,,,,,
33,,,14.0,10164,0.6645879745483398,0.8034864068031311,23.8459,466.705,,,
34,0.1524,3.84297520661157e-07,14.46,10500,,,,,,,
35,,,15.0,10890,0.6696199774742126,0.801419734954834,25.5794,435.077,,,
36,0.1463,2.121212121212121e-07,15.15,11000,,,,,,,
37,0.1513,3.994490358126722e-08,15.84,11500,,,,,,,
38,,,16.0,11616,0.6707716584205627,0.8010603189468384,23.3332,476.959,,,
39,,,16.0,11616,,,,,2009.9745,5.779,116150086316064.0
