,loss,learning_rate,epoch,step,eval_loss,eval_accuracy,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
0,0.6939,4.9530498798076925e-06,0.15,500,,,,,,,,,,
1,0.6933,4.906099759615385e-06,0.3,1000,,,,,,,,,,
2,0.6652,4.859149639423078e-06,0.45,1500,,,,,,,,,,
3,0.6184,4.81219951923077e-06,0.6,2000,,,,,,,,,,
4,0.603,4.765249399038462e-06,0.75,2500,,,,,,,,,,
5,0.6023,4.718299278846154e-06,0.9,3000,,,,,,,,,,
6,,,1.0,3328,0.5822600722312927,0.6756855845451355,54.2238,956.978,59.826,,,,,
7,0.5881,4.671349158653847e-06,1.05,3500,,,,,,,,,,
8,0.5739,4.624399038461539e-06,1.2,4000,,,,,,,,,,
9,0.5712,4.577448918269231e-06,1.35,4500,,,,,,,,,,
10,0.5665,4.5304987980769235e-06,1.5,5000,,,,,,,,,,
11,0.55,4.483548677884616e-06,1.65,5500,,,,,,,,,,
12,0.5514,4.436598557692309e-06,1.8,6000,,,,,,,,,,
13,0.5572,4.389648437500001e-06,1.95,6500,,,,,,,,,,
14,,,2.0,6656,0.5698210000991821,0.6929525136947632,55.2509,939.189,58.714,,,,,
15,0.5354,4.342698317307693e-06,2.1,7000,,,,,,,,,,
16,0.5255,4.295748197115385e-06,2.25,7500,,,,,,,,,,
17,0.5181,4.248798076923077e-06,2.4,8000,,,,,,,,,,
18,0.5116,4.201847956730769e-06,2.55,8500,,,,,,,,,,
19,0.5315,4.154897836538461e-06,2.7,9000,,,,,,,,,,
20,0.509,4.107947716346154e-06,2.85,9500,,,,,,,,,,
21,,,3.0,9984,0.5645617246627808,0.6996974349021912,54.49,952.303,59.534,,,,,
22,0.5265,4.0609975961538465e-06,3.0,10000,,,,,,,,,,
23,0.4836,4.014047475961539e-06,3.16,10500,,,,,,,,,,
24,0.4913,3.967097355769231e-06,3.31,11000,,,,,,,,,,
25,0.492,3.920147235576923e-06,3.46,11500,,,,,,,,,,
26,0.4887,3.873197115384616e-06,3.61,12000,,,,,,,,,,
27,0.4828,3.826246995192308e-06,3.76,12500,,,,,,,,,,
28,0.4924,3.779296875e-06,3.91,13000,,,,,,,,,,
29,,,4.0,13312,0.5753374099731445,0.7028964757919312,54.9251,944.759,59.062,,,,,
30,0.4746,3.7323467548076923e-06,4.06,13500,,,,,,,,,,
31,0.4632,3.685396634615385e-06,4.21,14000,,,,,,,,,,
32,0.4553,3.6384465144230774e-06,4.36,14500,,,,,,,,,,
33,0.446,3.5914963942307696e-06,4.51,15000,,,,,,,,,,
34,0.4736,3.5445462740384617e-06,4.66,15500,,,,,,,,,,
35,0.4622,3.497596153846154e-06,4.81,16000,,,,,,,,,,
36,0.4623,3.450646033653847e-06,4.96,16500,,,,,,,,,,
37,,,5.0,16640,0.5953400135040283,0.7039756178855896,54.2587,956.363,59.788,,,,,
38,0.4384,3.403695913461539e-06,5.11,17000,,,,,,,,,,
39,0.4325,3.356745793269231e-06,5.26,17500,,,,,,,,,,
40,0.4324,3.3097956730769232e-06,5.41,18000,,,,,,,,,,
41,0.4401,3.2628455528846158e-06,5.56,18500,,,,,,,,,,
42,0.4351,3.215895432692308e-06,5.71,19000,,,,,,,,,,
43,0.4309,3.1689453125e-06,5.86,19500,,,,,,,,,,
44,,,6.0,19968,0.634839653968811,0.7011042237281799,53.9324,962.149,60.149,,,,,
45,0.4337,3.1219951923076926e-06,6.01,20000,,,,,,,,,,
46,0.4041,3.0750450721153847e-06,6.16,20500,,,,,,,,,,
47,0.4122,3.0280949519230773e-06,6.31,21000,,,,,,,,,,
48,0.4056,2.9811448317307694e-06,6.46,21500,,,,,,,,,,
49,0.4236,2.9341947115384616e-06,6.61,22000,,,,,,,,,,
50,0.3998,2.8872445913461537e-06,6.76,22500,,,,,,,,,,
51,0.4176,2.8402944711538467e-06,6.91,23000,,,,,,,,,,
52,,,7.0,23296,0.6702052354812622,0.7001984715461731,54.3756,954.307,59.659,,,,,
53,0.3861,2.793344350961539e-06,7.06,23500,,,,,,,,,,
54,0.3621,2.746394230769231e-06,7.21,24000,,,,,,,,,,
55,0.3804,2.699444110576923e-06,7.36,24500,,,,,,,,,,
56,0.3914,2.6524939903846157e-06,7.51,25000,,,,,,,,,,
57,0.3925,2.6055438701923082e-06,7.66,25500,,,,,,,,,,
58,0.3926,2.5585937500000004e-06,7.81,26000,,,,,,,,,,
59,0.3965,2.5116436298076925e-06,7.96,26500,,,,,,,,,,
60,,,8.0,26624,0.6939676403999329,0.6993505358695984,59.5181,871.852,54.504,,,,,
61,0.3655,2.4646935096153846e-06,8.11,27000,,,,,,,,,,
62,0.3595,2.417743389423077e-06,8.26,27500,,,,,,,,,,
63,0.3691,2.3707932692307693e-06,8.41,28000,,,,,,,,,,
64,0.3596,2.3238431490384615e-06,8.56,28500,,,,,,,,,,
65,0.3643,2.276893028846154e-06,8.71,29000,,,,,,,,,,
66,0.3723,2.229942908653846e-06,8.86,29500,,,,,,,,,,
67,,,9.0,29952,0.7266567945480347,0.6976932287216187,61.402,845.103,52.832,,,,,
68,0.3776,2.1829927884615387e-06,9.01,30000,,,,,,,,,,
69,0.3444,2.136042668269231e-06,9.16,30500,,,,,,,,,,
70,0.348,2.0890925480769234e-06,9.31,31000,,,,,,,,,,
71,0.3387,2.0421424278846155e-06,9.47,31500,,,,,,,,,,
72,0.3457,1.995192307692308e-06,9.62,32000,,,,,,,,,,
73,0.3514,1.9482421875000002e-06,9.77,32500,,,,,,,,,,
74,0.3555,1.9012920673076924e-06,9.92,33000,,,,,,,,,,
75,,,10.0,33280,0.7490062713623047,0.6984062790870667,63.0216,823.385,51.474,,,,,
76,0.3303,1.8543419471153847e-06,10.07,33500,,,,,,,,,,
77,0.324,1.8073918269230769e-06,10.22,34000,,,,,,,,,,
78,0.327,1.7604417067307694e-06,10.37,34500,,,,,,,,,,
79,0.3221,1.7134915865384616e-06,10.52,35000,,,,,,,,,,
80,0.3334,1.6665414663461541e-06,10.67,35500,,,,,,,,,,
81,0.3415,1.6195913461538462e-06,10.82,36000,,,,,,,,,,
82,0.3254,1.5726412259615386e-06,10.97,36500,,,,,,,,,,
83,,,11.0,36608,0.7927145957946777,0.6970958113670349,61.3131,846.329,52.909,,,,,
84,0.3043,1.525691105769231e-06,11.12,37000,,,,,,,,,,
85,0.3135,1.4787409855769233e-06,11.27,37500,,,,,,,,,,
86,0.3132,1.4317908653846154e-06,11.42,38000,,,,,,,,,,
87,0.3095,1.384840745192308e-06,11.57,38500,,,,,,,,,,
88,0.3203,1.3378906250000001e-06,11.72,39000,,,,,,,,,,
89,0.3167,1.2909405048076923e-06,11.87,39500,,,,,,,,,,
90,,,12.0,39936,0.8283646702766418,0.6954578161239624,61.3739,845.49,52.856,,,,,
91,0.3173,1.2439903846153848e-06,12.02,40000,,,,,,,,,,
92,0.2928,1.197040264423077e-06,12.17,40500,,,,,,,,,,
93,0.2959,1.1500901442307693e-06,12.32,41000,,,,,,,,,,
94,0.3073,1.1031400240384616e-06,12.47,41500,,,,,,,,,,
95,0.2982,1.056189903846154e-06,12.62,42000,,,,,,,,,,
96,0.2978,1.0092397836538461e-06,12.77,42500,,,,,,,,,,
97,0.301,9.622896634615385e-07,12.92,43000,,,,,,,,,,
98,,,13.0,43264,0.8633107542991638,0.6950531005859375,62.5308,829.847,51.878,,,,,
99,0.2957,9.153395432692308e-07,13.07,43500,,,,,,,,,,
100,0.2689,8.683894230769231e-07,13.22,44000,,,,,,,,,,
101,0.285,8.214393028846154e-07,13.37,44500,,,,,,,,,,
102,0.2971,7.744891826923078e-07,13.52,45000,,,,,,,,,,
103,0.2886,7.275390625000001e-07,13.67,45500,,,,,,,,,,
104,0.2868,6.805889423076923e-07,13.82,46000,,,,,,,,,,
105,0.2875,6.336388221153847e-07,13.97,46500,,,,,,,,,,
106,,,14.0,46592,0.8997487425804138,0.6942629814147949,61.7313,840.595,52.55,,,,,
107,0.2836,5.86688701923077e-07,14.12,47000,,,,,,,,,,
108,0.2855,5.397385817307693e-07,14.27,47500,,,,,,,,,,
109,0.281,4.927884615384615e-07,14.42,48000,,,,,,,,,,
110,0.2764,4.458383413461539e-07,14.57,48500,,,,,,,,,,
111,0.2812,3.9888822115384617e-07,14.72,49000,,,,,,,,,,
112,0.2799,3.519381009615385e-07,14.87,49500,,,,,,,,,,
113,,,15.0,49920,0.9143033027648926,0.693511426448822,62.2353,833.788,52.125,,,,,
114,0.283,3.049879807692308e-07,15.02,50000,,,,,,,,,,
115,0.2843,2.580378605769231e-07,15.17,50500,,,,,,,,,,
116,0.2764,2.1108774038461543e-07,15.32,51000,,,,,,,,,,
117,0.2747,1.641376201923077e-07,15.47,51500,,,,,,,,,,
118,0.2737,1.1718750000000002e-07,15.62,52000,,,,,,,,,,
119,0.2773,7.023737980769231e-08,15.78,52500,,,,,,,,,,
120,0.27,2.328725961538462e-08,15.93,53000,,,,,,,,,,
121,,,16.0,53248,0.9234544038772583,0.6938197612762451,62.9206,824.706,51.557,,,,,
122,,,16.0,53248,,,,,,4249.4143,200.438,12.531,2.5377314280165744e+16,0.3997987566085962
