,loss,learning_rate,epoch,step,eval_loss,eval_accuracy,eval_runtime,eval_samples_per_second,train_runtime,train_samples_per_second,total_flos
0,0.6634,4.941806331471136e-06,0.19,500,,,,,,,
1,0.5772,4.883612662942272e-06,0.37,1000,,,,,,,
2,0.5601,4.8254189944134085e-06,0.56,1500,,,,,,,
3,0.551,4.767225325884544e-06,0.74,2000,,,,,,,
4,0.5411,4.70903165735568e-06,0.93,2500,,,,,,,
5,,,1.0,2685,0.5406082272529602,0.7253848910331726,53.4605,807.98,,,
6,0.5188,4.6508379888268166e-06,1.12,3000,,,,,,,
7,0.5026,4.592644320297952e-06,1.3,3500,,,,,,,
8,0.5016,4.5344506517690875e-06,1.49,4000,,,,,,,
9,0.4952,4.476256983240224e-06,1.68,4500,,,,,,,
10,0.4886,4.41806331471136e-06,1.86,5000,,,,,,,
11,,,2.0,5370,0.5376423597335815,0.746405839920044,54.7005,789.663,,,
12,0.4705,4.3598696461824955e-06,2.05,5500,,,,,,,
13,0.4534,4.301675977653632e-06,2.23,6000,,,,,,,
14,0.448,4.243482309124767e-06,2.42,6500,,,,,,,
15,0.4605,4.185288640595904e-06,2.61,7000,,,,,,,
16,0.4675,4.127094972067039e-06,2.79,7500,,,,,,,
17,0.4551,4.068901303538175e-06,2.98,8000,,,,,,,
18,,,3.0,8055,0.527820348739624,0.7522166967391968,53.7982,802.908,,,
19,0.4385,4.010707635009311e-06,3.17,8500,,,,,,,
20,0.4243,3.952513966480447e-06,3.35,9000,,,,,,,
21,0.4327,3.8943202979515835e-06,3.54,9500,,,,,,,
22,0.42,3.836126629422719e-06,3.72,10000,,,,,,,
23,0.4241,3.7779329608938552e-06,3.91,10500,,,,,,,
24,,,4.0,10740,0.5251449346542358,0.7559439539909363,54.3545,794.69,,,
25,0.4134,3.719739292364991e-06,4.1,11000,,,,,,,
26,0.3966,3.661545623836127e-06,4.28,11500,,,,,,,
27,0.4021,3.603351955307263e-06,4.47,12000,,,,,,,
28,0.391,3.545158286778399e-06,4.66,12500,,,,,,,
29,0.4054,3.4869646182495346e-06,4.84,13000,,,,,,,
