,loss,learning_rate,epoch,step,eval_loss,eval_accuracy,eval_runtime,eval_samples_per_second,train_runtime,train_samples_per_second,total_flos
0,0.694,4.9530498798076925e-06,0.15,500,,,,,,,
1,0.6197,4.906099759615385e-06,0.3,1000,,,,,,,
2,0.5956,4.859149639423078e-06,0.45,1500,,,,,,,
3,0.5855,4.81219951923077e-06,0.6,2000,,,,,,,
4,0.5693,4.765249399038462e-06,0.75,2500,,,,,,,
5,0.5634,4.718299278846154e-06,0.9,3000,,,,,,,
6,,,1.0,3328,0.5624855160713196,0.6962864398956299,126.0927,411.531,,,
7,0.5546,4.671349158653847e-06,1.05,3500,,,,,,,
8,0.5391,4.624399038461539e-06,1.2,4000,,,,,,,
9,0.5254,4.577448918269231e-06,1.35,4500,,,,,,,
10,0.523,4.5304987980769235e-06,1.5,5000,,,,,,,
11,0.522,4.483548677884616e-06,1.65,5500,,,,,,,
12,0.5192,4.436598557692309e-06,1.8,6000,,,,,,,
13,0.5209,4.389648437500001e-06,1.95,6500,,,,,,,
14,,,2.0,6656,0.5536507964134216,0.7095835208892822,127.1068,408.247,,,
15,0.5028,4.342698317307693e-06,2.1,7000,,,,,,,
16,0.4989,4.295748197115385e-06,2.25,7500,,,,,,,
17,0.499,4.248798076923077e-06,2.4,8000,,,,,,,
18,0.4974,4.201847956730769e-06,2.55,8500,,,,,,,
19,0.4858,4.154897836538461e-06,2.7,9000,,,,,,,
20,0.4986,4.107947716346154e-06,2.85,9500,,,,,,,
21,,,3.0,9984,0.5736899375915527,0.7208572030067444,124.6017,416.455,,,
22,0.4948,4.0609975961538465e-06,3.0,10000,,,,,,,
23,0.4611,4.014047475961539e-06,3.16,10500,,,,,,,
24,0.4671,3.967097355769231e-06,3.31,11000,,,,,,,
25,0.4702,3.920147235576923e-06,3.46,11500,,,,,,,
26,0.4683,3.873197115384616e-06,3.61,12000,,,,,,,
27,0.4681,3.826246995192308e-06,3.76,12500,,,,,,,
28,0.4588,3.779296875e-06,3.91,13000,,,,,,,
29,,,4.0,13312,0.5750693678855896,0.7228035926818848,121.5718,426.834,,,
30,0.4519,3.7323467548076923e-06,4.06,13500,,,,,,,
