,loss,learning_rate,epoch,step,eval_loss,eval_accuracy,eval_runtime,eval_samples_per_second,train_runtime,train_samples_per_second,total_flos
0,0.694,4.798646907216496e-06,0.64,500,,,,,,,
1,,,1.0,776,0.6931381821632385,0.5059071779251099,21.139,560.575,,,
2,0.6937,4.5972938144329895e-06,1.29,1000,,,,,,,
3,0.6939,4.395940721649485e-06,1.93,1500,,,,,,,
4,,,2.0,1552,0.6931332349777222,0.5052320957183838,20.7902,569.98,,,
5,0.6933,4.1945876288659794e-06,2.58,2000,,,,,,,
6,,,3.0,2328,0.6931239366531372,0.5052320957183838,22.2671,532.176,,,
7,0.6941,3.993234536082475e-06,3.22,2500,,,,,,,
8,0.694,3.7918814432989694e-06,3.87,3000,,,,,,,
9,,,4.0,3104,0.6931284666061401,0.5085232257843018,21.8332,542.751,,,
10,0.6936,3.5905283505154643e-06,4.51,3500,,,,,,,
11,,,5.0,3880,0.6931273341178894,0.5054008364677429,20.0813,590.101,,,
12,0.694,3.3891752577319593e-06,5.15,4000,,,,,,,
13,0.6939,3.187822164948454e-06,5.8,4500,,,,,,,
14,,,6.0,4656,0.6931384205818176,0.5054008364677429,21.7121,545.778,,,
15,0.6935,2.986469072164949e-06,6.44,5000,,,,,,,
16,,,7.0,5432,0.6930913925170898,0.5070886015892029,22.3389,530.466,,,
17,0.6936,2.7851159793814438e-06,7.09,5500,,,,,,,
18,0.6932,2.5837628865979388e-06,7.73,6000,,,,,,,
19,,,8.0,6208,0.6230419874191284,0.6674261689186096,22.8368,518.9,,,
20,0.6275,2.382409793814433e-06,8.38,6500,,,,,,,
21,,,9.0,6984,0.5287162661552429,0.7102109789848328,23.1233,512.469,,,
22,0.5585,2.181056701030928e-06,9.02,7000,,,,,,,
23,0.5242,1.979703608247423e-06,9.66,7500,,,,,,,
24,,,10.0,7760,0.5292587876319885,0.7191561460494995,22.5901,524.565,,,
25,0.506,1.7783505154639178e-06,10.31,8000,,,,,,,
26,0.5008,1.5769974226804125e-06,10.95,8500,,,,,,,
27,,,11.0,8536,0.531012237071991,0.7273417711257935,23.05,514.1,,,
28,0.4812,1.3756443298969075e-06,11.6,9000,,,,,,,
29,,,12.0,9312,0.5436367392539978,0.7309704422950745,23.175,511.328,,,
30,0.4695,1.174291237113402e-06,12.24,9500,,,,,,,
31,0.4608,9.72938144329897e-07,12.89,10000,,,,,,,
32,,,13.0,10088,0.5394882559776306,0.7302953600883484,23.0332,514.475,,,
33,0.4583,7.715850515463919e-07,13.53,10500,,,,,,,
34,,,14.0,10864,0.5503015518188477,0.7258228063583374,22.6587,522.978,,,
35,0.4514,5.702319587628866e-07,14.18,11000,,,,,,,
36,0.4385,3.688788659793815e-07,14.82,11500,,,,,,,
37,,,15.0,11640,0.5469277501106262,0.7335864901542664,22.9558,516.21,,,
38,0.4321,1.675257731958763e-07,15.46,12000,,,,,,,
39,,,16.0,12416,0.5497487187385559,0.7341772317886353,22.5132,526.357,,,
40,,,16.0,12416,,,,,1625.223,7.64,3209756508925296.0
