,loss,learning_rate,epoch,step,eval_loss,eval_accuracy,eval_runtime,eval_samples_per_second,train_runtime,train_samples_per_second,total_flos
0,1.0918,9.883612662942272e-06,0.19,500,,,,,,,
1,0.9173,9.767225325884544e-06,0.37,1000,,,,,,,
2,0.8703,9.650837988826817e-06,0.56,1500,,,,,,,
3,0.8388,9.534450651769088e-06,0.74,2000,,,,,,,
4,0.8312,9.41806331471136e-06,0.93,2500,,,,,,,
5,,,1.0,2685,0.8352227807044983,0.6098159551620483,146.8824,294.079,,,
6,0.7872,9.301675977653633e-06,1.12,3000,,,,,,,
7,0.76,9.185288640595904e-06,1.3,3500,,,,,,,
8,0.7479,9.068901303538175e-06,1.49,4000,,,,,,,
9,0.7538,8.952513966480448e-06,1.68,4500,,,,,,,
10,0.7357,8.83612662942272e-06,1.86,5000,,,,,,,
11,,,2.0,5370,0.8466253876686096,0.6181734204292297,141.8456,304.521,,,
12,0.7127,8.719739292364991e-06,2.05,5500,,,,,,,
13,0.6511,8.603351955307264e-06,2.23,6000,,,,,,,
14,0.6535,8.486964618249535e-06,2.42,6500,,,,,,,
15,0.6617,8.370577281191807e-06,2.61,7000,,,,,,,
16,0.6718,8.254189944134078e-06,2.79,7500,,,,,,,
17,0.6823,8.13780260707635e-06,2.98,8000,,,,,,,
18,,,3.0,8055,0.8677026033401489,0.6182428598403931,147.6933,292.464,,,
19,0.5768,8.021415270018622e-06,3.17,8500,,,,,,,
20,0.5753,7.905027932960894e-06,3.35,9000,,,,,,,
21,0.5936,7.788640595903167e-06,3.54,9500,,,,,,,
22,0.5832,7.672253258845438e-06,3.72,10000,,,,,,,
23,0.605,7.5558659217877105e-06,3.91,10500,,,,,,,
24,,,4.0,10740,0.9154336452484131,0.6143303513526917,144.4781,298.973,,,
25,0.5516,7.439478584729982e-06,4.1,11000,,,,,,,
26,0.4867,7.323091247672254e-06,4.28,11500,,,,,,,
27,0.5196,7.206703910614526e-06,4.47,12000,,,,,,,
28,0.5218,7.090316573556798e-06,4.66,12500,,,,,,,
29,0.5308,6.973929236499069e-06,4.84,13000,,,,,,,
30,,,5.0,13425,1.0195415019989014,0.6101632118225098,144.5632,298.797,,,
31,0.5246,6.857541899441341e-06,5.03,13500,,,,,,,
32,0.4278,6.741154562383613e-06,5.21,14000,,,,,,,
33,0.4234,6.6247672253258854e-06,5.4,14500,,,,,,,
34,0.4666,6.508379888268157e-06,5.59,15000,,,,,,,
