,loss,learning_rate,epoch,step,eval_loss,eval_accuracy,eval_runtime,eval_samples_per_second,train_runtime,train_samples_per_second,total_flos
0,1.1024,4.9530498798076925e-06,0.15,500,,,,,,,
1,1.1017,4.906099759615385e-06,0.3,1000,,,,,,,
2,1.1008,4.859149639423078e-06,0.45,1500,,,,,,,
3,1.0514,4.81219951923077e-06,0.6,2000,,,,,,,
4,0.9849,4.765249399038462e-06,0.75,2500,,,,,,,
5,0.9639,4.718299278846154e-06,0.9,3000,,,,,,,
6,,,1.0,3328,0.9551578164100647,0.5121697187423706,156.673,331.206,,,
7,0.9516,4.671349158653847e-06,1.05,3500,,,,,,,
8,0.9313,4.624399038461539e-06,1.2,4000,,,,,,,
9,0.9289,4.577448918269231e-06,1.35,4500,,,,,,,
10,0.9309,4.5304987980769235e-06,1.5,5000,,,,,,,
11,0.9214,4.483548677884616e-06,1.65,5500,,,,,,,
12,0.9115,4.436598557692309e-06,1.8,6000,,,,,,,
13,0.9038,4.389648437500001e-06,1.95,6500,,,,,,,
14,,,2.0,6656,0.9252913594245911,0.5415775179862976,158.8458,326.675,,,
15,0.8803,4.342698317307693e-06,2.1,7000,,,,,,,
16,0.8738,4.295748197115385e-06,2.25,7500,,,,,,,
17,0.8711,4.248798076923077e-06,2.4,8000,,,,,,,
18,0.8776,4.201847956730769e-06,2.55,8500,,,,,,,
19,0.863,4.154897836538461e-06,2.7,9000,,,,,,,
20,0.8545,4.107947716346154e-06,2.85,9500,,,,,,,
21,,,3.0,9984,0.9205531477928162,0.5517141819000244,181.72,285.555,,,
22,0.8604,4.0609975961538465e-06,3.0,10000,,,,,,,
23,0.8203,4.014047475961539e-06,3.16,10500,,,,,,,
24,0.8271,3.967097355769231e-06,3.31,11000,,,,,,,
25,0.8169,3.920147235576923e-06,3.46,11500,,,,,,,
26,0.8258,3.873197115384616e-06,3.61,12000,,,,,,,
27,0.8214,3.826246995192308e-06,3.76,12500,,,,,,,
28,0.8188,3.779296875e-06,3.91,13000,,,,,,,
29,,,4.0,13312,0.9250246286392212,0.5617351531982422,180.4831,287.512,,,
30,0.8167,3.7323467548076923e-06,4.06,13500,,,,,,,
31,0.771,3.685396634615385e-06,4.21,14000,,,,,,,
32,0.7946,3.6384465144230774e-06,4.36,14500,,,,,,,
33,0.7941,3.5914963942307696e-06,4.51,15000,,,,,,,
34,0.792,3.5445462740384617e-06,4.66,15500,,,,,,,
35,0.7852,3.497596153846154e-06,4.81,16000,,,,,,,
36,0.7782,3.450646033653847e-06,4.96,16500,,,,,,,
37,,,5.0,16640,0.9430860877037048,0.5647221803665161,181.3575,286.125,,,
38,0.7672,3.403695913461539e-06,5.11,17000,,,,,,,
39,0.7515,3.356745793269231e-06,5.26,17500,,,,,,,
40,0.7561,3.3097956730769232e-06,5.41,18000,,,,,,,
41,0.7649,3.2628455528846158e-06,5.56,18500,,,,,,,
42,0.7613,3.215895432692308e-06,5.71,19000,,,,,,,
43,0.7573,3.1689453125e-06,5.86,19500,,,,,,,
44,,,6.0,19968,0.95256108045578,0.5682295560836792,183.0044,283.551,,,
45,0.7511,3.1219951923076926e-06,6.01,20000,,,,,,,
46,0.719,3.0750450721153847e-06,6.16,20500,,,,,,,
47,0.7216,3.0280949519230773e-06,6.31,21000,,,,,,,
48,0.7175,2.9811448317307694e-06,6.46,21500,,,,,,,
49,0.7301,2.9341947115384616e-06,6.61,22000,,,,,,,
50,0.7407,2.8872445913461537e-06,6.76,22500,,,,,,,
51,0.7317,2.8402944711538467e-06,6.91,23000,,,,,,,
52,,,7.0,23296,0.9685776233673096,0.5661482810974121,168.2134,308.483,,,
53,0.7104,2.793344350961539e-06,7.06,23500,,,,,,,
54,0.6976,2.746394230769231e-06,7.21,24000,,,,,,,
55,0.6871,2.699444110576923e-06,7.36,24500,,,,,,,
56,0.7056,2.6524939903846157e-06,7.51,25000,,,,,,,
57,0.714,2.6055438701923082e-06,7.66,25500,,,,,,,
58,0.699,2.5585937500000004e-06,7.81,26000,,,,,,,
59,0.7163,2.5116436298076925e-06,7.96,26500,,,,,,,
60,,,8.0,26624,0.988736629486084,0.5662446022033691,169.6942,305.791,,,
61,0.6845,2.4646935096153846e-06,8.11,27000,,,,,,,
62,0.6623,2.417743389423077e-06,8.26,27500,,,,,,,
63,0.6658,2.3707932692307693e-06,8.41,28000,,,,,,,
64,0.6895,2.3238431490384615e-06,8.56,28500,,,,,,,
65,0.6669,2.276893028846154e-06,8.71,29000,,,,,,,
66,0.6785,2.229942908653846e-06,8.86,29500,,,,,,,
67,,,9.0,29952,1.0336405038833618,0.5642597079277039,169.2082,306.67,,,
68,0.6852,2.1829927884615387e-06,9.01,30000,,,,,,,
69,0.6579,2.136042668269231e-06,9.16,30500,,,,,,,
70,0.6604,2.0890925480769234e-06,9.31,31000,,,,,,,
71,0.6572,2.0421424278846155e-06,9.47,31500,,,,,,,
72,0.6569,1.995192307692308e-06,9.62,32000,,,,,,,
73,0.6456,1.9482421875000002e-06,9.77,32500,,,,,,,
74,0.6559,1.9012920673076924e-06,9.92,33000,,,,,,,
75,,,10.0,33280,1.055180311203003,0.565589427947998,169.0541,306.949,,,
76,0.6305,1.8543419471153847e-06,10.07,33500,,,,,,,
77,0.6227,1.8073918269230769e-06,10.22,34000,,,,,,,
78,0.6229,1.7604417067307694e-06,10.37,34500,,,,,,,
79,0.6355,1.7134915865384616e-06,10.52,35000,,,,,,,
80,0.6425,1.6665414663461541e-06,10.67,35500,,,,,,,
81,0.6365,1.6195913461538462e-06,10.82,36000,,,,,,,
82,0.6406,1.5726412259615386e-06,10.97,36500,,,,,,,
83,,,11.0,36608,1.0607295036315918,0.5646451115608215,169.33,306.449,,,
84,0.609,1.525691105769231e-06,11.12,37000,,,,,,,
85,0.6189,1.4787409855769233e-06,11.27,37500,,,,,,,
86,0.6084,1.4317908653846154e-06,11.42,38000,,,,,,,
87,0.6195,1.384840745192308e-06,11.57,38500,,,,,,,
88,0.6149,1.3378906250000001e-06,11.72,39000,,,,,,,
89,0.6073,1.2909405048076923e-06,11.87,39500,,,,,,,
90,,,12.0,39936,1.0967745780944824,0.5638935565948486,169.9493,305.332,,,
91,0.6267,1.2439903846153848e-06,12.02,40000,,,,,,,
92,0.5828,1.197040264423077e-06,12.17,40500,,,,,,,
93,0.5894,1.1500901442307693e-06,12.32,41000,,,,,,,
94,0.6088,1.1031400240384616e-06,12.47,41500,,,,,,,
95,0.5932,1.056189903846154e-06,12.62,42000,,,,,,,
96,0.5966,1.0092397836538461e-06,12.77,42500,,,,,,,
97,0.6174,9.622896634615385e-07,12.92,43000,,,,,,,
98,,,13.0,43264,1.1100608110427856,0.5636622905731201,170.7395,303.919,,,
99,0.6023,9.153395432692308e-07,13.07,43500,,,,,,,
100,0.5656,8.683894230769231e-07,13.22,44000,,,,,,,
101,0.5804,8.214393028846154e-07,13.37,44500,,,,,,,
102,0.5861,7.744891826923078e-07,13.52,45000,,,,,,,
103,0.5905,7.275390625000001e-07,13.67,45500,,,,,,,
104,0.5773,6.805889423076923e-07,13.82,46000,,,,,,,
105,0.5802,6.336388221153847e-07,13.97,46500,,,,,,,
106,,,14.0,46592,1.1453330516815186,0.5628336071968079,170.0333,305.181,,,
107,0.5725,5.86688701923077e-07,14.12,47000,,,,,,,
108,0.5701,5.397385817307693e-07,14.27,47500,,,,,,,
109,0.579,4.927884615384615e-07,14.42,48000,,,,,,,
110,0.5732,4.458383413461539e-07,14.57,48500,,,,,,,
111,0.5782,3.9888822115384617e-07,14.72,49000,,,,,,,
112,0.5759,3.519381009615385e-07,14.87,49500,,,,,,,
113,,,15.0,49920,1.165913462638855,0.5610992312431335,170.2247,304.838,,,
114,0.5701,3.049879807692308e-07,15.02,50000,,,,,,,
115,0.5686,2.580378605769231e-07,15.17,50500,,,,,,,
