,loss,learning_rate,epoch,step,eval_loss,eval_accuracy,eval_runtime,eval_samples_per_second,train_runtime,train_samples_per_second,total_flos
0,1.1034,9.597293814432992e-06,0.64,500,,,,,,,
1,,,1.0,776,0.9911681413650513,0.5010970234870911,36.548,324.231,,,
2,1.0203,9.194587628865979e-06,1.29,1000,,,,,,,
3,0.8607,8.79188144329897e-06,1.93,1500,,,,,,,
4,,,2.0,1552,0.7828128337860107,0.644472599029541,36.594,323.823,,,
5,0.7219,8.389175257731959e-06,2.58,2000,,,,,,,
6,,,3.0,2328,0.7565315365791321,0.6661603450775146,37.2418,318.191,,,
7,0.6545,7.98646907216495e-06,3.22,2500,,,,,,,
8,0.6015,7.583762886597939e-06,3.87,3000,,,,,,,
9,,,4.0,3104,0.7571953535079956,0.6686075925827026,36.8563,321.519,,,
10,0.5099,7.181056701030929e-06,4.51,3500,,,,,,,
11,,,5.0,3880,0.853551983833313,0.6708016991615295,37.8282,313.259,,,
12,0.4707,6.778350515463919e-06,5.15,4000,,,,,,,
13,0.3909,6.375644329896908e-06,5.8,4500,,,,,,,
14,,,6.0,4656,0.9501546025276184,0.6683544516563416,37.5222,315.813,,,
15,0.3612,5.972938144329898e-06,6.44,5000,,,,,,,
16,,,7.0,5432,1.1466619968414307,0.6659071445465088,36.8058,321.96,,,
17,0.3022,5.5702319587628876e-06,7.09,5500,,,,,,,
18,0.2526,5.1675257731958775e-06,7.73,6000,,,,,,,
19,,,8.0,6208,1.2702226638793945,0.6608439087867737,37.1184,319.249,,,
20,0.2176,4.764819587628866e-06,8.38,6500,,,,,,,
21,,,9.0,6984,1.4632866382598877,0.6612658500671387,37.7581,313.84,,,
22,0.1989,4.362113402061856e-06,9.02,7000,,,,,,,
23,0.1493,3.959407216494846e-06,9.66,7500,,,,,,,
24,,,10.0,7760,1.6774495840072632,0.6620253324508667,47.8007,247.904,,,
25,0.1431,3.5567010309278356e-06,10.31,8000,,,,,,,
26,0.1199,3.153994845360825e-06,10.95,8500,,,,,,,
27,,,11.0,8536,1.8596258163452148,0.6603375673294067,44.8709,264.091,,,
28,0.0964,2.751288659793815e-06,11.6,9000,,,,,,,
29,,,12.0,9312,1.9818984270095825,0.6604219675064087,132.7066,89.295,,,
30,0.0928,2.348582474226804e-06,12.24,9500,,,,,,,
31,0.0848,1.945876288659794e-06,12.89,10000,,,,,,,
32,,,13.0,10088,2.0726318359375,0.6607595086097717,44.2769,267.634,,,
33,0.0651,1.5431701030927837e-06,13.53,10500,,,,,,,
34,,,14.0,10864,2.198058843612671,0.6616877913475037,215.2135,55.062,,,
35,0.0621,1.1404639175257733e-06,14.18,11000,,,,,,,
36,0.057,7.37757731958763e-07,14.82,11500,,,,,,,
37,,,15.0,11640,2.181852340698242,0.6614345908164978,197.167,60.101,,,
38,0.0518,3.350515463917526e-07,15.46,12000,,,,,,,
39,,,16.0,12416,2.230187177658081,0.6608439087867737,60.5031,195.858,,,
40,,,16.0,12416,,,,,4673.1172,2.657,635288735615616.0
