,loss,learning_rate,epoch,step,eval_loss,eval_accuracy,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
0,1.0996,4.7847796143250695e-06,0.69,500,,,,,,,,,,
1,,,1.0,726,1.0981597900390625,0.3628358244895935,19.2432,578.334,36.169,,,,,
2,1.099,4.569559228650139e-06,1.38,1000,,,,,,,,,,
3,,,2.0,1452,1.0222158432006836,0.46554046869277954,19.6813,565.462,35.364,,,,,
4,1.07,4.354338842975207e-06,2.07,1500,,,,,,,,,,
5,0.9666,4.139118457300276e-06,2.75,2000,,,,,,,,,,
6,,,3.0,2178,0.9033678770065308,0.5343696475028992,19.7255,564.194,35.284,,,,,
7,0.9099,3.923898071625344e-06,3.44,2500,,,,,,,,,,
8,,,4.0,2904,0.8704895973205566,0.553868293762207,19.14,581.451,36.364,,,,,
9,0.8707,3.7086776859504137e-06,4.13,3000,,,,,,,,,,
10,0.8539,3.4934573002754824e-06,4.82,3500,,,,,,,,,,
11,,,5.0,3630,0.8760035037994385,0.5636625289916992,17.7154,628.209,39.288,,,,,
12,0.8212,3.278236914600551e-06,5.51,4000,,,,,,,,,,
13,,,6.0,4356,0.8934431672096252,0.5668074488639832,17.4636,637.269,39.854,,,,,
14,0.7951,3.06301652892562e-06,6.2,4500,,,,,,,,,,
15,0.7838,2.847796143250689e-06,6.89,5000,,,,,,,,,,
16,,,7.0,5082,0.8753675818443298,0.5679755806922913,18.1688,612.534,38.307,,,,,
17,0.7622,2.6325757575757576e-06,7.58,5500,,,,,,,,,,
18,,,8.0,5808,0.8992390036582947,0.5745350122451782,18.0561,616.357,38.547,,,,,
19,0.748,2.4173553719008267e-06,8.26,6000,,,,,,,,,,
20,0.7313,2.2021349862258958e-06,8.95,6500,,,,,,,,,,
21,,,9.0,6534,0.9167812466621399,0.5751639604568481,17.8531,623.365,38.985,,,,,
22,0.7084,1.9869146005509644e-06,9.64,7000,,,,,,,,,,
23,,,10.0,7260,0.9189295768737793,0.5700422525405884,17.9447,620.182,38.786,,,,,
24,0.7,1.7716942148760333e-06,10.33,7500,,,,,,,,,,
25,,,11.0,7986,0.9300448298454285,0.5783089399337769,17.4851,636.486,39.805,,,,,
26,0.6891,1.556473829201102e-06,11.02,8000,,,,,,,,,,
27,0.6653,1.341253443526171e-06,11.71,8500,,,,,,,,,,
28,,,12.0,8712,0.956462562084198,0.5768712162971497,17.6691,629.858,39.391,,,,,
29,0.6553,1.1260330578512398e-06,12.4,9000,,,,,,,,,,
30,,,13.0,9438,0.9696969985961914,0.5755234360694885,17.6233,631.495,39.493,,,,,
31,0.6535,9.108126721763086e-07,13.09,9500,,,,,,,,,,
32,0.6406,6.955922865013775e-07,13.77,10000,,,,,,,,,,
33,,,14.0,10164,0.9856524467468262,0.5766016840934753,18.276,608.939,38.083,,,,,
34,0.6376,4.803719008264464e-07,14.46,10500,,,,,,,,,,
35,,,15.0,10890,0.9860624074935913,0.5755234360694885,17.996,618.417,38.675,,,,,
36,0.6195,2.651515151515152e-07,15.15,11000,,,,,,,,,,
37,0.6304,4.9931129476584024e-08,15.84,11500,,,,,,,,,,
38,,,16.0,11616,0.9907375574111938,0.575613260269165,18.0317,617.191,38.599,,,,,
39,,,16.0,11616,,,,,,1267.0635,146.607,9.168,9156017459368728.0,0.7855961920472873
