,loss,learning_rate,epoch,step,eval_loss,eval_accuracy,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
0,1.591,4.941806331471136e-06,0.19,500,,,,,,,,,,
1,1.4099,4.883612662942272e-06,0.37,1000,,,,,,,,,,
2,1.3516,4.8254189944134085e-06,0.56,1500,,,,,,,,,,
3,1.3198,4.767225325884544e-06,0.74,2000,,,,,,,,,,
4,1.2783,4.70903165735568e-06,0.93,2500,,,,,,,,,,
5,,,1.0,2685,1.2870750427246094,0.4516494870185852,333.8852,129.371,8.087,,,,,
6,1.2512,4.6508379888268166e-06,1.12,3000,,,,,,,,,,
7,1.2243,4.592644320297952e-06,1.3,3500,,,,,,,,,,
8,1.2267,4.5344506517690875e-06,1.49,4000,,,,,,,,,,
9,1.215,4.476256983240224e-06,1.68,4500,,,,,,,,,,
10,1.2174,4.41806331471136e-06,1.86,5000,,,,,,,,,,
11,,,2.0,5370,1.289548635482788,0.46299341320991516,333.4691,129.532,8.097,,,,,
12,1.1913,4.3598696461824955e-06,2.05,5500,,,,,,,,,,
13,1.1482,4.301675977653632e-06,2.23,6000,,,,,,,,,,
14,1.1456,4.243482309124767e-06,2.42,6500,,,,,,,,,,
15,1.1498,4.185288640595904e-06,2.61,7000,,,,,,,,,,
16,1.1341,4.127094972067039e-06,2.79,7500,,,,,,,,,,
17,1.1467,4.068901303538175e-06,2.98,8000,,,,,,,,,,
18,,,3.0,8055,1.2859352827072144,0.46850329637527466,333.6704,129.454,8.092,,,,,
19,1.0817,4.010707635009311e-06,3.17,8500,,,,,,,,,,
20,1.0741,3.952513966480447e-06,3.35,9000,,,,,,,,,,
21,1.0827,3.8943202979515835e-06,3.54,9500,,,,,,,,,,
22,1.078,3.836126629422719e-06,3.72,10000,,,,,,,,,,
23,1.0923,3.7779329608938552e-06,3.91,10500,,,,,,,,,,
24,,,4.0,10740,1.2893954515457153,0.46945247054100037,333.4432,129.542,8.097,,,,,
25,1.0507,3.719739292364991e-06,4.1,11000,,,,,,,,,,
26,1.0144,3.661545623836127e-06,4.28,11500,,,,,,,,,,
27,1.0225,3.603351955307263e-06,4.47,12000,,,,,,,,,,
28,1.0426,3.545158286778399e-06,4.66,12500,,,,,,,,,,
29,1.0299,3.4869646182495346e-06,4.84,13000,,,,,,,,,,
30,,,5.0,13425,1.3020697832107544,0.46917468309402466,333.2254,129.627,8.103,,,,,
31,1.0338,3.4287709497206705e-06,5.03,13500,,,,,,,,,,
32,0.9763,3.3705772811918064e-06,5.21,14000,,,,,,,,,,
33,0.9643,3.3123836126629427e-06,5.4,14500,,,,,,,,,,
34,0.9556,3.2541899441340786e-06,5.59,15000,,,,,,,,,,
35,0.9871,3.1959962756052145e-06,5.77,15500,,,,,,,,,,
36,1.0098,3.13780260707635e-06,5.96,16000,,,,,,,,,,
37,,,6.0,16110,1.3816397190093994,0.4666743874549866,335.3057,128.823,8.052,,,,,
38,0.9332,3.0796089385474862e-06,6.15,16500,,,,,,,,,,
39,0.9247,3.021415270018622e-06,6.33,17000,,,,,,,,,,
40,0.9555,2.963221601489758e-06,6.52,17500,,,,,,,,,,
41,0.9429,2.9050279329608943e-06,6.7,18000,,,,,,,,,,
42,0.9253,2.84683426443203e-06,6.89,18500,,,,,,,,,,
43,,,7.0,18795,1.3834471702575684,0.4664197266101837,334.7017,129.055,8.067,,,,,
44,0.9316,2.788640595903166e-06,7.08,19000,,,,,,,,,,
45,0.8761,2.7304469273743015e-06,7.26,19500,,,,,,,,,,
46,0.9038,2.6722532588454383e-06,7.45,20000,,,,,,,,,,
47,0.9044,2.6140595903165737e-06,7.64,20500,,,,,,,,,,
48,0.9007,2.5558659217877096e-06,7.82,21000,,,,,,,,,,
49,,,8.0,21480,1.4491403102874756,0.4648917615413666,335.2957,128.827,8.053,,,,,
50,0.8986,2.4976722532588455e-06,8.01,21500,,,,,,,,,,
51,0.8378,2.4394785847299814e-06,8.19,22000,,,,,,,,,,
52,0.8528,2.3812849162011177e-06,8.38,22500,,,,,,,,,,
53,0.8582,2.323091247672253e-06,8.57,23000,,,,,,,,,,
54,0.8694,2.2648975791433895e-06,8.75,23500,,,,,,,,,,
55,0.8724,2.2067039106145253e-06,8.94,24000,,,,,,,,,,
56,,,9.0,24165,1.4827617406845093,0.4645213484764099,334.862,128.993,8.063,,,,,
57,0.839,2.1485102420856612e-06,9.12,24500,,,,,,,,,,
58,0.8271,2.090316573556797e-06,9.31,25000,,,,,,,,,,
59,0.8205,2.032122905027933e-06,9.5,25500,,,,,,,,,,
60,0.8316,1.9739292364990693e-06,9.68,26000,,,,,,,,,,
61,0.8318,1.915735567970205e-06,9.87,26500,,,,,,,,,,
62,,,10.0,26850,1.5130208730697632,0.4629471004009247,334.2057,129.247,8.079,,,,,
63,0.8181,1.857541899441341e-06,10.06,27000,,,,,,,,,,
64,0.788,1.799348230912477e-06,10.24,27500,,,,,,,,,,
65,0.8097,1.7411545623836128e-06,10.43,28000,,,,,,,,,,
66,0.795,1.6829608938547487e-06,10.61,28500,,,,,,,,,,
67,0.8124,1.6247672253258848e-06,10.8,29000,,,,,,,,,,
68,0.8171,1.5665735567970205e-06,10.99,29500,,,,,,,,,,
69,,,11.0,29535,1.5806093215942383,0.4602847695350647,333.1717,129.648,8.104,,,,,
70,0.7635,1.5083798882681566e-06,11.17,30000,,,,,,,,,,
71,0.7758,1.4501862197392925e-06,11.36,30500,,,,,,,,,,
72,0.7744,1.3919925512104286e-06,11.55,31000,,,,,,,,,,
73,0.7743,1.3337988826815642e-06,11.73,31500,,,,,,,,,,
74,0.785,1.2756052141527003e-06,11.92,32000,,,,,,,,,,
75,,,12.0,32220,1.6063690185546875,0.4594513177871704,334.6753,129.065,8.068,,,,,
76,0.7696,1.2174115456238362e-06,12.1,32500,,,,,,,,,,
77,0.7439,1.159217877094972e-06,12.29,33000,,,,,,,,,,
78,0.7495,1.1010242085661082e-06,12.48,33500,,,,,,,,,,
79,0.7566,1.042830540037244e-06,12.66,34000,,,,,,,,,,
80,0.7567,9.8463687150838e-07,12.85,34500,,,,,,,,,,
81,,,13.0,34905,1.6376218795776367,0.45864105224609375,333.2016,129.636,8.103,,,,,
82,0.7491,9.264432029795159e-07,13.04,35000,,,,,,,,,,
83,0.7298,8.682495344506518e-07,13.22,35500,,,,,,,,,,
84,0.744,8.100558659217877e-07,13.41,36000,,,,,,,,,,
85,0.7277,7.518621973929237e-07,13.59,36500,,,,,,,,,,
86,0.7436,6.936685288640596e-07,13.78,37000,,,,,,,,,,
87,0.7334,6.354748603351956e-07,13.97,37500,,,,,,,,,,
88,,,14.0,37590,1.6551487445831299,0.4585484564304352,333.4003,129.559,8.098,,,,,
89,0.7297,5.772811918063316e-07,14.15,38000,,,,,,,,,,
90,0.7297,5.190875232774674e-07,14.34,38500,,,,,,,,,,
91,0.7223,4.608938547486034e-07,14.53,39000,,,,,,,,,,
92,0.7278,4.027001862197393e-07,14.71,39500,,,,,,,,,,
93,0.7262,3.4450651769087525e-07,14.9,40000,,,,,,,,,,
94,,,15.0,40275,1.67404305934906,0.458664208650589,333.3681,129.571,8.099,,,,,
95,0.719,2.863128491620112e-07,15.08,40500,,,,,,,,,,
96,0.715,2.2811918063314715e-07,15.27,41000,,,,,,,,,,
97,0.7119,1.6992551210428306e-07,15.46,41500,,,,,,,,,,
98,0.7062,1.11731843575419e-07,15.64,42000,,,,,,,,,,
99,0.7155,5.353817504655494e-08,15.83,42500,,,,,,,,,,
100,,,16.0,42960,1.681401252746582,0.4583863914012909,333.3013,129.597,8.101,,,,,
101,,,16.0,42960,,,,,,22001.3505,31.237,1.953,8.59865776509238e+16,0.9289952702584435
