,loss,learning_rate,epoch,step,eval_loss,eval_accuracy,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
0,1.5604,4.906099759615385e-06,0.3,500,,,,,,,,,,
1,1.4069,4.81219951923077e-06,0.6,1000,,,,,,,,,,
2,1.3649,4.718299278846154e-06,0.9,1500,,,,,,,,,,
3,,,1.0,1664,1.346569299697876,0.416141539812088,234.7692,221.03,6.909,,,,,
4,1.3132,4.624399038461539e-06,1.2,2000,,,,,,,,,,
5,1.3072,4.5304987980769235e-06,1.5,2500,,,,,,,,,,
6,1.2817,4.436598557692309e-06,1.8,3000,,,,,,,,,,
7,,,2.0,3328,1.332010269165039,0.4316355586051941,235.0113,220.802,6.902,,,,,
8,1.2767,4.342698317307693e-06,2.1,3500,,,,,,,,,,
9,1.235,4.248798076923077e-06,2.4,4000,,,,,,,,,,
10,1.2418,4.154897836538461e-06,2.7,4500,,,,,,,,,,
11,,,3.0,4992,1.3301520347595215,0.4346611201763153,235.4143,220.424,6.89,,,,,
12,1.243,4.0609975961538465e-06,3.0,5000,,,,,,,,,,
13,1.1964,3.967097355769231e-06,3.31,5500,,,,,,,,,,
14,1.1981,3.873197115384616e-06,3.61,6000,,,,,,,,,,
15,1.1906,3.779296875e-06,3.91,6500,,,,,,,,,,
16,,,4.0,6656,1.3543509244918823,0.4349116384983063,234.4753,221.307,6.918,,,,,
17,1.1571,3.685396634615385e-06,4.21,7000,,,,,,,,,,
18,1.1436,3.5914963942307696e-06,4.51,7500,,,,,,,,,,
19,1.1647,3.497596153846154e-06,4.81,8000,,,,,,,,,,
20,,,5.0,8320,1.3755220174789429,0.43512362241744995,234.3169,221.456,6.922,,,,,
21,1.135,3.403695913461539e-06,5.11,8500,,,,,,,,,,
22,1.1115,3.3097956730769232e-06,5.41,9000,,,,,,,,,,
23,1.1128,3.215895432692308e-06,5.71,9500,,,,,,,,,,
24,,,6.0,9984,1.399842381477356,0.43419861793518066,234.3521,221.423,6.921,,,,,
25,1.1304,3.1219951923076926e-06,6.01,10000,,,,,,,,,,
26,1.0719,3.0280949519230773e-06,6.31,10500,,,,,,,,,,
27,1.0847,2.9341947115384616e-06,6.61,11000,,,,,,,,,,
28,1.0904,2.8402944711538467e-06,6.91,11500,,,,,,,,,,
29,,,7.0,11648,1.428105354309082,0.4329267144203186,234.6238,221.167,6.913,,,,,
30,1.0556,2.746394230769231e-06,7.21,12000,,,,,,,,,,
31,1.0441,2.6524939903846157e-06,7.51,12500,,,,,,,,,,
32,1.0475,2.5585937500000004e-06,7.81,13000,,,,,,,,,,
33,,,8.0,13312,1.4210224151611328,0.43063345551490784,234.6735,221.12,6.912,,,,,
34,1.047,2.4646935096153846e-06,8.11,13500,,,,,,,,,,
35,1.0274,2.3707932692307693e-06,8.41,14000,,,,,,,,,,
36,1.026,2.276893028846154e-06,8.71,14500,,,,,,,,,,
37,,,9.0,14976,1.471230149269104,0.428128182888031,235.1047,220.714,6.899,,,,,
38,1.0283,2.1829927884615387e-06,9.01,15000,,,,,,,,,,
39,0.9937,2.0890925480769234e-06,9.31,15500,,,,,,,,,,
40,0.9974,1.995192307692308e-06,9.62,16000,,,,,,,,,,
41,1.0067,1.9012920673076924e-06,9.92,16500,,,,,,,,,,
42,,,10.0,16640,1.50155770778656,0.42774277925491333,235.2998,220.531,6.893,,,,,
43,0.9928,1.8073918269230769e-06,10.22,17000,,,,,,,,,,
44,0.9766,1.7134915865384616e-06,10.52,17500,,,,,,,,,,
45,0.9819,1.6195913461538462e-06,10.82,18000,,,,,,,,,,
46,,,11.0,18304,1.5256065130233765,0.42606619000434875,235.4915,220.352,6.888,,,,,
47,0.972,1.525691105769231e-06,11.12,18500,,,,,,,,,,
48,0.9685,1.4317908653846154e-06,11.42,19000,,,,,,,,,,
49,0.9653,1.3378906250000001e-06,11.72,19500,,,,,,,,,,
50,,,12.0,19968,1.552870273590088,0.4251604378223419,235.2757,220.554,6.894,,,,,
51,0.9523,1.2439903846153848e-06,12.02,20000,,,,,,,,,,
52,0.9477,1.1500901442307693e-06,12.32,20500,,,,,,,,,,
53,0.9373,1.056189903846154e-06,12.62,21000,,,,,,,,,,
54,0.9564,9.622896634615385e-07,12.92,21500,,,,,,,,,,
55,,,13.0,21632,1.5529457330703735,0.42517969012260437,235.6043,220.246,6.884,,,,,
56,0.9395,8.683894230769231e-07,13.22,22000,,,,,,,,,,
57,0.9304,7.744891826923078e-07,13.52,22500,,,,,,,,,,
58,0.9362,6.805889423076923e-07,13.82,23000,,,,,,,,,,
59,,,14.0,23296,1.5872241258621216,0.42464011907577515,235.7035,220.154,6.882,,,,,
60,0.9239,5.86688701923077e-07,14.12,23500,,,,,,,,,,
61,0.9202,4.927884615384615e-07,14.42,24000,,,,,,,,,,
62,0.9209,3.9888822115384617e-07,14.72,24500,,,,,,,,,,
63,,,15.0,24960,1.5949928760528564,0.4245630204677582,235.8383,220.028,6.878,,,,,
64,0.9345,3.049879807692308e-07,15.02,25000,,,,,,,,,,
65,0.9264,2.1108774038461543e-07,15.32,25500,,,,,,,,,,
66,0.9088,1.1718750000000002e-07,15.62,26000,,,,,,,,,,
67,0.91,2.328725961538462e-08,15.93,26500,,,,,,,,,,
68,,,16.0,26624,1.6136605739593506,0.4247171878814697,235.5787,220.27,6.885,,,,,
69,,,16.0,26624,,,,,,14829.0966,57.437,1.795,1.0853761344958483e+17,1.0784033109935431
