,loss,learning_rate,epoch,step,eval_loss,eval_accuracy,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
0,1.6109,4.941806331471136e-06,0.19,500,,,,,,,,,,
1,1.6101,4.883612662942272e-06,0.37,1000,,,,,,,,,,
2,1.611,4.8254189944134085e-06,0.56,1500,,,,,,,,,,
3,1.6098,4.767225325884544e-06,0.74,2000,,,,,,,,,,
4,1.6097,4.70903165735568e-06,0.93,2500,,,,,,,,,,
5,,,1.0,2685,1.6092751026153564,0.21859011054039001,110.8886,389.535,24.349,,,,,
6,1.6095,4.6508379888268166e-06,1.12,3000,,,,,,,,,,
7,1.5562,4.592644320297952e-06,1.3,3500,,,,,,,,,,
8,1.499,4.5344506517690875e-06,1.49,4000,,,,,,,,,,
9,1.4684,4.476256983240224e-06,1.68,4500,,,,,,,,,,
10,1.4471,4.41806331471136e-06,1.86,5000,,,,,,,,,,
11,,,2.0,5370,1.406656265258789,0.3826831877231598,111.0499,388.969,24.313,,,,,
12,1.4246,4.3598696461824955e-06,2.05,5500,,,,,,,,,,
13,1.3849,4.301675977653632e-06,2.23,6000,,,,,,,,,,
14,1.3785,4.243482309124767e-06,2.42,6500,,,,,,,,,,
15,1.3573,4.185288640595904e-06,2.61,7000,,,,,,,,,,
16,1.3454,4.127094972067039e-06,2.79,7500,,,,,,,,,,
17,1.3482,4.068901303538175e-06,2.98,8000,,,,,,,,,,
18,,,3.0,8055,1.3668466806411743,0.4141451418399811,110.2609,391.753,24.487,,,,,
19,1.3077,4.010707635009311e-06,3.17,8500,,,,,,,,,,
20,1.3033,3.952513966480447e-06,3.35,9000,,,,,,,,,,
21,1.2981,3.8943202979515835e-06,3.54,9500,,,,,,,,,,
22,1.2928,3.836126629422719e-06,3.72,10000,,,,,,,,,,
23,1.2909,3.7779329608938552e-06,3.91,10500,,,,,,,,,,
24,,,4.0,10740,1.3399344682693481,0.4274105727672577,111.7193,386.639,24.168,,,,,
25,1.2686,3.719739292364991e-06,4.1,11000,,,,,,,,,,
26,1.2463,3.661545623836127e-06,4.28,11500,,,,,,,,,,
27,1.2347,3.603351955307263e-06,4.47,12000,,,,,,,,,,
28,1.2609,3.545158286778399e-06,4.66,12500,,,,,,,,,,
29,1.2398,3.4869646182495346e-06,4.84,13000,,,,,,,,,,
30,,,5.0,13425,1.3350353240966797,0.43123045563697815,111.725,386.619,24.166,,,,,
31,1.2403,3.4287709497206705e-06,5.03,13500,,,,,,,,,,
32,1.216,3.3705772811918064e-06,5.21,14000,,,,,,,,,,
33,1.2002,3.3123836126629427e-06,5.4,14500,,,,,,,,,,
34,1.1873,3.2541899441340786e-06,5.59,15000,,,,,,,,,,
