,loss,learning_rate,epoch,step,eval_loss,eval_accuracy,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
0,1.6105,4.7847796143250695e-06,0.69,500,,,,,,,,,,
1,,,1.0,726,1.5987176895141602,0.2622877061367035,30.6413,363.202,22.714,,,,,
2,1.5816,4.569559228650139e-06,1.38,1000,,,,,,,,,,
3,,,2.0,1452,1.3458279371261597,0.37820109724998474,30.7626,361.771,22.625,,,,,
4,1.4054,4.354338842975207e-06,2.07,1500,,,,,,,,,,
5,1.3439,4.139118457300276e-06,2.75,2000,,,,,,,,,,
6,,,3.0,2178,1.3313490152359009,0.3865576386451721,31.2285,356.373,22.287,,,,,
7,1.314,3.923898071625344e-06,3.44,2500,,,,,,,,,,
8,,,4.0,2904,1.3356107473373413,0.3969808518886566,31.3725,354.738,22.185,,,,,
9,1.2792,3.7086776859504137e-06,4.13,3000,,,,,,,,,,
10,1.2506,3.4934573002754824e-06,4.82,3500,,,,,,,,,,
11,,,5.0,3630,1.3314296007156372,0.40165334939956665,31.0717,358.171,22.4,,,,,
12,1.2087,3.278236914600551e-06,5.51,4000,,,,,,,,,,
13,,,6.0,4356,1.3416956663131714,0.40264174342155457,31.6544,351.579,21.987,,,,,
14,1.2064,3.06301652892562e-06,6.2,4500,,,,,,,,,,
15,1.1721,2.847796143250689e-06,6.89,5000,,,,,,,,,,
16,,,7.0,5082,1.3429840803146362,0.41108813881874084,30.7976,361.36,22.599,,,,,
17,1.139,2.6325757575757576e-06,7.58,5500,,,,,,,,,,
18,,,8.0,5808,1.345295786857605,0.4155809283256531,31.0093,358.892,22.445,,,,,
19,1.1272,2.4173553719008267e-06,8.26,6000,,,,,,,,,,
20,1.1122,2.2021349862258958e-06,8.95,6500,,,,,,,,,,
21,,,9.0,6534,1.3812716007232666,0.4198939800262451,30.9556,359.514,22.484,,,,,
22,1.0721,1.9869146005509644e-06,9.64,7000,,,,,,,,,,
23,,,10.0,7260,1.3966248035430908,0.4158504903316498,31.3268,355.255,22.217,,,,,
24,1.0618,1.7716942148760333e-06,10.33,7500,,,,,,,,,,
25,,,11.0,7986,1.4055556058883667,0.42115193605422974,30.9246,359.875,22.506,,,,,
26,1.0513,1.556473829201102e-06,11.02,8000,,,,,,,,,,
27,1.0272,1.341253443526171e-06,11.71,8500,,,,,,,,,,
28,,,12.0,8712,1.4327787160873413,0.4266331195831299,31.0881,357.982,22.388,,,,,
29,1.0126,1.1260330578512398e-06,12.4,9000,,,,,,,,,,
30,,,13.0,9438,1.4530853033065796,0.4267229735851288,31.0687,358.206,22.402,,,,,
31,0.9889,9.108126721763086e-07,13.09,9500,,,,,,,,,,
32,0.9836,6.955922865013775e-07,13.77,10000,,,,,,,,,,
33,,,14.0,10164,1.4533331394195557,0.4309461712837219,31.1494,357.278,22.344,,,,,
34,0.9766,4.803719008264464e-07,14.46,10500,,,,,,,,,,
35,,,15.0,10890,1.4632394313812256,0.4288794994354248,31.2936,355.632,22.241,,,,,
36,0.9725,2.651515151515152e-07,15.15,11000,,,,,,,,,,
37,0.9495,4.9931129476584024e-08,15.84,11500,,,,,,,,,,
38,,,16.0,11616,1.4772255420684814,0.4287896454334259,32.028,347.477,21.731,,,,,
39,,,16.0,11616,,,,,,2004.5082,92.671,5.795,1.542035577538794e+16,1.165351300200155
