,loss,learning_rate,epoch,step,eval_loss,eval_accuracy,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
0,1.6103,4.798646907216496e-06,0.64,500,,,,,,,,,,
1,,,1.0,776,1.6092314720153809,0.20616033673286438,32.3601,366.191,22.899,,,,,
2,1.6108,4.5972938144329895e-06,1.29,1000,,,,,,,,,,
3,1.6093,4.395940721649485e-06,1.93,1500,,,,,,,,,,
4,,,2.0,1552,1.6002326011657715,0.2588185667991638,32.8019,361.26,22.59,,,,,
5,1.5562,4.1945876288659794e-06,2.58,2000,,,,,,,,,,
6,,,3.0,2328,1.436848759651184,0.3433755338191986,33.0735,358.293,22.405,,,,,
7,1.4612,3.993234536082475e-06,3.22,2500,,,,,,,,,,
8,1.4185,3.7918814432989694e-06,3.87,3000,,,,,,,,,,
9,,,4.0,3104,1.3807650804519653,0.3733333349227905,33.0807,358.215,22.4,,,,,
10,1.366,3.5905283505154643e-06,4.51,3500,,,,,,,,,,
11,,,5.0,3880,1.3559297323226929,0.39139240980148315,33.0135,358.944,22.445,,,,,
12,1.3203,3.3891752577319593e-06,5.15,4000,,,,,,,,,,
13,1.2946,3.187822164948454e-06,5.8,4500,,,,,,,,,,
14,,,6.0,4656,1.3281782865524292,0.4065822660923004,32.9482,359.655,22.49,,,,,
15,1.2603,2.986469072164949e-06,6.44,5000,,,,,,,,,,
16,,,7.0,5432,1.3062491416931152,0.42725738883018494,32.5814,363.704,22.743,,,,,
17,1.2371,2.7851159793814438e-06,7.09,5500,,,,,,,,,,
18,1.1984,2.5837628865979388e-06,7.73,6000,,,,,,,,,,
19,,,8.0,6208,1.3203098773956299,0.4340084493160248,32.9017,360.164,22.522,,,,,
20,1.1804,2.382409793814433e-06,8.38,6500,,,,,,,,,,
21,,,9.0,6984,1.3133198022842407,0.4386498034000397,32.7196,362.168,22.647,,,,,
22,1.1602,2.181056701030928e-06,9.02,7000,,,,,,,,,,
23,1.114,1.979703608247423e-06,9.66,7500,,,,,,,,,,
24,,,10.0,7760,1.3140009641647339,0.4470885992050171,34.2018,346.473,21.666,,,,,
25,1.124,1.7783505154639178e-06,10.31,8000,,,,,,,,,,
26,1.0942,1.5769974226804125e-06,10.95,8500,,,,,,,,,,
27,,,11.0,8536,1.3006212711334229,0.450464129447937,32.6047,363.444,22.727,,,,,
28,1.0597,1.3756443298969075e-06,11.6,9000,,,,,,,,,,
29,,,12.0,9312,1.3375859260559082,0.45257383584976196,32.893,360.259,22.528,,,,,
30,1.0642,1.174291237113402e-06,12.24,9500,,,,,,,,,,
31,1.0436,9.72938144329897e-07,12.89,10000,,,,,,,,,,
32,,,13.0,10088,1.3265953063964844,0.45417720079421997,33.0024,359.065,22.453,,,,,
33,1.0223,7.715850515463919e-07,13.53,10500,,,,,,,,,,
34,,,14.0,10864,1.3338518142700195,0.45603376626968384,32.8468,360.765,22.559,,,,,
35,1.0201,5.702319587628866e-07,14.18,11000,,,,,,,,,,
36,1.0056,3.688788659793815e-07,14.82,11500,,,,,,,,,,
37,,,15.0,11640,1.3407272100448608,0.4535021185874939,33.4116,354.668,22.178,,,,,
38,0.9982,1.675257731958763e-07,15.46,12000,,,,,,,,,,
39,,,16.0,12416,1.3475667238235474,0.4556961953639984,33.2502,356.389,22.286,,,,,
40,,,16.0,12416,,,,,,2132.8585,93.133,5.821,1.648057151597415e+16,1.235199584174402
