,loss,learning_rate,epoch,step,eval_loss,eval_f1,eval_roc_auc,eval_accuracy,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
0,0.3274,5.91696191319752e-06,0.22,500,,,,,,,,,,,,
1,0.2436,5.83392382639504e-06,0.44,1000,,,,,,,,,,,,
2,0.2337,5.75088573959256e-06,0.66,1500,,,,,,,,,,,,
3,0.2201,5.66784765279008e-06,0.89,2000,,,,,,,,,,,,
4,,,1.0,2258,0.2165791541337967,0.05035344739268517,0.5126202580552719,0.22454254812597782,73.9579,397.551,24.852,,,,,
5,0.2151,5.5848095659876e-06,1.11,2500,,,,,,,,,,,,
6,0.2127,5.50177147918512e-06,1.33,3000,,,,,,,,,,,,
7,0.2091,5.41873339238264e-06,1.55,3500,,,,,,,,,,,,
8,0.2078,5.33569530558016e-06,1.77,4000,,,,,,,,,,,,
9,0.206,5.25265721877768e-06,1.99,4500,,,,,,,,,,,,
10,,,2.0,4516,0.2071930170059204,0.14616572310859496,0.5396044370451102,0.25215971702605267,73.8296,398.241,24.895,,,,,
11,0.202,5.1696191319752e-06,2.21,5000,,,,,,,,,,,,
12,0.1961,5.086581045172719e-06,2.44,5500,,,,,,,,,,,,
13,0.2003,5.003542958370239e-06,2.66,6000,,,,,,,,,,,,
14,0.1987,4.920504871567759e-06,2.88,6500,,,,,,,,,,,,
15,,,3.0,6774,0.2050296664237976,0.1709927140255009,0.5474776830466673,0.26192095775797564,73.3555,400.815,25.056,,,,,
16,0.1939,4.837466784765279e-06,3.1,7000,,,,,,,,,,,,
17,0.19,4.754428697962799e-06,3.32,7500,,,,,,,,,,,,
18,0.1912,4.6713906111603186e-06,3.54,8000,,,,,,,,,,,,
19,0.191,4.5883525243578385e-06,3.76,8500,,,,,,,,,,,,
20,0.1916,4.5053144375553585e-06,3.99,9000,,,,,,,,,,,,
21,,,4.0,9032,0.20589172840118408,0.19184864291397755,0.5545509021179749,0.2653220869328617,72.8673,403.501,25.224,,,,,
22,0.1861,4.4222763507528784e-06,4.21,9500,,,,,,,,,,,,
23,0.1861,4.339238263950398e-06,4.43,10000,,,,,,,,,,,,
24,0.1841,4.256200177147918e-06,4.65,10500,,,,,,,,,,,,
25,0.1863,4.173162090345438e-06,4.87,11000,,,,,,,,,,,,
26,,,5.0,11290,0.20598959922790527,0.19791666666666666,0.5567129900537795,0.26549214339160604,73.2943,401.15,25.077,,,,,
27,0.181,4.090124003542958e-06,5.09,11500,,,,,,,,,,,,
